"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"4:02:01::"	"look"	"different"	"contact"	"when"	"contact_look"	"look_different"	"different_when"	"friendly_contact_look"	"contact_look_different"	"look_different_when"	"different_when_one"	"JJ"	"NN"	"VB"	"RB"	"JJ"	"WRB"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"missionary"	"outreach"	"friendly"	"contact"	"look"	"somewhat"	"different"	"when"	"one"	"reflect"	"on"	"what"	"is"	"known"	"about"	"friendly"	"contact"	"in"	"metropolitan"	"neighborhood"	"the"	"majority"	"of"	"such"	"contact"	"be"	"with"	"people"	"of"	"similar"	"social"	"and"	"economic"	"association"	"by"	"level"	"of"	"achievement"	"be"	"the"	"dominant"	"principle"	"of"	"informal"	"relations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"∅"	"to"	"∅"	"his"	"∅_∅"	"∅_to"	"to_his"	"∅_∅_∅"	"∅_∅_to"	"∅_to_his"	"to_his_surprise"	"ε"	"ε"	"ε"	"RB"	"TO"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"his"	"surprise"	"he"	"find"	"that"	"one"	"girl"	"whom"	"he"	"would"	"never"	"have"	"consider"	"for"	"the"	"job"	"since"	"she"	"had"	"appear"	"somewhat"	"mousy"	"and"	"also"	"had"	"be"	"in"	"the"	"office"	"a"	"relatively"	"short"	"time"	"do"	"the"	"most"	"outstanding"	"job"	"of"	"play"	"the"	"role"	"of"	"receptionist"	"show"	"wit"	"sparkle"	"and"	"aplomb"	"0"	
"4:02:01::"	"appear"	"mousy"	"had"	"and"	"had_appear"	"appear_mousy"	"mousy_and"	"she_had_appear"	"had_appear_mousy"	"appear_mousy_and"	"mousy_and_also"	"PRP"	"VBD"	"VB"	"RB"	"JJ"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"somewhat"	"to"	"his"	"surprise"	"he"	"find"	"that"	"one"	"girl"	"whom"	"he"	"never"	"have"	"consider"	"for"	"the"	"since"	"she"	"had"	"appear"	"somewhat"	"mousy"	"and"	"also"	"had"	"be"	"in"	"the"	"office"	"a"	"relatively"	"short"	"time"	"do"	"the"	"most"	"outstanding"	"job"	"of"	"play"	"the"	"role"	"of"	"receptionist"	"show"	"wit"	"sparkle"	"and"	"aplomb"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"qualify"	"as"	"be"	"we"	"be_qualify"	"qualify_as"	"as_we"	"to_be_qualify"	"be_qualify_as"	"qualify_as_we"	"as_we_proceed"	"VB"	"VB"	"VB"	"RB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"this"	"point"	"a"	"working"	"definition"	"of"	"idea"	"be"	"in_order"	"although"	"our"	"definition"	"will"	"have"	"to"	"be"	"qualify"	"somewhat"	"as"	"we"	"proceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"undergo"	"more"	"have"	"change"	"have_undergo"	"undergo_more"	"more_change"	"language_have_undergo"	"have_undergo_more"	"undergo_more_change"	"more_change_in"	"NN"	"VBP"	"VB"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"more"	"stem"	"per"	"item"	"in"	"athabascan"	"which"	"express"	"fact"	"that"	"the"	"athabascan"	"language"	"have"	"undergo"	"somewhat"	"more"	"change"	"in"	"diverge"	"from"	"proto"	"athabascan"	"than"	"the"	"yokuts"	"language"	"from"	"proto"	"yokuts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"come_out"	"high"	"ratio"	"("	"ratio_come_out"	"come_out_high"	"high_("	"athabascan_ratio_come_out"	"ratio_come_out_high"	"come_out_high_("	"high_(_as"	"NN"	"NN"	"VB"	"RB"	"JJ"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"will"	"be"	"see"	"that"	"where"	"the"	"be"	"similar"	"the"	"athabascan"	"ratio"	"come_out"	"somewhat"	"high"	"as"	"indeed"	"they"	"ought"	"to"	"with"	"a"	"total"	"ratio"	"of"	"as"	"against"	"or"	"except"	"for"	"verb"	"where"	"alone"	"the"	"athabascan"	"ratio"	"be"	"low"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"center"	"beyond"	"growth"	"that"	"growth_center"	"center_beyond"	"beyond_that"	"21_growth_center"	"growth_center_beyond"	"center_beyond_that"	"beyond_that_provide"	"JJ"	"NN"	"NN"	"RB"	"IN"	"WDT"	"VB"	"state"	"earlier"	"that"	"one"	"purpose"	"of"	"this"	"study"	"be"	"to"	"extend"	"the"	"analysis"	"of"	"variability"	"of"	"onset"	"and"	"completion"	"in"	"each"	"of"	"the"	"growth"	"center"	"beyond"	"that"	"provide"	"by"	"the"	"data"	"in"	"table"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	","	"clerical"	"straight-backed"	"in"	"straight-backed_,"	",_clerical"	"clerical_in"	"-_straight-backed_,"	"straight-backed_,_clerical"	",_clerical_in"	"clerical_in_manner"	"ε"	"JJ"	"ε"	"RB"	"JJ"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"door"	"was"	"answer"	"by"	"a"	"man"	"in"	"his"	"sixties"	"straight-backed"	"somewhat"	"clerical"	"in"	"manner"	"wear"	"rimless"	"glasses"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"differ"	"from"	"native"	"earthman"	"native_differ"	"differ_from"	"from_earthman"	"ozagen_native_differ"	"native_differ_from"	"differ_from_earthman"	"from_earthman_'s"	"NNP"	"NN"	"VB"	"RB"	"IN"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for_one_thing"	"the"	"organ"	"of"	"speech"	"the"	"ozagen"	"native"	"differ"	"somewhat"	"from"	"earthman"	"the"	"sound"	"make"	"by"	"these"	"organ"	"be"	"therefore"	"dissimilar"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"alter"	"when"	"was"	"he"	"was_alter"	"alter_when"	"when_he"	"research_was_alter"	"was_alter_when"	"alter_when_he"	"when_he_wonder"	"NN"	"VBD"	"VB"	"RB"	"WRB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"scorn"	"for"	"the"	"jargon"	"of"	"research"	"was"	"alter"	"somewhat"	"when"	"he"	"wonder"	"how"	"or"	"why"	"had"	"i"	"been"	"show"	"an"	"unreleased"	"roll"	"of"	"my"	"life"	"film"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
