"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"
"2:36:00::"	"be"	"and"	"should"	","	"should_be"	"be_and"	"and_,"	"press_should_be"	"should_be_and"	"be_and_,"	"and_,_depending_on"	"NN"	"MD"	"VB"	"VB"	"CC"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"drill"	"should"	"be"	"level"	"and"	"depending_on"	"whether"	"it"	"be"	"a"	"bench"	"or"	"floor"	"model"	"bolt"	"securely"	"to"	"a"	"sturdy"	"bench"	"or"	"stand"	"or"	"screw"	"to"	"the"	"floor"	"with"	"lag"	"or"	"expansion"	"screws"	"0"	"0"	"0"	
"1:07:00::"	"outside"	"."	"the"	"∅"	"the_outside"	"outside_."	"._∅"	"of_the_outside"	"the_outside_."	"outside_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"belowground"	"basement"	"can"	"cut"	"the"	"radiation"	"to"	"one"	"tenth"	"of"	"the"	"outside"	"level"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"the"	"of"	"reach"	"the"	"reach_the"	"the_of"	"of_the"	"river_reach_the"	"reach_the_of"	"the_of_the"	"of_the_runoff"	"NN"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"jetting"	"frothing"	"surface"	"the"	"river"	"reach"	"the"	"level"	"of"	"the"	"runoff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"same"	"of"	"the"	"living"	"the_same"	"same_of"	"of_living"	",_the_same"	"the_same_of"	"same_of_living"	"of_living_cost"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"generally"	"same"	"level"	"of"	"living"	"cost"	"less"	"in"	"the"	"country"	"than"	"in"	"the"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"of"	"of"	"recognition"	"truth"	"recognition_of"	"of_of"	"of_truth"	"a_recognition_of"	"recognition_of_of"	"of_of_truth"	"of_truth_)"	"DT"	"NN"	"IN"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"central"	"concern"	"of"	"person"	"impressive"	"volume"	"called"	"mimesis"	"be"	"to"	"describe"	"the"	"from"	"a"	"classic"	"theory"	"of"	"imitation"	"based"	"upon"	"a"	"recognition"	"of"	"level"	"of"	"truth"	"to"	"a"	"christian"	"theory"	"of"	"imitation"	"in"	"which"	"the"	"level"	"are"	"dissolve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"are"	"which"	"dissolve"	"which_the"	"the_are"	"are_dissolve"	"in_which_the"	"which_the_are"	"the_are_dissolve"	"are_dissolve_."	"RB"	"RB"	"DT"	"NN"	"VBP"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"central"	"concern"	"of"	"person"	"impressive"	"volume"	"called"	"mimesis"	"be"	"to"	"describe"	"the"	"shift"	"from"	"a"	"classic"	"theory"	"of"	"imitation"	"based"	"upon"	"a"	"recognition"	"level"	"of"	"truth"	"to"	"a"	"christian"	"theory"	"of"	"imitation"	"in"	"which"	"the"	"level"	"are"	"dissolve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"headquarters"	","	"or"	"be"	"or_headquarters"	"headquarters_,"	",_be"	"region_or_headquarters"	"or_headquarters_,"	"headquarters_,_be"	",_be_a"	"NN"	"CC"	"NN"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"growing"	"complexity"	"of"	"market"	"and"	"intensity"	"of"	"competition"	"management"	"whether"	"at"	"the"	"district"	"region"	"or"	"headquarters"	"level"	"be"	"a"	"tough"	"job"	"today"	"and"	"it"	"will"	"be"	"tough"	"in_the"	"future"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"by"	"of"	"association"	"achievement"	"association_by"	"by_of"	"of_achievement"	";_association_by"	"association_by_of"	"by_of_achievement"	"of_achievement_be"	"ε"	"NN"	"IN"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"missionary"	"outreach"	"by"	"friendly"	"contact"	"look"	"somewhat"	"different"	"when"	"one"	"reflect"	"on"	"what"	"is"	"known"	"about"	"friendly"	"contact"	"in"	"metropolitan"	"neighborhood"	"majority"	"of"	"such"	"contact"	"be"	"with"	"people"	"of"	"similar"	"social"	"and"	"economic"	"association"	"by"	"level"	"of"	"achievement"	"be"	"the"	"dominant"	"principle"	"of"	"informal"	"relations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:02::"	"were"	"affect"	"charge"	"the"	"charge_were"	"were_affect"	"affect_the"	"two_charge_were"	"charge_were_affect"	"were_affect_the"	"affect_the_question"	"JJ"	"NN"	"VBD"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"recent"	"two"	"charge"	"were"	"level"	"affect"	"the"	"question"	"of"	"power"	"and"	"i"	"think"	"we"	"might"	"begin"	"by"	"try"	"to"	"put"	"them"	"into"	"proper"	"focus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"present"	"-"	"the"	"a"	"the_present"	"present_-"	"-_a"	"approximately_the_present"	"the_present_-"	"present_-_a"	"-_a_year-end"	"RB"	"DT"	"JJ"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"budget"	"will"	"provide_for"	"in"	"the"	"fiscal_year"	"for"	"the"	"support"	"of"	"our"	"force"	"at"	"approximately"	"the"	"present"	"level"	"a"	"year-end"	"strength"	"of"	"man"	"and"	"woman"	"in"	"the"	"active"	"force"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
