"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"1:06:00::"	"the"	"to"	"to"	"make"	"to_the"	"the_to"	"to_make"	"go_out_to_the"	"to_the_to"	"the_to_make"	"to_make_a"	"VB"	"TO"	"DT"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"keep"	"tell"	"himself"	"as"	"he"	"go_out"	"to"	"the"	"kitchen"	"to"	"make"	"a"	"drink"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	","	"in"	"as"	"in_the"	"the_,"	",_as"	"be_in_the"	"in_the_,"	"the_,_as"	",_as_she"	"VB"	"IN"	"DT"	"NN"	"ε"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"in"	"the"	"kitchen"	"as"	"she"	"was"	"watch"	"the"	"kettle"	"wait"	"for"	"the"	"water"	"to"	"boil"	"that"	"he"	"had"	"grab"	"for"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"door"	"reach"	"the"	"reach_the"	"the_door"	"door_the"	"she_reach_the"	"reach_the_door"	"the_door_the"	"door_the_answer"	"PRP"	"VB"	"DT"	"NN"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"reach"	"the"	"kitchen"	"door"	"the"	"answer"	"present"	"itself"	"if"	"she"	"tell"	"anyone"	"of"	"the"	"opium"	"it"	"must"	"be"	"person"	"her"	"husband"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"door"	"at"	","	"at_the"	"the_door"	"door_,"	"pause_at_the"	"at_the_door"	"the_door_,"	"door_,_catch_one's_breath"	"VB"	"IN"	"DT"	"NN"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"at"	"the"	"kitchen"	"door"	"catch_one's_breath"	"her"	"breath"	"tell"	"herself"	"firmly"	"that"	"the"	"opium"	"be"	"only"	"an"	"attempt"	"to"	"frighten"	"her"	"and"	"go_into"	"the"	"kitchen"	"where"	"person"	"was"	"eye"	"the"	"chicken"	"dismally"	"and"	"person"	"was"	"clean"	"lamp_chimney"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	","	"go_into"	"where"	"go_into_the"	"the_,"	",_where"	"and_go_into_the"	"go_into_the_,"	"the_,_where"	",_where_person"	"CC"	"VB"	"DT"	"NN"	"ε"	"WRB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"pause"	"at"	"the"	"kitchen"	"door"	"catch_one's_breath"	"her"	"breath"	"tell"	"herself"	"firmly"	"that"	"the"	"opium"	"be"	"an"	"attempt"	"to"	"frighten"	"her"	"and"	"go_into"	"the"	"kitchen"	"where"	"person"	"was"	"eye"	"the"	"chicken"	"dismally"	"and"	"person"	"was"	"clean"	"lamp_chimney"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"."	"to"	"∅"	"to_the"	"the_."	"._∅"	"hallway_to_the"	"to_the_."	"the_._∅"	"._∅_∅"	"NN"	"TO"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"enter"	"the"	"room"	"the"	"hallway"	"to"	"the"	"kitchen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"."	"to"	"∅"	"to_the"	"the_."	"._∅"	"hurry_to_the"	"to_the_."	"the_._∅"	"._∅_∅"	"VB"	"TO"	"DT"	"NN"	"ε"	"ε"	"ε"	"there"	"be"	"the"	"suggestion"	"of"	"ice_water"	"and"	"in_spite"	"of"	"the"	"protest"	"we"	"not"	"really"	"thirsty"	"person"	"to"	"escape"	"the"	"stuffy"	"air"	"and"	"the"	"smothering"	"soft"	"voice"	"hurry"	"to"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"door"	"tap"	"open"	"tap_the"	"the_door"	"door_open"	"begin_tap_the"	"tap_the_door"	"the_door_open"	"door_open_."	"VB"	"VB"	"DT"	"NN"	"NN"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"child"	"rush_off"	"to"	"get_rid_of"	"their"	"and"	"person"	"begin"	"tap"	"the"	"kitchen"	"door"	"open"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"side"	"to"	"of"	"to_the"	"the_side"	"side_of"	"around_to_the"	"to_the_side"	"the_side_of"	"side_of_the"	"RB"	"TO"	"DT"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"were"	"push"	"gently"	"into"	"the"	"room"	"by"	"person"	"whose"	"only"	"appear"	"be"	"hand"	"that"	"creep"	"quickly"	"back"	"around"	"to"	"the"	"kitchen"	"side"	"of"	"the"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"with"	"from"	"a"	"from_the"	"the_with"	"with_a"	"in_from_the"	"from_the_with"	"the_with_a"	"with_a_sandwich"	"RB"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"amazing"	"how"	"they"	"had"	"herd"	"together"	"for"	"protection"	"an"	"enormous"	"matriarch"	"in"	"a"	"quilted"	"silk"	"wrapper"	"rise"	"from"	"the"	"breakfast_table"	"a"	"gross"	"boy"	"in"	"his"	"teens"	"shuffle"	"in"	"from"	"kitchen"	"with"	"a"	"sandwich"	"in"	"his"	"hand"	"a"	"girl"	"in"	"her"	"twenties"	"fat"	"and"	"sullen"	"descend"	"the"	"marble"	"staircase"	"then"	"all"	"four"	"gather"	"on"	"the"	"sofa"	"to"	"face"	"the"	"inquisitor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
