"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"2:31:00::"	"to"	"his"	"opportunity"	"new"	"opportunity_to"	"to_his"	"his_new"	"an_opportunity_to"	"opportunity_to_his"	"to_his_new"	"his_new_administration"	"DT"	"NN"	"TO"	"VB"	"PRP$"	"JJ"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"through"	"secretary_herter"	"ike"	"offer"	"an"	"opportunity"	"to"	"associate"	"his"	"new"	"administration"	"with"	"the"	"breakoff"	"decision"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"distress"	"with"	"and"	"the"	"and_distress"	"distress_with"	"with_the"	"pain_and_distress"	"and_distress_with"	"distress_with_the"	"with_the_performance"	"NN"	"CC"	"NN"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"and"	"distress"	"associate"	"with"	"the"	"performance"	"may"	"easily"	"give"	"the"	"wife"	"a"	"deep-seated"	"dread"	"of"	"marital"	"relations"	"and"	"cause"	"her"	"unconsciously"	"to"	"make"	"the"	"sex_act"	"unpleasant"	"and"	"difficult"	"for"	"both"	"by"	"exercise"	"her"	"vaginal"	"muscles"	"to"	"complicate"	"his"	"penetration"	"instead"	"of"	"relax"	"them"	"to"	"facilitate"	"it"	"0"	"0"	"0"	"0"	
"2:31:00::"	"usually"	"with"	"is"	"plato"	"is_usually"	"usually_with"	"with_plato"	")_is_usually"	"is_usually_with"	"usually_with_plato"	"with_plato_and"	"ε"	"VBZ"	"RB"	"VB"	"VB"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"word"	"mimesis"	"imitation"	"is"	"associate"	"with"	"plato"	"and"	"aristotle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"been"	"with"	"have"	"feed"	"have_been"	"been_with"	"with_feed"	"benefit_have_been"	"have_been_with"	"been_with_feed"	"with_feed_low"	"NN"	"VBP"	"VBN"	"VB"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"greatest"	"have"	"been"	"associate"	"with"	"feed"	"low"	"moisture"	"corn"	"in"	"beef"	"feeding"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"an"	"in"	"as"	"the"	"as_an"	"an_in"	"in_the"	"group_as_an"	"as_an_in"	"an_in_the"	"in_the_oil"	"NNP"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"was"	"elect"	"the"	"group"	"as"	"an"	"associate"	"in"	"the"	"oil"	"class"	"in"	"after"	"receive"	"his"	"first"	"ranger_fund_purchase_prize"	"at"	"the"	"group"	"in"	"and"	"elevate"	"to"	"academicianship"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"projection"	"with"	"the"	"the"	"the_projection"	"projection_with"	"with_the"	"be_the_projection"	"the_projection_with"	"projection_with_the"	"with_the_primary"	"VB"	"DT"	"NN"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"f"	"be"	"projection"	"associate"	"with"	"the"	"primary"	"decomposition"	"of"	"t"	"then"	"each"	"f"	"be"	"a"	"polynomial"	"in"	"t"	"and"	"accordingly"	"if"	"a"	"linear_operator"	"u"	"commute"	"with"	"t"	"then"	"u"	"commute"	"with"	"each"	"of"	"the"	"f"	"i.e."	"each"	"subspace"	"f"	"be"	"invariant"	"under"	"u"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"electron"	"nearby"	"unpaired"	"may"	"unpaired_electron"	"electron_nearby"	"nearby_may"	"an_unpaired_electron"	"unpaired_electron_nearby"	"electron_nearby_may"	"nearby_may_have"	"DT"	"JJ"	"NN"	"VB"	"RB"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"magnetic_moment"	"an"	"unpaired"	"electron"	"associate"	"nearby"	"may"	"have"	"a"	"tremendous"	"influence"	"on"	"the"	"magnetic_resonance"	"property"	"of"	"nucleus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"we"	"certain"	"vertex"	"numerical"	"vertex_we"	"we_certain"	"certain_numerical"	"each_vertex_we"	"vertex_we_certain"	"we_certain_numerical"	"certain_numerical_value"	"JJ"	"NN"	"PRP"	"VB"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"vertex"	"we"	"associate"	"certain"	"numerical"	"value"	"namely"	"the"	"set"	"of"	"difference"	"in"	"the"	"parameter"	"t"	"between"	"the"	"vertex"	"and"	"its"	"corresponding"	"forward"	"corner"	"point"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"characteristically"	"with"	"are"	"the"	"are_characteristically"	"characteristically_with"	"with_the"	",_are_characteristically"	"are_characteristically_with"	"characteristically_with_the"	"with_the_catastrophe"	"ε"	"VBP"	"RB"	"VB"	"JJ"	"DT"	"NN"	"theatrical"	"and"	"perversely"	"erotic"	"notion"	"of"	"dress_up"	"cosmetics"	"disguise"	"and"	"especially"	"change"	"of"	"costume"	"or"	"singularity"	"of"	"costume"	"as"	"with"	"person"	"are"	"characteristically"	"associate"	"with"	"catastrophe"	"of"	"person"	"story"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"are"	"with"	"which"	"change"	"which_are"	"are_with"	"with_change"	"discharge_which_are"	"which_are_with"	"are_with_change"	"with_change_in"	"NN"	"WDT"	"VBP"	"VB"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"a"	"clue"	"to"	"these"	"and"	"related"	"problem"	"lie_in"	"the"	"that"	"change"	"in"	"the"	"intensity"	"of"	"hypothalamic"	"discharge"	"which"	"are"	"associate"	"with"	"change"	"in"	"its"	"balance"	"lead"	"also"	"to"	"qualitative"	"alteration"	"in"	"reactivity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
