"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"2:41:01::"	"that"	"them"	"''"	"somehow"	"''_that"	"that_them"	"them_somehow"	"figures_''_that"	"''_that_them"	"that_them_somehow"	"them_somehow_."	"NNS"	"ε"	"WDT"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"miss_tamiris"	"once"	"upon"	"a"	"time"	"be"	"a"	"problem"	"piece"	"about"	"a"	"man"	"a"	"woman"	"and"	"the"	"three"	"figures"	"that"	"bother"	"them"	"somehow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"that"	"all_of"	"problem"	"us"	"problem_that"	"that_all_of"	"all_of_us"	"real_problem_that"	"problem_that_all_of"	"that_all_of_us"	"all_of_us_in"	"JJ"	"NN"	"WDT"	"VB"	"JJ"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"seem"	"to"	"me"	"that"	"n._c."	"in"	"his"	"editorial"	"confrontation"	"sr"	"mar."	"has"	"upon"	"the"	"real"	"problem"	"that"	"bother"	"all_of"	"us"	"in"	"a"	"complex"	"world"	"how"	"do"	"we"	"retain"	"our"	"personal"	"relationship"	"with"	"those"	"who"	"suffer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"to"	"he"	"note"	"he_was"	"was_to"	"to_note"	"unlikely_he_was"	"he_was_to"	"was_to_note"	"to_note_anything"	"JJ"	"PRP"	"VB"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"against"	"all"	"expectation"	"person"	"be"	"inside"	"clearly"	"enjoy"	"himself"	"to_the_hilt"	"already"	"so"	"tipsy"	"that"	"it"	"seem"	"unlikely"	"he"	"was"	"bother"	"to"	"note"	"anything"	"or"	"anyone"	"about"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"it"	"her"	"∅"	"that"	"∅_it"	"it_her"	"her_that"	"∅_∅_it"	"∅_it_her"	"it_her_that"	"her_that_she"	"ε"	"ε"	"PRP"	"VB"	"PRP"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bother"	"her"	"that"	"she"	"probably"	"would"	"never"	"know"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"was"	"rousseau"	"what"	":"	"what_was"	"was_rousseau"	"rousseau_:"	"understand_what_was"	"what_was_rousseau"	"was_rousseau_:"	"rousseau_:_that"	"VB"	"WP"	"VBD"	"VB"	"NN"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"what"	"was"	"bother"	"rousseau"	"that"	"the"	"writer"	"of"	"the"	"prosopopoeia_of_fabricius"	"should"	"now"	"become"	"known"	"as"	"the"	"writer"	"of"	"an"	"amusing"	"little"	"operetta"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"without"	"much"	"but"	"to"	"but_without"	"without_much"	"much_to"	",_but_without"	"but_without_much"	"without_much_to"	"much_to_make"	"ε"	"CC"	"IN"	"VB"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"explain"	"his"	"but"	"without"	"bother"	"much"	"to"	"make"	"it"	"plausible"	"for"	"he"	"feel"	"something"	"well_up"	"in"	"him"	"which"	"be"	"the"	"reason"	"why"	"he"	"had"	"flee"	"the"	"army"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"ever"	"you"	"it"	"''"	"it_ever"	"ever_you"	"you_''"	"n't_it_ever"	"it_ever_you"	"ever_you_''"	"you_''_,"	"RB"	"PRP"	"RB"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"does"	"n't"	"ever"	"bother"	"you"	"person"	"had"	"ask"	"to"	"have"	"people"	"always"	"ask"	"you"	"about"	"your"	"hand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"n't"	"''"	"do"	","	"do_n't"	"n't_''"	"''_,"	"``_do_n't"	"do_n't_''"	"n't_''_,"	"''_,_person"	"ε"	"VB"	"RB"	"VB"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"bother"	"person"	"answer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"n't"	"."	"was"	"∅"	"was_n't"	"n't_."	"._∅"	"he_was_n't"	"was_n't_."	"n't_._∅"	"._∅_∅"	"PRP"	"VBD"	"RB"	"VB"	"ε"	"ε"	"ε"	"not"	"hear"	"of"	"person"	"disappearance"	"when"	"it"	"was"	"announce"	"and"	"when"	"he"	"did"	"while"	"he"	"have"	"a"	"fleeting"	"suspicion"	"he"	"dismiss"	"it"	"if"	"person"	"had"	"had_a_finger_in"	"it"	"he"	"had"	"gotten_away_with"	"it"	"and"	"what"	"happen"	"to"	"supreme"	"bishop"	"worry"	"person"	"not"	"at_all"	"as_long_as"	"he"	"was"	"n't"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"about"	"not"	"``"	"not_to"	"to_about"	"about_``"	"her_not_to"	"not_to_about"	"to_about_``"	"about_``_where"	"PRP$"	"RB"	"TO"	"VB"	"IN"	"ε"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"their"	"meeting"	"tell"	"her"	"not"	"to"	"bother"	"about"	"where"	"he"	"would"	"attend"	"to"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
