"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:42:00::"	"hurrays"	"as"	"that"	"an"	"that_hurrays"	"hurrays_as"	"as_an"	"exhibition_that_hurrays"	"that_hurrays_as"	"hurrays_as_an"	"as_an_added"	"NN"	"IN"	"NNP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"adventurous"	"spirit"	"had"	"wane"	"he"	"the"	"pistol"	"exhibition"	"that"	"hurrays"	"feature"	"as"	"an"	"added"	"attraction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"also"	"another"	"will"	"rarity"	"will_also"	"also_another"	"another_rarity"	"room_will_also"	"will_also_another"	"also_another_rarity"	"another_rarity_many"	"NN"	"MD"	"RB"	"VB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"will"	"also"	"feature"	"another"	"rarity"	"many"	"antiquarians"	"would"	"consider"	"more"	"important"	"than"	"the"	"duncan_phyfe"	"furniture"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"will"	"row_houses"	"and"	","	"and_will"	"will_row_houses"	"row_houses_,"	"master_plan_and_will"	"and_will_row_houses"	"will_row_houses_,"	"row_houses_,_garden"	"NN"	"CC"	"MD"	"VB"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"designate"	"as"	"stage"	"residential"	"the"	"redevelopment_authority"	"master_plan"	"and"	"will"	"feature"	"row_houses"	"garden"	"apartments"	"four"	"small"	"parks"	"schools"	"churches"	"a"	"shopping_center"	"and"	"several"	"small"	"clusters"	"of"	"stores"	"0"	"0"	"0"	"0"	
"2:42:00::"	"bandstand"	"hal_decicco"	"∅"	","	"∅_bandstand"	"bandstand_hal_decicco"	"hal_decicco_,"	"∅_∅_bandstand"	"∅_bandstand_hal_decicco"	"bandstand_hal_decicco_,"	"hal_decicco_,_pianist"	"ε"	"ε"	"NN"	"VB"	"NNP"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"feature"	"hal_decicco"	"pianist"	"for"	"both"	"dinner"	"hour"	"and"	"the"	"late"	"trade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"chiseled"	"."	"fine"	"∅"	"fine_chiseled"	"chiseled_."	"._∅"	"his_fine_chiseled"	"fine_chiseled_."	"chiseled_._∅"	"._∅_∅"	"PRP$"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"handsome"	"with"	"his"	"coal-black"	"and"	"eye"	"his"	"fine"	"chiseled"	"feature"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"salient"	"of"	"most"	"literary"	"most_salient"	"salient_of"	"of_literary"	"the_most_salient"	"most_salient_of"	"salient_of_literary"	"of_literary_value"	"RB"	"RB"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"most"	"salient"	"feature"	"of"	"literary"	"value"	"has"	"been"	"deem"	"to"	"be"	"its"	"influence"	"upon"	"and"	"organization"	"of"	"emotion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"second"	"of"	"a"	"the"	"a_second"	"second_of"	"of_the"	"be_a_second"	"a_second_of"	"second_of_the"	"of_the_influence"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"a"	"second"	"feature"	"of"	"the"	"influence"	"of"	"literature"	"good"	"literature"	"on"	"emotional"	"life"	"which"	"may"	"have"	"some"	"special"	"value"	"for"	"our"	"time"	"0"	"0"	"0"	"0"	
"1:09:00::"	"particular"	"of"	"the"	"the"	"the_particular"	"particular_of"	"of_the"	"of_the_particular"	"the_particular_of"	"particular_of_the"	"of_the_experience"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"inquiry"	"into"	"the"	"way"	"in"	"which"	"great"	"literature"	"affect"	"the"	"emotion"	"particularly"	"with_respect_to"	"the"	"sense"	"of"	"harmony"	"or"	"relief"	"of"	"tension"	"or"	"sense"	"of"	"a"	"transformed"	"inner"	"nature"	"which"	"may"	"occur"	"a"	"careful"	"exploration"	"of"	"the"	"particular"	"of"	"the"	"experience"	"which"	"produce"	"the"	"effect"	"would"	"be"	"require"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"coarse"	"twist"	"'s"	"in"	"'s_coarse"	"coarse_twist"	"twist_in"	"person_'s_coarse"	"'s_coarse_twist"	"coarse_twist_in"	"twist_in_a"	"NNP"	"POS"	"JJ"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"feature"	"twist"	"in"	"a"	"surprised"	"grin"	"which"	"was"	"smash"	"out"	"of"	"shape"	"by"	"person"	"fist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"of"	"of"	"the"	"of_the"	"the_of"	"of_the"	"some_of_the"	"of_the_of"	"the_of_the"	"of_the_top"	"JJ"	"IN"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"the"	"feature"	"of"	"the"	"top"	"portion"	"of"	"figure"	"and"	"figure"	"were"	"mention"	"in"	"discuss"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
