"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"1:09:00::"	"what"	"of"	"∅"	"effort"	"∅_what"	"what_of"	"of_effort"	"∅_∅_what"	"∅_what_of"	"what_of_effort"	"of_effort_do"	"ε"	"ε"	"WP"	"NN"	"RB"	"NN"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sort"	"of"	"effort"	"do"	"you"	"make"	"to"	"assure"	"that"	"old"	"or"	"disabled"	"worker"	"be"	"fully"	"productive"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"various"	"-"	"of"	"these"	"of_various"	"various_-"	"-_these"	"work-study_program_of_various"	"of_various_-"	"various_-_these"	"-_these_be"	"NN"	"IN"	"JJ"	"NN"	"ε"	"DT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"adult_education"	"course"	"of"	"various"	"sort"	"these"	"be"	"all"	"evidence"	"of"	"a"	"continuing"	"interest"	"of"	"the"	"school"	"in"	"further"	"educational"	"opportunity"	"for"	"out-of-school"	"youth"	"0"	
"1:09:00::"	"the"	"of"	","	"root"	",_the"	"the_of"	"of_root"	"live_oak_,_the"	",_the_of"	"the_of_root"	"of_root_that"	"NN"	"ε"	"DT"	"NN"	"RB"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"say"	"person"	"eventually"	"make"	"them"	"both"	"sit"	"in"	"formation"	"on"	"big"	"root"	"of"	"a"	"live_oak"	"the"	"sort"	"of"	"root"	"that"	"divide"	"itself"	"and"	"make"	"their"	"bottom"	"sag_down"	"and"	"feel"	"comfortable"	"0"	"0"	
"1:09:00::"	"the"	"."	"of"	"∅"	"of_the"	"the_."	"._∅"	"nothing_of_the"	"of_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"hero"	"a"	"sterling"	"and"	"upright"	"fellow"	"be"	"a"	"rich"	"group"	"senior"	"while"	"two"	"person"	"are"	"cast"	"as"	"virtual"	"rapist"	"i"	"suppose"	"i"	"should"	"disqualify"	"myself"	"sit"	"in"	"judgment"	"on"	"where_the_boys_are"	"but"	"i"	"shall"	"do"	"nothing"	"of"	"the"	"sort"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"that"	"of"	"and"	"thing"	"and_that"	"that_of"	"of_thing"	"team_spirit_and_that"	"and_that_of"	"that_of_thing"	"of_thing_''"	"NN"	"CC"	"IN"	"NN"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"often"	"hear"	"people"	"team_spirit"	"and"	"that"	"sort"	"of"	"thing"	"person"	"say"	"in"	"a"	"conversation"	"after"	"the"	"ceremony"	"but"	"what"	"this"	"team"	"have"	"be"	"a_little"	"different"	
"1:09:00::"	"this"	"of"	"allow"	"thing"	"allow_this"	"this_of"	"of_thing"	"man_allow_this"	"allow_this_of"	"this_of_thing"	"of_thing_to"	"NN"	"VB"	"DT"	"NN"	"RB"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"type"	"of"	"allow"	"this"	"sort"	"of"	"thing"	"to"	"happen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"following"	"to"	"the"	"corroborate"	"the_following"	"following_to"	"to_corroborate"	"of_the_following"	"the_following_to"	"following_to_corroborate"	"to_corroborate_him"	"IN"	"DT"	"JJ"	"NN"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"patient"	"himself"	"deny"	"that"	"he"	"have"	"any"	"visual"	"at_all"	"and"	"there"	"be"	"ample"	"evidence"	"of"	"the"	"following"	"sort"	"to"	"corroborate"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"different"	"of"	"a"	"experience"	"a_different"	"different_of"	"of_experience"	"provide_a_different"	"a_different_of"	"different_of_experience"	"of_experience_than"	"VB"	"DT"	"JJ"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"record"	"sound"	"like"	"record"	"they"	"provide"	"a"	"different"	"sort"	"of"	"experience"	"than"	"live"	"music"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"any"	"of"	"by"	"conventional"	"by_any"	"any_of"	"of_conventional"	"serve_by_any"	"by_any_of"	"any_of_conventional"	"of_conventional_mass_rapid_transit"	"VB"	"IN"	"DT"	"NN"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"group"	"enormous"	"installation"	"at"	"location"	"and"	"location"	"the"	"pentagon"	"group"	"in"	"location"	"group"	"and"	"group"	"in"	"los_angeles"	"the"	"automobile"	"assembly"	"plant"	"everywhere"	"none"	"of"	"these"	"is"	"substantially"	"serve"	"by"	"any"	"sort"	"of"	"conventional"	"mass_rapid_transit"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"that"	"again"	"of"	"''"	"of_that"	"that_again"	"again_''"	"trouble_of_that"	"of_that_again"	"that_again_''"	"again_''_."	"NN"	"RB"	"RB"	"NN"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"find"	"some"	"owl"	"had"	"build"	"a"	"nest"	"in"	"the"	"chimney"	"milord"	"i"	"promise"	"you"	"you"	"never"	"have"	"trouble"	"of"	"that"	"sort"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
