"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"1:06:00::"	"the"	","	"on"	"and"	"on_the"	"the_,"	",_and"	"fall_on_the"	"on_the_,"	"the_,_and"	",_and_he"	"VB"	"VB"	"DT"	"NN"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"cleansing"	"tissue"	"she"	"had"	"use"	"had"	"been"	"fall"	"on"	"the"	"floor"	"and"	"he"	"get_up"	"and"	"pick_up"	"one"	"then"	"another"	"hope"	"she"	"would"	"notice"	"what"	"he"	"was"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"concrete"	","	"with"	"should"	"with_concrete"	"concrete_,"	",_should"	",_with_concrete"	"with_concrete_,"	"concrete_,_should"	",_should_provide"	"ε"	"IN"	"NN"	"NN"	"ε"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"central"	"area"	"of"	"the"	"ground_floor"	"a"	"heavily"	"construct"	"apartment_building"	"with"	"concrete"	"floor"	"should"	"provide"	"more"	"fallout"	"protection"	"than"	"the"	"ordinary"	"basement"	"of"	"a"	"family"	"dwelling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"seventeenth"	"of"	"the"	"the"	"the_seventeenth"	"seventeenth_of"	"of_the"	"on_the_seventeenth"	"the_seventeenth_of"	"seventeenth_of_the"	"of_the_location"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"man"	"blow"	"dust"	"on"	"object"	"a"	"room"	"on"	"the"	"seventeenth"	"floor"	"of"	"the"	"location"	"and"	"blow"	"it"	"off"	"again"	"and"	"do"	"the"	"same"	"in"	"a"	"tiny"	"almost"	"airless"	"room"	"in"	"a"	"tenement"	"in"	"the"	"location"	"0"	"0"	"0"	"0"	
"1:06:01::"	"fourth"	","	"the"	"use"	"the_fourth"	"fourth_,"	",_use"	"on_the_fourth"	"the_fourth_,"	"fourth_,_use"	",_use_the"	"IN"	"DT"	"JJ"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"occupy"	"a"	"two"	"apartment"	"on"	"the"	"fourth"	"floor"	"use"	"the"	"second"	"bedroom"	"as"	"his"	"office"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"feeding"	"so"	"the"	"access"	"the_feeding"	"feeding_so"	"so_access"	"to_the_feeding"	"the_feeding_so"	"feeding_so_access"	"so_access_will"	"TO"	"DT"	"NN"	"NN"	"RB"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all-weather"	"road"	"must"	"be"	"next"	"to"	"the"	"feeding"	"floor"	"so"	"access"	"will"	"be"	"possible"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"plank"	"."	"a"	"∅"	"a_plank"	"plank_."	"._∅"	"on_a_plank"	"a_plank_."	"plank_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"again"	"he"	"stand"	"in"	"the"	"darkness"	"listen"	"but"	"there"	"was"	"only"	"the"	"scrape"	"a"	"shod"	"hoof"	"on"	"a"	"plank"	"floor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:01::"	"the"	"."	"into"	"∅"	"into_the"	"the_."	"._∅"	"bite_into_the"	"into_the_."	"the_._∅"	"._∅_∅"	"VB"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"twist"	"to"	"one"	"side"	"and"	"the"	"of"	"the"	"fork"	"bite"	"into"	"the"	"floor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"third"	"and"	"the"	"to"	"the_third"	"third_and"	"and_to"	"of_the_third"	"the_third_and"	"third_and_to"	"and_to_receive"	"IN"	"DT"	"JJ"	"NN"	"CC"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"person"	"send"	"person"	"for"	"person"	"he"	"be"	"to"	"complete"	"his"	"detailed"	"inspection"	"of"	"the"	"third"	"floor"	"and"	"to"	"receive"	"a"	"report"	"from"	"his"	"man"	"cover"	"the"	"floor"	"above"	"before"	"person"	"return"	"buoy_up"	"by"	"a"	"brief"	"stop"	"for"	"another"	"glass"	"of"	"champagne"	
"1:06:01::"	"the"	"above"	"cover"	"before"	"cover_the"	"the_above"	"above_before"	"man_cover_the"	"cover_the_above"	"the_above_before"	"above_before_person"	"NN"	"VB"	"DT"	"NN"	"IN"	"IN"	"NNP"	"send"	"person"	"for"	"person"	"he"	"be"	"able"	"to"	"complete"	"his"	"detailed"	"inspection"	"of"	"the"	"third"	"floor"	"and"	"to"	"receive"	"a"	"report"	"from"	"his"	"man"	"cover"	"the"	"above"	"before"	"person"	"return"	"buoy_up"	"by"	"a"	"brief"	"stop"	"for"	"another"	"glass"	"of"	"champagne"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"and"	"on"	"the"	"on_the"	"the_and"	"and_the"	"pile_on_the"	"on_the_and"	"the_and_the"	"and_the_pool"	"VB"	"IN"	"DT"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"i"	"did"	"n't"	"want"	"to"	"touch"	"him"	"and"	"i"	"hope"	"ma"	"would"	"do"	"it"	"but"	"she"	"keep"	"look"	"at"	"the"	"kid"	"clothes"	"pile"	"the"	"floor"	"and"	"the"	"pool"	"of"	"water"	"by"	"them"	"and"	"did"	"n't"	"make"	"any"	"move"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
