"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:32:00::"	"once"	","	"∅"	"we"	"∅_once"	"once_,"	",_we"	"∅_∅_once"	"∅_once_,"	"once_,_we"	",_we_be"	"ε"	"ε"	"RB"	"VB"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"settle"	"we"	"be"	"careful"	"to"	"walk"	"the"	"dogs"	"in"	"an"	"out_of_the_way"	"spot"	"keep"	"them"	"under_control"	"in"	"the"	"room"	"and"	"feed"	"and"	"bench"	"them"	"where"	"they"	"can"	"n't"	"do"	"any"	"harm"	"to"	"the"	"furnishings"	"or"	"the"	"furniture"	
"2:32:02::"	"to"	"this"	"try"	"dispute"	"try_to"	"to_this"	"this_dispute"	"we_try_to"	"try_to_this"	"to_this_dispute"	"this_dispute_''"	"PRP"	"VB"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"to"	"settle"	"this"	"dispute"	"he"	"say"	"but"	"could"	"never"	"come_to"	"an"	"agreement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"calm"	"on"	"approach"	"the"	"approach_calm"	"calm_on"	"on_the"	"something_approach_calm"	"approach_calm_on"	"calm_on_the"	"on_the_congo"	"NN"	"VB"	"JJ"	"VB"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"by"	"the"	"end"	"of"	"the"	"three-month"	"in"	"october"	"something"	"approach"	"calm"	"settle"	"on"	"the"	"congo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"air_mail"	"into"	"star_route"	"a"	"star_route_air_mail"	"air_mail_into"	"into_a"	"first_star_route_air_mail"	"star_route_air_mail_into"	"air_mail_into_a"	"into_a_routine"	"JJ"	"NNP"	"NN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"the"	"weeks"	"america"	"star_route"	"air_mail"	"settle"	"into"	"a"	"routine"	"pattern"	"despite"	"the"	"vagaries"	"of"	"weather"	"and"	"the"	"lack"	"of"	"ground"	"facilities"	"and"	"aids"	"to"	"navigation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"i"	"back"	"hanover"	"in"	"hanover_i"	"i_back"	"back_in"	"toward_hanover_i"	"hanover_i_back"	"i_back_in"	"back_in_my"	"IN"	"NNP"	"PRP"	"VB"	"RB"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"bus"	"turn"	"into"	"the"	"highway"	"and"	"head"	"toward"	"hanover"	"i"	"settle"	"back"	"in"	"my"	"seat"	"and"	"close"	"my"	"eyes"	"think_over"	"the"	"events"	"of"	"the"	"past"	"two_weeks"	"try"	"to"	"put"	"the"	"pieces"	"in_order"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"was"	"by"	"which"	"his"	"which_was"	"was_by"	"by_his"	"farm_which_was"	"which_was_by"	"was_by_his"	"by_his_grandfather"	"NN"	"WDT"	"VBD"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hengesbach"	"who"	"has"	"been"	"live_on"	"welfare"	"recently"	"say"	"hope"	"to"	"rebuild"	"the"	"farm"	"which"	"was"	"settle"	"by"	"his"	"grandfather"	"in"	"westphalia"	"miles"	"southwest"	"of"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"has"	"in"	"family"	"the"	"family_has"	"has_in"	"in_the"	"the_family_has"	"family_has_in"	"has_in_the"	"in_the_shelter"	"DT"	"NN"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"family"	"has"	"settle"	"in"	"the"	"shelter"	"the"	"housekeeping"	"rule"	"should"	"be"	"spell_out"	"by"	"the"	"adult"	"in"	"charge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"customer"	"for"	"trade"	"less"	"trade_customer"	"customer_for"	"for_less"	"your_trade_customer"	"trade_customer_for"	"customer_for_less"	"for_less_attention"	"PRP$"	"NN"	"NN"	"VB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"will"	"trade"	"customer"	"settle"	"for"	"less"	"attention"	"and"	"fewer"	"frills"	"in_return_for"	"some"	"benefit"	"they"	"can"	"share"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"them"	"plan"	"in"	"plan_to"	"to_them"	"them_in"	"a_plan_to"	"plan_to_them"	"to_them_in"	"them_in_the"	"DT"	"NN"	"TO"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"fifth"	"earl"	"of"	"location"	"a"	"noble"	"humanitarian"	"scot"	"concerned"	"with"	"the"	"plight"	"the"	"crofter"	"of"	"his"	"native"	"location"	"a"	"plan"	"to"	"settle"	"them"	"in"	"the"	"valley"	"of"	"the"	"red_river"	"of"	"the"	"north"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"not"	"such"	"would"	"question"	"would_not"	"not_such"	"such_question"	"author_would_not"	"would_not_such"	"not_such_question"	"such_question_,"	"NN"	"MD"	"RB"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"know"	"that"	"a"	"with"	"the"	"author"	"would"	"not"	"settle"	"such"	"question"	"because"	"a"	"man"	"be"	"not"	"the"	"same"	"as"	"his"	"writing"	"in_the_last_analysis"	"the"	"question"	"had"	"to"	"be"	"settle"	"by"	"the"	"work"	"itself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
