"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"1:11:00::"	"that"	"over"	"follow"	"communism"	"follow_that"	"that_over"	"over_communism"	"it_follow_that"	"follow_that_over"	"that_over_communism"	"over_communism_be"	"PRP"	"VB"	"IN"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"that"	"victory"	"over"	"communism"	"be"	"the"	"dominant"	"proximate"	"goal"	"of"	"american"	"policy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"televise"	"."	"nationally"	"∅"	"nationally_televise"	"televise_."	"._∅"	"'s_nationally_televise"	"nationally_televise_."	"televise_._∅"	"._∅_∅"	"POS"	"RB"	"VB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"ball-hawking"	"defensive"	"expert"	"was"	"cite"	"for"	"his"	"against"	"group"	"in"	"group"	"nationally"	"televise"	"victory"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"the"	"be"	"∅"	"the"	"∅_the"	"the_be"	"be_the"	"∅_∅_the"	"∅_the_be"	"the_be_the"	"be_the_first"	"ε"	"ε"	"DT"	"NN"	"VB"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"victory"	"be"	"the"	"first"	"of"	"the"	"season"	"for"	"the"	"group"	"after"	"nine"	"defeat"	"and"	"a"	"tie"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"straight"	"of"	"third"	"the"	"third_straight"	"straight_of"	"of_the"	"'_third_straight"	"third_straight_of"	"straight_of_the"	"of_the_new"	"ε"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"third"	"straight"	"victory"	"of"	"the"	"new"	"season"	"and"	"run"	"the"	"group"	"winning"	"streak"	"to"	"four"	"straight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"5"	"over"	"-"	"the"	"-_5"	"5_over"	"over_the"	"6_-_5"	"-_5_over"	"5_over_the"	"over_the_group"	"CD"	"ε"	"CD"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"line_double"	"which"	"just"	"elude"	"the"	"dive"	"person"	"in"	"leftfield"	"drive_in"	"person"	"with"	"the"	"winning"	"run"	"with"	"two"	"out"	"in"	"the"	"last"	"of"	"ninth"	"to"	"give"	"the"	"group"	"a"	"victory"	"over"	"the"	"group"	"monday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"no"	","	"against"	"while"	"against_no"	"no_,"	",_while"	"second_against_no"	"against_no_,"	"no_,_while"	",_while_person"	"JJ"	"IN"	"DT"	"NN"	"ε"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"tag"	"with"	"the"	"his"	"second"	"against"	"no"	"victory"	"while"	"person"	"win"	"his"	"second"	"game"	"against"	"a"	"single"	"loss"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"world_series"	"in"	"a"	"his"	"a_world_series"	"world_series_in"	"in_his"	"and_a_world_series"	"a_world_series_in"	"world_series_in_his"	"in_his_first"	"CC"	"DT"	"NN"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"triumph"	"make"	"person"	"only"	"the"	"third"	"man"	"lead"	"a"	"team"	"to"	"both"	"a"	"pennant"	"and"	"a"	"world_series"	"victory"	"in"	"his"	"first"	"year"	"as"	"a"	"manager"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"clear"	"he"	"one"	"had"	"one_clear"	"clear_he"	"he_had"	"the_one_clear"	"one_clear_he"	"clear_he_had"	"he_had_talk_about"	"DT"	"JJ"	"JJ"	"NN"	"PRP"	"VBD"	"VB"	"himself"	"be"	"prey"	"to"	"this"	"spirit"	"of"	"competition"	"and"	"he"	"know"	"it"	"not"	"for"	"a"	"more"	"exalted"	"office"	"in"	"the"	"hierarchy"	"of"	"the"	"church"	"his"	"ambition"	"for"	"the"	"bishopry"	"had"	"die"	"very"	"early"	"in"	"his"	"career"	"but"	"for"	"one"	"clear"	"he"	"had"	"talk_about"	"to"	"the"	"colonel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"their"	"drought"	"end"	"as"	"end_their"	"their_drought"	"drought_as"	"to_end_their"	"end_their_drought"	"their_drought_as"	"drought_as_they"	"TO"	"VB"	"PRP$"	"NN"	"NN"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"indication"	"as_late_as"	"the"	"top"	"of"	"the"	"sixth"	"that"	"the"	"group"	"were"	"to"	"end"	"their"	"victory"	"drought"	"as"	"they"	"coast"	"along"	"with"	"a"	"to-o"	"advantage"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"fifth"	"in"	"their"	"eight"	"their_fifth"	"fifth_in"	"in_eight"	"group_their_fifth"	"their_fifth_in"	"fifth_in_eight"	"in_eight_start"	"NNP"	"PRP$"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"two"	"run"	"homer"	"by"	"person"	"and"	"a"	"solo_blast"	"by"	"person"	"tie"	"the"	"and"	"single"	"run"	"in"	"the"	"eighth"	"and"	"ninth"	"give"	"the"	"group"	"their"	"fifth"	"victory"	"in"	"eight"	"start"	"0"	"0"	"0"	"0"	"0"	"0"	
