"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"1:18:02::"	","	","	"officer"	"or"	"officer_,"	",_,"	",_or"	"its_officer_,"	"officer_,_,"	",_,_or"	",_or_employee"	"PRP$"	"NN"	"ε"	"NN"	"ε"	"CC"	"NN"	"secretary_of_the_treasury"	"or"	"the"	"comptroller_general"	"of"	"the"	"united_states"	"as"	"the"	"case"	"may"	"be"	"shall"	"find"	"that"	"any"	"person"	"be"	"entitled"	"to"	"any"	"such"	"payment"	"after"	"such"	"payment"	"shall"	"have"	"been"	"receive"	"by"	"such"	"person"	"it"	"shall"	"be"	"an"	"absolute"	"bar"	"to"	"recovery"	"by"	"any"	"person"	"against"	"the"	"united_states"	"its"	"officer"	"agent"	"or"	"with_respect_to"	"such"	"payment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"and"	"to"	"arms"	"threaten"	"arms_and"	"and_to"	"to_threaten"	"with_arms_and"	"arms_and_to"	"and_to_threaten"	"to_threaten_the_americas"	"IN"	"NN"	"CC"	"NN"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look_at"	"person"	"now"	"cocky"	"ever"	"with"	"arms"	"and"	"agent"	"to"	"threaten"	"the_americas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"disciplined"	"of"	"whether"	"the"	"whether_disciplined"	"disciplined_of"	"of_the"	"merely_whether_disciplined"	"whether_disciplined_of"	"disciplined_of_the"	"of_the_cominform"	"RB"	"IN"	"JJ"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"answer"	"these"	"question"	"we"	"need"	"to"	"ask"	"not"	"merely"	"whether"	"communist"	"troops"	"have"	"over"	"into"	"territory"	"they"	"did"	"not"	"occupy"	"before"	"and"	"not"	"merely"	"whether"	"disciplined"	"agent"	"of"	"the"	"cominform"	"be"	"in"	"control"	"of"	"government"	"from"	"which"	"they"	"were"	"formerly"	"exclude"	
"1:17:00::"	"of"	"over"	"cloud"	"the"	"cloud_of"	"of_over"	"over_the"	"or_cloud_of"	"cloud_of_over"	"of_over_the"	"over_the_target_area"	"CC"	"NN"	"IN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"important"	"operational"	"procedure"	"in"	"bw"	"for"	"an"	"would"	"be"	"to"	"create"	"an"	"aerosol"	"or"	"cloud"	"of"	"agent"	"over"	"the"	"target_area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"infectious"	"through"	"an"	"the"	"an_infectious"	"infectious_through"	"through_the"	"to_an_infectious"	"an_infectious_through"	"infectious_through_the"	"through_the_respiratory"	"TO"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"number"	"of"	"unique"	"medical"	"problem"	"might"	"create"	"when"	"man"	"is"	"expose"	"to"	"an"	"infectious"	"agent"	"through"	"the"	"respiratory"	"route"	"rather_than"	"by"	"the"	"natural"	"portal"	"of"	"entry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"an"	"that"	"choose"	"is"	"choose_an"	"an_that"	"that_is"	"obviously_choose_an"	"choose_an_that"	"an_that_is"	"that_is_believe"	"RB"	"VB"	"DT"	"NN"	"RB"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"enemy"	"obviously"	"choose"	"an"	"agent"	"that"	"is"	"believe"	"to"	"be"	"highly"	"infectious"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"an"	"would"	"∅"	"likely"	"∅_an"	"an_would"	"would_likely"	"∅_∅_an"	"∅_an_would"	"an_would_likely"	"would_likely_be"	"ε"	"ε"	"DT"	"NN"	"MD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"agent"	"would"	"likely"	"be"	"select"	"which"	"would"	"sufficient"	"viability"	"and"	"virulence"	"stability"	"to"	"meet"	"realistic"	"minimal"	"logistic"	"requirement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"an"	"against"	"use"	"which"	"use_an"	"an_against"	"against_which"	"would_use_an"	"use_an_against"	"an_against_which"	"against_which_there"	"MD"	"VB"	"DT"	"NN"	"IN"	"WDT"	"EX"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"aggressor"	"use"	"an"	"agent"	"against"	"which"	"there"	"be"	"a"	"minimal"	"naturally"	"acquire"	"or"	"artificially"	"induce"	"immunity"	"in"	"a"	"target"	"population"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"biological"	"be"	"∅"	","	"∅_biological"	"biological_be"	"be_,"	"∅_∅_biological"	"∅_biological_be"	"biological_be_,"	"be_,_of_course"	"ε"	"ε"	"JJ"	"NN"	"VB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"agent"	"be"	"of_course"	"highly"	"host"	"specific"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"biological"	"from"	"of"	"appropriate"	"of_biological"	"biological_from"	"from_appropriate"	"delivery_of_biological"	"of_biological_from"	"biological_from_appropriate"	"from_appropriate_disseminating"	"NN"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"major"	"defensive"	"problem"	"are"	"concerned"	"the"	"possibility"	"overt"	"military"	"delivery"	"of"	"biological"	"agent"	"from"	"appropriate"	"disseminating"	"device"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"biological"	"be"	"∅"	","	"∅_biological"	"biological_be"	"be_,"	"∅_∅_biological"	"∅_biological_be"	"biological_be_,"	"be_,_moreover"	"ε"	"ε"	"JJ"	"NN"	"VB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"agent"	"be"	"moreover"	"suitable"	"for"	"delivery"	"through"	"enemy"	"sabotage"	"which"	"impose"	"many"	"problem"	"in"	"defense"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	","	"and"	"person"	"chief"	"person_,"	",_and"	"and_chief"	"1931_person_,"	"person_,_and"	",_and_chief"	"and_chief_operator"	"CD"	"NNP"	"ε"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"agent"	"and"	"chief"	"operator"	"who"	"was"	"to"	"retire"	"in"	"with"	"thirty"	"year"	"service"	"lead"	"agency"	"office"	"in"	"sale"	"for"	"the"	"year"	"with"	"0"	"0"	"0"	"0"	"0"	"0"	
