"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"2:41:02::"	"to"	"his"	"chance"	"patient"	"chance_to"	"to_his"	"his_patient"	"a_chance_to"	"chance_to_his"	"to_his_patient"	"his_patient_."	"DT"	"NN"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"secondly"	"the"	"va"	"physician"	"know"	"that"	"when"	"the"	"patient"	"leave"	"hospital"	"he"	"is"	"no_longer"	"going_to"	"a"	"chance"	"to"	"visit"	"his"	"patient"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"i"	"the"	"∅"	"bank"	"∅_i"	"i_the"	"the_bank"	"∅_∅_i"	"∅_i_the"	"i_the_bank"	"the_bank_in"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"visit"	"the"	"bank"	"in"	"march"	"and"	"write"	"a"	"story"	"about"	"the"	"situation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"and"	"the"	"stage"	"orthodontist"	"stage_and"	"and_the"	"the_orthodontist"	"treatment_stage_and"	"stage_and_the"	"and_the_orthodontist"	"the_orthodontist_once"	"NN"	"NN"	"CC"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"next"	"susie"	"will"	"the"	"treatment"	"stage"	"and"	"visit"	"the"	"orthodontist"	"once"	"or"	"twice"	"a"	"month"	"depending_on"	"the"	"severity"	"of"	"her"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"weeks"	"in"	"several"	"florida"	"several_weeks"	"weeks_in"	"in_florida"	"spend_several_weeks"	"several_weeks_in"	"weeks_in_florida"	"in_florida_."	"VB"	"JJ"	"NNS"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"miss_eileen_grant"	"is"	"several"	"weeks"	"visit"	"in"	"florida"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"will"	"in"	"and"	"clearwater"	"and_will"	"will_in"	"in_clearwater"	",_and_will"	"and_will_in"	"will_in_clearwater"	"in_clearwater_."	"ε"	"CC"	"MD"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"mr."	"and"	"mrs._james_f._mitchell"	"with"	"their"	"daughter"	"anne"	"and"	"son"	"james"	"jr."	"spend"	"several"	"weeks"	"in"	"florida"	"and"	"visit"	"in"	"clearwater"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"the"	"recently"	"very"	"recently_i"	"i_the"	"the_very"	"∅_recently_i"	"recently_i_the"	"i_the_very"	"the_very_remarkable"	"ε"	"RB"	"PRP"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"visit"	"the"	"very"	"remarkable"	"pilgrim_school"	"for"	"retarded"	"children"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"entertainers"	"portland"	"name"	","	"name_entertainers"	"entertainers_portland"	"portland_,"	"big_name_entertainers"	"name_entertainers_portland"	"entertainers_portland_,"	"portland_,_among"	"JJ"	"NN"	"NNS"	"VB"	"NNP"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"collaborate"	"with"	"the"	"big"	"name"	"entertainers"	"visit"	"portland"	"among"	"the_most"	"recent"	"be"	"jimmy_durante"	"and"	"phil_silvers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"ever"	"the"	"he"	"academy"	"he_ever"	"ever_the"	"the_academy"	"if_he_ever"	"he_ever_the"	"ever_the_academy"	"the_academy_and_then"	"IN"	"PRP"	"RB"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"invite"	"mr._case"	"to"	"stop"	"to"	"say"	"hello"	"if"	"he"	"ever"	"visit"	"the"	"academy"	"and_then"	"add"	"that"	"he"	"be"	"on"	"the"	"managerial"	"staff"	"of"	"the"	"freshman"	"football_team"	"we"	"have"	"just"	"return"	"from"	"roswell"	"n._m."	"where"	"we"	"were"	"defeat"	"to"	"the"	"young_man"	"note"	
"2:38:00::"	"he"	"on"	"countries"	"a"	"countries_he"	"he_on"	"on_a"	"the_countries_he"	"countries_he_on"	"he_on_a"	"on_a_recent"	"DT"	"NNS"	"PRP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._freeman"	"say"	"that"	"many_of"	"the"	"countries"	"he"	"visit"	"on"	"a"	"recent"	"world"	"trade"	"trip"	"people"	"were"	"more"	"awed"	"by"	"america"	"capacity"	"to"	"produce"	"food"	"surpluses"	"than"	"by"	"our"	"industrial"	"production"	"or"	"even"	"by"	"the"	"soviet"	"successes"	"in"	"space"	"0"	"0"	
"2:41:02::"	"was"	"next_door"	","	"when"	",_was"	"was_next_door"	"next_door_when"	"mrs._eleanor_somerville_,_was"	",_was_next_door"	"was_next_door_when"	"next_door_when_the"	"NNP"	"ε"	"VBD"	"VB"	"RB"	"WRB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"police"	"say"	"the"	"children"	"mrs._eleanor_somerville"	"was"	"visit"	"next_door"	"when"	"the"	"fire"	"occur"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
