"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"2:39:00::"	"to"	"these"	";"	"giveaways"	";_to"	"to_these"	"these_giveaways"	"him_;_to"	";_to_these"	"to_these_giveaways"	"these_giveaways_the"	"PRP"	"ε"	"TO"	"VB"	"DT"	"NNS"	"DT"	"this"	"intensive"	"study"	"of"	"the"	"taped"	"interviews"	"by"	"teams"	"of"	"psychotherapists"	"and"	"linguists"	"laid_bare"	"the"	"surprising"	"fact"	"that"	"in"	"the"	"first"	"five"	"minutes"	"of"	"an"	"initial"	"interview"	"the"	"patient"	"often"	"reveal"	"as_many"	"as"	"a"	"dozen"	"times"	"just"	"what"	"wrong"	"with"	"him"	"to"	"spot"	"giveaways"	"the"	"therapist"	"must"	"know"	"either"	"intuitively"	"or"	"scientifically"	"how"	"to"	"listen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"sloan"	"public"	"forgeries"	"public_to"	"to_sloan"	"sloan_forgeries"	"the_public_to"	"public_to_sloan"	"to_sloan_forgeries"	"sloan_forgeries_,"	"DT"	"JJ"	"TO"	"VB"	"NNP"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"enable"	"students"	"the"	"public"	"to"	"spot"	"sloan"	"forgeries"	"the"	"delaware_art_center"	"according"	"to"	"its"	"director"	"bruce_st._john"	"will"	"maintain"	"a"	"complete"	"file"	"of"	"photographs"	"of"	"all"	"sloan"	"works"	"as_well"	"as"	"a"	"card"	"index"	"file"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"trooper_j._a._grzesiak"	"the"	"∅"	"wanted"	"∅_trooper_j._a._grzesiak"	"trooper_j._a._grzesiak_the"	"the_wanted"	"∅_∅_trooper_j._a._grzesiak"	"∅_trooper_j._a._grzesiak_the"	"trooper_j._a._grzesiak_the_wanted"	"the_wanted_car"	"ε"	"ε"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"spot"	"the"	"wanted"	"car"	"with"	"three"	"boys"	"at"	"a"	"route"	"service_station"	"just"	"outside"	"annapolis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	","	"me"	"plainclothesman"	"and"	"plainclothesman_,"	",_me"	"me_and"	"the_plainclothesman_,"	"plainclothesman_,_me"	",_me_and"	"me_and_say"	"DT"	"NN"	"ε"	"VB"	"PRP"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"one"	"of"	"plainclothesman"	"spot"	"me"	"and"	"say"	"hi"	"person"	"and"	"walk"	"toward"	"me"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"and"	"person"	"nine"	"in"	"nine_and"	"and_person"	"person_in"	"before_nine_and"	"nine_and_person"	"and_person_in"	"person_in_the"	"IN"	"JJ"	"CC"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"according"	"to"	"person"	"he"	"arrive"	"here"	"couple"	"minute"	"before"	"nine"	"and"	"spot"	"person"	"in"	"the"	"water"	"get"	"a"	"hooked"	"pole"	"from"	"the"	"pool"	"equipment"	"locker"	"and"	"start"	"haul"	"him"	"out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"tough"	"."	"a"	"∅"	"a_tough"	"tough_."	"._∅"	"in_a_tough"	"a_tough_."	"tough_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"outside"	"of"	"combat"	"he"	"could"	"have"	"land"	"in"	"a"	"tough"	"spot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"had"	"a"	"he"	"tank"	"he_had"	"had_a"	"a_tank"	"think_he_had"	"he_had_a"	"had_a_tank"	"a_tank_and"	"VB"	"PRP"	"VBD"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"person"	"he"	"had"	"spot"	"a"	"tank"	"and"	"go_down"	"to"	"investigate"	"while"	"person"	"cover"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"from"	"drawing"	","	"for"	",_from"	"from_drawing"	"drawing_for"	"commission_,_from"	",_from_drawing"	"from_drawing_for"	"drawing_for_advertising_agency"	"NN"	"ε"	"IN"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"among"	"us"	"we"	"three"	"handle"	"quite"	"few"	"small"	"commission"	"from"	"spot"	"drawing"	"for"	"advertising_agency"	"uptown"	"to"	"magazine"	"work"	"and"	"quick"	"lettering"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"that"	"where"	"near"	"-"	"near_that"	"that_where"	"where_-"	"enviably_near_that"	"near_that_where"	"that_where_-"	"where_-_hidden"	"RB"	"JJ"	"IN"	"NN"	"WRB"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"the"	"rapidly"	"diminishing"	"outline"	"of"	"a"	"jump_seat"	"pile"	"high"	"with"	"luggage"	"black"	"brush_cut"	"be"	"just"	"discernible"	"near"	"or"	"enviably"	"near"	"that"	"spot"	"where"	"hidden"	"more"	"delicately"	"textured"	"most"	"beautifully"	"tinted"	"hair"	"must"	"still"	"be"	"stream"	"back"	"in"	"cool"	"oh"	"cool"	"wind"	"sweetly"	"perfumed"	"with"	"sagebrush"	"and"	"yucca"	"flower"	"and"	"engine"	"fumes"	
"1:15:01::"	"this"	"and"	"to"	"this"	"to_this"	"this_and"	"and_this"	"stick_to_this"	"to_this_and"	"this_and_this"	"and_this_section"	"VB"	"VB"	"DT"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"some"	"feel"	"that"	"we"	"should"	"march"	"toward"	"location"	"and"	"take_up"	"new"	"ahead"	"the"	"slow-moving"	"british"	"column"	"but"	"another"	"group"	"maintain"	"that"	"we"	"should"	"stick"	"to"	"this"	"spot"	"and"	"this"	"section"	"of"	"road"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
