"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"
"2:30:00::"	"to"	"on"	"continue"	"the"	"continue_to"	"to_on"	"on_the"	",_continue_to"	"continue_to_on"	"to_on_the"	"on_the_chahar_bagh"	"ε"	"VB"	"TO"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"promenade"	"for_example"	"to"	"take_place"	"on"	"the"	"chahar_bagh"	"a"	"mile-long"	"garden"	"of"	"plane"	"and"	"poplar_trees"	"that"	"now"	"serve"	"as"	"the"	"city"	"principal"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"could"	"on"	"which"	"shayol"	"which_could"	"could_on"	"on_shayol"	"events_which_could"	"which_could_on"	"could_on_shayol"	"on_shayol_."	"NNS"	"WDT"	"MD"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"know"	"all"	"events"	"which"	"could"	"take_place"	"on"	"shayol"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"n't"	"in"	"does"	"an"	"does_n't"	"n't_in"	"in_an"	"it_does_n't"	"does_n't_in"	"n't_in_an"	"in_an_atmosphere"	"PRP"	"VBZ"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"american"	"romance"	"almost"	"nothing"	"rate"	"higher"	"than"	"what"	"the"	"movie"	"men"	"have"	"call"	"cute"	"that_is"	"boy-meets-girl"	"seem"	"more"	"adorable"	"if"	"it"	"does"	"n't"	"take_place"	"in"	"an"	"atmosphere"	"of"	"correct"	"and"	"acute"	"boredom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"it"	"overnight"	"think"	"."	"think_it"	"it_overnight"	"overnight_."	"would_think_it"	"think_it_overnight"	"it_overnight_."	"overnight_._∅"	"MD"	"VB"	"PRP"	"VB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"remember"	"being"	"tell"	"it"	"would"	"so"	"fast"	"people"	"would"	"think"	"it"	"take_place"	"overnight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"it"	"around"	"wherever"	"the"	"wherever_it"	"it_around"	"around_the"	",_wherever_it"	"wherever_it_around"	"it_around_the"	"around_the_globe"	"ε"	"WRB"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"secretary"	"greatest"	"achievement"	"be"	"perhaps"	"the"	"rekindling"	"nato"	"realization"	"that"	"east-west"	"friction"	"wherever"	"it"	"take_place"	"around"	"the"	"globe"	"be"	"in_essence"	"the"	"general"	"conflict"	"between"	"two"	"entirely"	"different"	"societies"	"and"	"must"	"be"	"treat"	"as_such"	"without"	"regard_to"	"geographical"	"distance"	"or"	"lack"	"of"	"apparent"	"connection"	
"2:30:00::"	"meeting"	"in"	"our"	"may"	"our_meeting"	"meeting_in"	"in_may"	"∅_our_meeting"	"our_meeting_in"	"meeting_in_may"	"in_may_,"	"ε"	"PRP$"	"NN"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"meeting"	"take_place"	"in"	"may"	"during"	"one"	"of"	"the"	"maestro"	"stop-overs"	"in"	"new_york"	"before"	"he"	"leave"	"for"	"europe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"will"	"at"	"volunteers"	"1"	"volunteers_will"	"will_at"	"at_1"	"these_volunteers_will"	"volunteers_will_at"	"will_at_1"	"at_1_:"	"DT"	"NNS"	"MD"	"VB"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"april"	"ceremonies"	"commemorate"	"the"	"of"	"these"	"volunteers"	"will"	"take_place"	"at"	"p._m."	"at"	"the"	"dexter_training"	"grounds"	"in"	"providence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"in"	"all"	"the"	"all_to"	"to_in"	"in_the"	"be_all_to"	"all_to_in"	"to_in_the"	"in_the_proper"	"VB"	"DT"	"TO"	"VB"	"IN"	"DT"	"JJ"	"several"	"of"	"the"	"more"	"advanced"	"of"	"the"	"less"	"developed"	"countries"	"have"	"find"	"through"	"experience"	"that"	"they"	"must"	"plan"	"their"	"own"	"complex"	"investment"	"programs"	"for"	"at_least"	"years"	"forward"	"and"	"tentatively"	"for"	"considerably"	"more_than"	"that"	"if"	"they"	"are"	"to"	"be"	"sure"	"that"	"the"	"various"	"interdependent"	"activities"	"involved"	"be"	"to"	"in"	"the"	"proper"	"sequence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"engineering"	"july"	"of"	"4"	"of_engineering"	"engineering_july"	"july_4"	"piece_of_engineering"	"of_engineering_july"	"engineering_july_4"	"july_4_,"	"NN"	"IN"	"NN"	"VB"	"NNP"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"dinner"	"and"	"celebration"	"honor"	"of_this"	"piece"	"of"	"engineering"	"take_place"	"july"	"in"	"a"	"tavern"	"erect"	"by"	"the"	"corporation"	"on"	"the"	"island"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"all"	"in"	"it"	"the"	"it_all"	"all_in"	"in_the"	"∅_it_all"	"it_all_in"	"all_in_the"	"in_the_eighteenth"	"ε"	"PRP"	"DT"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"take_place"	"in"	"the"	"eighteenth"	"century"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
