"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:32:00::"	"president_kennedy"	"after"	","	"mount"	",_president_kennedy"	"president_kennedy_after"	"after_mount"	"''_,_president_kennedy"	",_president_kennedy_after"	"president_kennedy_after_mount"	"after_mount_the"	"ε"	"ε"	"NNP"	"VB"	"IN"	"VB"	"DT"	"they"	"play"	"hail"	"to"	"the"	"chief"	"better"	"than"	"the"	"marine_corps"	"band"	"and"	"we"	"be"	"grateful"	"to"	"them"	"president_kennedy"	"remark"	"mount"	"the"	"bandstand"	"and"	"shake_hands"	"with"	"conductor"	"james_christian_pfohl"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"president"	"that"	"england-born"	"``"	"england-born_president"	"president_that"	"that_``"	"new_england-born_president"	"england-born_president_that"	"president_that_``"	"that_``_probably"	"NNP"	"NNP|VBN"	"NNP"	"VB"	"IN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"display"	"his"	"knowledge"	"of"	"the"	"new"	"england-born"	"president"	"remark"	"that"	"probably"	"the"	"best"	"chamber_music"	"in"	"the"	"world"	"is"	"play"	"in"	"vermont"	"by"	"young"	"americans"	"and"	"here"	"in_this"	"school"	"where"	"they"	"have"	"produce"	"extraordinary"	"musicians"	"and"	"teachers"	"and"	"their"	"work"	"is"	"being"	"duplicate"	"all"	"across"	"the"	"united_states"	
"2:32:00::"	"churchmen"	","	"some"	"there"	"some_churchmen"	"churchmen_,"	",_there"	",_some_churchmen"	"some_churchmen_,"	"churchmen_,_there"	",_there_be"	"ε"	"DT"	"NNS"	"VB"	"ε"	"EX"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and_then"	"churchmen"	"remark"	"there"	"be"	"a"	"more"	"classical"	"church-state"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"helva"	"''"	"calmly"	"''_,"	",_helva"	"helva_calmly"	"madam_''_,"	"''_,_helva"	",_helva_calmly"	"helva_calmly_."	"NN"	"ε"	"ε"	"VB"	"NNP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yes"	"we"	"have"	"quite_a_few"	"years"	"of"	"training"	"madam"	"remark"	"helva"	"calmly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"one"	"''"	"gentleman"	"''_,"	",_one"	"one_gentleman"	"well_''_,"	"''_,_one"	",_one_gentleman"	"one_gentleman_who"	"UH"	"ε"	"ε"	"VB"	"CD"	"NN"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"one"	"gentleman"	"who"	"had"	"been"	"force"	"to"	"accompany"	"his"	"wife"	"the"	"good"	"lord"	"can"	"eat"	"where"	"angels"	"fear"	"to"	"tread"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"authorities"	"on"	"the"	"her"	"the_authorities"	"authorities_on"	"on_her"	"if_the_authorities"	"the_authorities_on"	"authorities_on_her"	"on_her_curious"	"IN"	"DT"	"NNS"	"VB"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"authorities"	"remark"	"on"	"her"	"curious"	"avocation"	"they"	"did"	"so"	"among"	"themselves"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"his"	"when"	"for"	"he"	"for_his"	"his_when"	"when_he"	"him_for_his"	"for_his_when"	"his_when_he"	"when_he_had"	"PRP"	"IN"	"PRP$"	"NN"	"WRB"	"PRP"	"VBD"	"0"	"he"	"had"	"never"	"hear"	"so"	"many"	"bell"	"and"	"as"	"he"	"lie"	"there"	"listen"	"he"	"think_of"	"her"	"scold"	"him"	"his"	"remark"	"when"	"he"	"had"	"look"	"up"	"at"	"the"	"obelisk"	"and"	"the"	"church"	"at"	"the"	"top"	"of"	"the"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"my"	","	"extend"	"i"	"extend_my"	"my_,"	",_i"	"to_extend_my"	"extend_my_,"	"my_,_i"	",_i_include"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"under"	"leave"	"extend"	"my"	"remark"	"i"	"include"	"the"	"relevant"	"portion"	"of"	"my"	"newsletter"	"together"	"with"	"the"	"text"	"of"	"the"	"article"	"from"	"the"	"u._s._news_+_world_report"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"person"	","	","	"such"	",_person"	"person_,"	",_such"	"in_any_case_,_person"	",_person_,"	"person_,_such"	",_such_problem"	"RB"	"ε"	"NNP"	"VB"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_any_case"	"remark"	"such"	"problem"	"be"	"a"	"couple"	"own"	"affair"	"and"	"can"	"n't"	"always"	"be"	"measure"	"by"	"a"	"general"	"yardstick"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"choice"	"make"	"the"	"by"	"the_choice"	"choice_make"	"make_by"	"of_the_choice"	"the_choice_make"	"choice_make_by"	"make_by_soldier"	"IN"	"DT"	"JJ"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"the"	"choice"	"remark"	"make"	"by"	"soldier"	"in"	"their"	"letter"	"be"	"in"	"disparagement"	"of"	"unpopular"	"officer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
