"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"5:00:00:operational:00"	"the"	"force"	"in"	"."	"in_the"	"the_force"	"force_."	"woman_in_the"	"in_the_force"	"the_force_."	"force_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"budget"	"will"	"provide_for"	"in"	"the"	"fiscal_year"	"for"	"the"	"continued"	"support"	"of"	"our"	"force"	"at"	"approximately"	"the"	"present"	"level"	"a"	"year-end"	"strength"	"of"	"man"	"and"	"in"	"the"	"active"	"force"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:operational:00"	"the"	"force"	"of"	"."	"of_the"	"the_force"	"force_."	"mission_of_the"	"of_the_force"	"the_force_."	"force_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"reserve"	"component"	"are"	"to"	"serve"	"effectively"	"in"	"time"	"of"	"war"	"their"	"basic"	"organization"	"and"	"objective"	"must"	"the"	"changing"	"character"	"and"	"mission"	"of"	"the"	"active"	"force"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:operational:00"	"for"	","	"pay"	"reserve"	"pay_for"	"for_,"	",_reserve"	"include_pay_for"	"pay_for_,"	"for_,_reserve"	",_reserve_,"	"VB"	"NN"	"VB"	"JJ"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"about"	"of"	"the"	"expenditure"	"for"	"the"	"department_of_defense"	"in"	"be"	"military_personnel"	"cost"	"include"	"pay"	"for"	"active"	"reserve"	"and"	"retired"	"military_personnel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:operational:00"	"for"	"personnel"	"rate_of_pay"	"."	"rate_of_pay_for"	"for_personnel"	"personnel_."	"current_rate_of_pay_for"	"rate_of_pay_for_personnel"	"for_personnel_."	"personnel_._∅"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"traditionally"	"rate_of_pay"	"for"	"retired"	"military_personnel"	"have"	"proportionate"	"to"	"current"	"rate_of_pay"	"for"	"active"	"personnel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:03::"	"an"	"program"	"pursue"	"to"	"pursue_an"	"an_program"	"program_to"	"is_pursue_an"	"pursue_an_program"	"an_program_to"	"program_to_provide"	"VBZ"	"VB"	"DT"	"JJ"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"pursue"	"an"	"active"	"program"	"to"	"provide"	"a"	"temperature"	"scale"	"and"	"thermometer"	"calibration"	"service"	"in"	"the"	"range"	"to"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:involved:00"	"an"	"part"	"resume"	"in"	"resume_an"	"an_part"	"part_in"	"and_resume_an"	"resume_an_part"	"an_part_in"	"part_in_university"	"CC"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"return"	"in"	"resume"	"an"	"active"	"part"	"in"	"university"	"and"	"political"	"discussion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"detergent"	"was"	"synthetic"	"recognize"	"synthetic_detergent"	"detergent_was"	"was_recognize"	"and_synthetic_detergent"	"synthetic_detergent_was"	"detergent_was_recognize"	"was_recognize_and"	"CC"	"JJ"	"NN"	"NN"	"VBD"	"VB"	"CC"	"renewed"	"life"	"to"	"soap"	"product"	"at"	"a"	"time"	"when"	"surfactant"	"be"	"a"	"threat"	"though"	"expensive"	"and"	"these"	"same"	"polyphosphate"	"spell"	"the"	"decline"	"of"	"soap"	"usage"	"when"	"the"	"synergism"	"between"	"polyphosphate"	"and"	"synthetic"	"detergent"	"was"	"recognize"	"and"	"exploit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"detergent"	"belong_to"	","	"the"	",_detergent"	"detergent_belong_to"	"belong_to_the"	"well_known_,_detergent"	",_detergent_belong_to"	"detergent_belong_to_the"	"belong_to_the_chemical"	"JJ"	"ε"	"NN"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as_is"	"detergent"	"active"	"belong_to"	"the"	"chemical"	"class"	"consist_of"	"moderately"	"high"	"molecular_weight"	"and"	"highly"	"polar"	"molecule"	"which"	"exhibit"	"the"	"property"	"of"	"form"	"micelle"	"in"	"solution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"detergent"	"to"	"of"	"congregate"	"of_detergent"	"detergent_to"	"to_congregate"	"ability_of_detergent"	"of_detergent_to"	"detergent_to_congregate"	"to_congregate_at"	"NN"	"IN"	"NN"	"NN"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"related_to"	"micelle"	"formation"	"be"	"technologically"	"important"	"ability"	"of"	"detergent"	"active"	"to"	"congregate"	"at"	"oil-water_interface"	"in"	"such"	"a"	"manner"	"that"	"the"	"polar"	"or"	"ionized"	"end"	"of"	"the"	"molecule"	"is"	"direct"	"towards"	"the"	"aqueous"	"phase"	"and"	"the"	"hydrocarbon"	"chain"	"towards"	"the"	"oily"	"phase"	
"1:27:00::"	"detergent"	"also"	"substance"	"tend"	"substance_detergent"	"detergent_also"	"also_tend"	"∅_substance_detergent"	"substance_detergent_also"	"detergent_also_tend"	"also_tend_to"	"ε"	"NN"	"NN"	"NN"	"RB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"detergent"	"active"	"also"	"tend"	"to"	"be"	"strongly"	"sorb"	"from"	"aqueous"	"medium"	"onto"	"surface"	"of"	"contiguous"	"condensed"	"phase"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
