"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"1:19:00::"	"the"	"camp"	"of"	","	"of_the"	"the_camp"	"camp_,"	"shock_of_the"	"of_the_camp"	"the_camp_,"	"camp_,_a"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"first"	"collective"	"confrontation"	"of"	"the"	"nazi"	"outrage"	"the"	"trial"	"of"	"represent"	"a"	"recovery"	"of"	"the"	"jew"	"from"	"the"	"shock"	"of"	"the"	"death"	"camp"	"a"	"recovery"	"that"	"take"	"fifteen"	"year"	"and"	"which"	"be"	"still"	"by_no_means"	"complete"	"though"	"let"	"no"	"one"	"believe"	"that"	"it"	"could"	"be"	"hasten"	"by"	"silence"	"0"	"0"	
"1:11:00::"	"upon"	"."	"only"	"∅"	"only_upon"	"upon_."	"._∅"	"benefit_only_upon"	"only_upon_."	"upon_._∅"	"._∅_∅"	"NN"	"RB"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"n't"	"go"	"overboard"	"on"	"that"	"pay"	"benefit"	"only"	"upon"	"death"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"and"	"in"	"life"	"his"	"life_and"	"and_in"	"in_his"	"between_life_and"	"life_and_in"	"and_in_his"	"in_his_play"	"IN"	"NN"	"CC"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"ask"	"about"	"battle"	"between"	"life"	"and"	"death"	"in"	"his"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"natural"	"''"	"a"	","	"a_natural"	"natural_''"	"''_,"	"for_a_natural"	"a_natural_''"	"natural_''_,"	"''_,_person"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"n't"	"forget"	"there"	"be"	"the"	"hope"	"would"	"pass"	"for"	"a"	"natural"	"death"	"person"	"remind"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"'s"	","	"person"	"but"	"person_'s"	"'s_,"	",_but"	"after_person_'s"	"person_'s_,"	"'s_,_but"	",_but_person"	"IN"	"NNP"	"POS"	"NN"	"ε"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"a"	"cold"	"windy"	"day"	"day"	"after"	"person"	"death"	"but"	"person"	"pay"	"no"	"attention"	"to"	"the"	"blustery"	"october"	"wind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"'s"	"had"	"person"	"a"	"person_'s"	"'s_had"	"had_a"	",_person_'s"	"person_'s_had"	"'s_had_a"	"had_a_quite"	"ε"	"NNP"	"POS"	"NN"	"VBD"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"person"	"death"	"had"	"a"	"quite"	"different"	"effect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"the"	"of"	"∅"	"a"	"∅_the"	"the_of"	"of_a"	"∅_∅_the"	"∅_the_of"	"the_of_a"	"of_a_man"	"ε"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"death"	"of"	"a"	"man"	"be"	"unique"	"and"	"yet"	"it"	"be"	"universal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"and"	"of"	"life"	"jesus_christ"	"life_and"	"and_of"	"of_jesus_christ"	"the_life_and"	"life_and_of"	"and_of_jesus_christ"	"of_jesus_christ_the"	"DT"	"NN"	"CC"	"NN"	"IN"	"NN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"christianity"	"declare"	"that"	"the"	"life"	"and"	"death"	"of"	"jesus_christ"	"the"	"unique"	"and"	"the"	"universal"	"concur"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"of"	"be"	"idea"	"more"	"idea_of"	"of_be"	"be_more"	"the_idea_of"	"idea_of_be"	"of_be_more"	"be_more_profound"	"DT"	"NN"	"IN"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"probably"	"fair"	"say"	"that"	"the"	"idea"	"of"	"death"	"be"	"more"	"profound"	"in"	"person"	"than"	"the"	"idea"	"of"	"sin"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"∅"	"remind"	"∅"	"man"	"∅_∅"	"∅_remind"	"remind_man"	"∅_∅_∅"	"∅_∅_remind"	"∅_remind_man"	"remind_man_of"	"ε"	"ε"	"ε"	"NN"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"remind"	"man"	"of"	"his"	"sin"	"but"	"it"	"remind"	"him"	"also"	"of"	"his"	"transience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
