"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"
"2:38:01::"	"then"	"around"	","	"the"	",_then"	"then_around"	"around_the"	"customer_,_then"	",_then_around"	"then_around_the"	"around_the_back"	"NN"	"ε"	"RB"	"VB"	"IN"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"wait"	"until"	"the"	"parking"	"attendant"	"busy"	"with"	"a"	"customer"	"then"	"slip"	"around"	"the"	"back"	"of"	"the"	"car"	"with"	"license_number"	"jym"	"attach"	"the"	"electronic"	"bug"	"to_the_rear"	"bumper"	"and"	"walk_out"	
"2:30:04::"	"of"	"the"	"practice"	"tips"	"practice_of"	"of_the"	"the_tips"	"cosmopolitan_practice_of"	"practice_of_the"	"of_the_tips"	"the_tips_into"	"JJ"	"NN"	"IN"	"VB"	"DT"	"NNS"	"IN"	"dancer"	"does"	"well"	"she"	"provoke"	"a"	"quiet"	"bombardment"	"of"	"dollar_bills"	"although"	"the"	"manhattan"	"clubs"	"prohibit"	"the"	"more"	"cosmopolitan"	"practice"	"of"	"the"	"tips"	"into"	"the"	"dancers"	"costumes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:04::"	"she"	"the"	","	"ornament"	",_she"	"she_the"	"the_ornament"	"thoughtfully_,_she"	",_she_the"	"she_the_ornament"	"the_ornament_into"	"RB"	"ε"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"slowly"	"and"	"she"	"slip"	"the"	"ornament"	"into"	"the"	"pocket"	"of"	"her"	"slacks"	"move"	"down_the_stairs"	"and"	"out"	"of"	"the"	"house"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"she"	"once"	"and"	"or"	"and_she"	"she_once"	"once_or"	"steeper_and_she"	"and_she_once"	"she_once_or"	"once_or_twice"	"JJR"	"CC"	"PRP"	"VB"	"RB"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mountainside"	"steeper"	"and"	"she"	"slip"	"once"	"or"	"twice"	"on"	"the"	"smooth"	"pine"	"needles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:04::"	","	"the"	"nod"	"picture"	"nod_,"	",_the"	"the_picture"	"gunman_nod_,"	"nod_,_the"	",_the_picture"	"the_picture_into"	"NN"	"VB"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"nod"	"slip"	"the"	"picture"	"into"	"his"	"breast_pocket"	"say"	"nothing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"democratic_party"	"only"	"christian"	"a_little"	"christian_democratic_party"	"democratic_party_only"	"only_a_little"	"'s_christian_democratic_party"	"christian_democratic_party_only"	"democratic_party_only_a_little"	"only_a_little_in"	"POS"	"NNP"	"NN"	"VB"	"RB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"chancellor_adenauer"	"democratic_party"	"slip"	"only"	"a_little"	"in"	"the"	"voting"	"but"	"it"	"be"	"enough"	"to"	"lose"	"the"	"absolute"	"bundestag"	"majority"	"it"	"has"	"enjoy"	"since"	"0"	"0"	
"2:38:01::"	"she"	"out_of_bed"	","	"and"	",_she"	"she_out_of_bed"	"out_of_bed_and"	"come_,_she"	",_she_out_of_bed"	"she_out_of_bed_and"	"out_of_bed_and_go"	"VB"	"ε"	"PRP"	"VB"	"JJ"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"the"	"sad"	"impatient"	"moment"	"wait"	"for"	"which"	"could"	"not"	"come"	"she"	"slip"	"out_of_bed"	"and"	"go"	"to"	"the"	"open"	"window"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"are"	"into"	")"	"place"	")_are"	"are_into"	"into_place"	"6_)_are"	")_are_into"	"are_into_place"	"into_place_across"	"NN"	"ε"	"VBP"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"one"	"two"	"roof"	"board"	"mark"	"e"	"in"	"are"	"slip"	"into"	"place"	"across"	"the"	"roof"	"beam"	"from"	"outside"	"the"	"shelter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"constantly"	"into"	"was"	"the"	"was_constantly"	"constantly_into"	"into_the"	"person_was_constantly"	"was_constantly_into"	"constantly_into_the"	"into_the_church"	"NNP"	"VBD"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"constantly"	"slip"	"into"	"the"	"church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:04::"	"he"	"live"	"when"	"grasshopper"	"when_he"	"he_live"	"live_grasshopper"	"even_when_he"	"when_he_live"	"he_live_grasshopper"	"live_grasshopper_into"	"RB"	"WRB"	"PRP"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no_one"	"tell_on"	"person"	"even"	"when"	"he"	"slip"	"live"	"grasshopper"	"into"	"the"	"mite_box"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
