"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"2:32:00::"	"attendant"	"me"	"the"	"on"	"the_attendant"	"attendant_me"	"me_on"	"∅_the_attendant"	"the_attendant_me"	"attendant_me_on"	"me_on_."	"ε"	"DT"	"NN"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attendant"	"wave"	"me"	"on"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"she"	"away"	"song"	"one"	"song_she"	"she_away"	"away_one"	"first_song_she"	"song_she_away"	"she_away_one"	"away_one_encroaching"	"JJ"	"NN"	"PRP"	"VB"	"RB"	"CD"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"her"	"song"	"she"	"wave"	"away"	"one"	"encroaching"	"photographer"	"who"	"dare"	"approach"	"the"	"throne"	"unbidden"	"and"	"thereafter"	"the"	"boys"	"with"	"the"	"cameras"	"had_to"	"unsheathe"	"their"	"mm."	"lenses"	"and"	"shoot"	"at"	"extreme"	"range"	
"2:32:00::"	","	"the"	"say"	"manager"	"say_,"	",_the"	"the_manager"	"person_say_,"	"say_,_the"	",_the_manager"	"the_manager_away"	"NNP"	"VB"	"ε"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"god"	"sake"	"person"	"wave"	"the"	"manager"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:01::"	"huge"	"."	"by"	"∅"	"by_huge"	"huge_."	"._∅"	"inundation_by_huge"	"by_huge_."	"huge_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"ancient"	"greek"	"record"	"catastrophic"	"inundation"	"by"	"huge"	"wave"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:01::"	"its"	"persist"	";"	"for"	";_its"	"its_persist"	"persist_for"	"1755_;_its"	";_its_persist"	"its_persist_for"	"persist_for_a"	"CD"	"ε"	"PRP$"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"most"	"damaging"	"tsunami"	"on"	"record"	"follow"	"famous"	"lisbon"	"earthquake"	"of"	"november"	"its"	"wave"	"persist"	"for"	"a"	"week"	"and"	"were"	"feel"	"as"	"faraway"	"as"	"the"	"english"	"coast"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:01::"	"generate"	"so"	"japan"	"huge"	"japan_generate"	"generate_so"	"so_huge"	"in_japan_generate"	"japan_generate_so"	"generate_so_huge"	"so_huge_that"	"IN"	"NN"	"VB"	"NN"	"RB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"an"	"earthquake"	"japan"	"generate"	"wave"	"so"	"huge"	"that"	"they"	"pile"	"into"	"the"	"location"	"one"	"wave"	"swamp"	"more"	"than"	"ship"	"and"	"boat"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:01::"	"one"	"swamp"	";"	"more"	";_one"	"one_swamp"	"swamp_more"	"location_;_one"	";_one_swamp"	"one_swamp_more"	"swamp_more_than"	"NNP"	"ε"	"JJ"	"NN"	"VB"	"JJ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"an"	"earthquake"	"in"	"japan"	"generate"	"wave"	"so"	"that"	"they"	"pile"	"into"	"the"	"location"	"one"	"wave"	"swamp"	"more"	"than"	"ship"	"and"	"boat"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:01::"	"these"	"dwarf"	"of"	"all"	"of_these"	"these_dwarf"	"dwarf_all"	"dimension_of_these"	"of_these_dwarf"	"these_dwarf_all"	"dwarf_all_our"	"NN"	"IN"	"DT"	"NN"	"VB"	"DT"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"these"	"wave"	"dwarf"	"all"	"our"	"usual"	"standard_of_measurement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:01::"	"giant"	"be"	"the"	"more"	"the_giant"	"giant_be"	"be_more"	"∅_the_giant"	"the_giant_be"	"giant_be_more"	"be_more_dangerous"	"ε"	"DT"	"JJ"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"giant"	"wave"	"be"	"more"	"dangerous"	"on"	"flat"	"shore"	"than"	"on"	"steep"	"ones"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:01::"	"ordinary"	"to"	"an"	"alarm"	"an_ordinary"	"ordinary_to"	"to_alarm"	"from_an_ordinary"	"an_ordinary_to"	"ordinary_to_alarm"	"to_alarm_casual"	"IN"	"DT"	"JJ"	"NN"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"generally"	"the"	"first"	"salvo"	"of"	"a"	"tsunami"	"be"	"a"	"sharp"	"swell"	"not"	"different"	"enough"	"from"	"an"	"ordinary"	"wave"	"to"	"alarm"	"casual"	"observer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
