"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"
"2:31:02::"	"may"	"the"	","	"engine"	",_may"	"may_the"	"the_engine"	"transport_,_may"	",_may_the"	"may_the_engine"	"the_engine_drive"	"VB"	"ε"	"MD"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"clerfayt"	"transport"	"think_of"	"the"	"engine"	"drive"	"his"	"car"	"as"	"a"	"mystical"	"beast"	"under"	"the"	"hood"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"they"	"themselves"	"∅"	","	"∅_they"	"they_themselves"	"themselves_,"	"∅_∅_they"	"∅_they_themselves"	"they_themselves_,"	"themselves_,_to"	"ε"	"ε"	"PRP"	"VB"	"PRP"	"ε"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"think_of"	"themselves"	"to"	"use"	"jefferson"	"words"	"as"	"the"	"argonauts"	"who"	"had"	"live"	"in"	"the"	"heroic_age"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"to"	"self"	"unworthy"	"."	"unworthy_to"	"to_self"	"self_."	"be_unworthy_to"	"unworthy_to_self"	"to_self_."	"self_._∅"	"VB"	"JJ"	"TO"	"VB"	"NN"	"ε"	"ε"	"honest"	"act"	"call_up"	"the"	"recent"	"talk"	"i"	"have"	"with"	"another"	"minister"	"a"	"modest"	"methodist"	"who"	"say"	"i"	"feel"	"so"	"deeply"	"blessed"	"by"	"god"	"when"	"i"	"can"	"give"	"a"	"message"	"of"	"love"	"and"	"comfort"	"to"	"men"	"and"	"i"	"would"	"have"	"it"	"no"	"way"	"and"	"it"	"be"	"unworthy"	"to"	"self"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"new"	"hard"	"ways"	"hard_to"	"to_new"	"new_ways"	"try_hard_to"	"hard_to_new"	"to_new_ways"	"new_ways_to"	"VB"	"JJ"	"TO"	"VB"	"JJ"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"are"	"try"	"hard"	"to"	"think_of"	"new"	"ways"	"to"	"deal"	"with"	"the"	"problem"	"of"	"fear"	"these"	"days"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"can"	"be"	"we"	"the"	"we_can"	"can_be"	"be_the"	"response_we_can"	"we_can_be"	"can_be_the"	"be_the_humble"	"NN"	"PRP"	"MD"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"only"	"we"	"can"	"think_of"	"be"	"the"	"humble"	"one"	"that"	"at_least"	"we"	"are"	"n't"	"play"	"the"	"marimba"	"with"	"our"	"shoes"	"in"	"the"	"united_nations"	"but"	"perhaps"	"the"	"heavy"	"domes"	"in"	"the"	"house"	"of"	"delegates"	"can"	"improve"	"on"	"this"	"feeble"	"effort"	
"2:36:00::"	"can"	":"	"i"	"dull"	"i_can"	"can_:"	":_dull"	"word_i_can"	"i_can_:"	"can_:_dull"	":_dull_."	"NN"	"PRP"	"MD"	"VB"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"put"	"them"	"all_together"	"and"	"they"	"the"	"only"	"four-letter"	"word"	"i"	"can"	"think_of"	"dull"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"suddenly"	"mary_jane"	"i"	"brennan"	"i_suddenly"	"suddenly_mary_jane"	"mary_jane_brennan"	"∅_i_suddenly"	"i_suddenly_mary_jane"	"suddenly_mary_jane_brennan"	"mary_jane_brennan_,"	"ε"	"PRP"	"RB"	"VB"	"NN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"suddenly"	"think_of"	"mary_jane"	"brennan"	"the"	"way"	"her"	"pretty"	"eyes"	"could"	"flash"	"with_anger"	"her"	"quiet"	"competence"	"the"	"gentleness"	"and"	"sweetness"	"that"	"lie"	"just"	"beneath"	"the"	"surface"	"of"	"her"	"defenses"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"only"	"something"	"could"	"at"	"could_only"	"only_something"	"something_at"	"i_could_only"	"could_only_something"	"only_something_at"	"something_at_the"	"PRP"	"MD"	"RB"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"i"	"only"	"think_of"	"something"	"at"	"the"	"studio"	"near"	"me"	"to"	"absorb"	"his"	"boundless"	"energy"	"i"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"is"	"ask"	"government"	"for"	"government_is"	"is_ask"	"ask_for"	"the_government_is"	"government_is_ask"	"is_ask_for"	"ask_for_foreign"	"DT"	"NN"	"VBZ"	"VB"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"declare"	"government"	"is"	"think_of"	"ask"	"for"	"foreign"	"troops"	"if"	"the"	"situation"	"worsen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"her"	","	"scold"	",_he"	"he_her"	"her_scold"	"listen_,_he"	",_he_her"	"he_her_scold"	"her_scold_him"	"VB"	"ε"	"PRP"	"VB"	"PRP$"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"had"	"never"	"hear"	"so"	"many"	"bell"	"as"	"he"	"lie"	"there"	"listen"	"he"	"think_of"	"her"	"scold"	"him"	"for"	"his"	"remark"	"when"	"he"	"had"	"look"	"up"	"at"	"the"	"obelisk"	"and"	"the"	"church"	"at"	"the"	"top"	"of"	"the"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
