"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"5:00:00:brunet:00"	"-"	","	"think"	"opaque"	"think_-"	"-_,"	",_opaque"	"he_think_-"	"think_-_,"	"-_,_opaque"	",_opaque_,"	"PRP"	"VB"	"ε"	"JJ"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"be"	"like"	"he"	"think"	"dark"	"opaque"	"explosive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::;1:15:00::"	"and"	"of"	"light"	"paris"	"light_and"	"and_of"	"of_paris"	"the_light_and"	"light_and_of"	"and_of_paris"	"of_paris_scream"	"DT"	"NN"	"CC"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lunch"	"be"	"over"	"and"	"we"	"walk"	"back"	"the"	"hotel"	"with"	"the"	"light"	"and"	"dark"	"of"	"paris"	"scream"	"at"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"was"	"early"	"it"	","	"it_was"	"was_early"	"early_,"	"∅_it_was"	"it_was_early"	"was_early_,"	"early_,_because"	"ε"	"PRP"	"VB"	"JJ"	"RB"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was"	"dark"	"early"	"because"	"of"	"the"	"storm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:evil:00"	"the"	"realm"	"outside"	"of"	"outside_the"	"the_realm"	"realm_of"	"far_outside_the"	"outside_the_realm"	"the_realm_of"	"realm_of_murder"	"RB"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"start"	"back"	"for"	"the"	"house"	"see"	"a"	"light"	"in"	"the"	"office"	"open"	"the"	"door"	"and"	"surprise"	"a"	"domestic"	"scene"	"which"	"be"	"far"	"outside"	"the"	"dark"	"realm"	"of"	"murder"	"or"	"attempted"	"murder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"in"	"wash"	"light"	"."	"light_in"	"in_wash"	"wash_."	"open_up_light_in"	"light_in_wash"	"in_wash_."	"wash_._∅"	"VB"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"usual"	"tool"	"i"	"make"	"constant"	"use"	"of"	"cleansing"	"tissue"	"not_only"	"to"	"wipe"	"my"	"brush"	"but"	"to"	"mop_up"	"certain"	"area"	"to"	"soften"	"edge"	"and"	"to"	"open_up"	"light"	"in"	"wash"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"with"	"accent"	"area"	"or"	"area_with"	"with_accent"	"accent_or"	"light_area_with"	"area_with_accent"	"with_accent_or"	"accent_or_a"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"long"	"observation"	"has"	"teach"	"person"	"that"	"most"	"landscape"	"can"	"be"	"reduce"	"three"	"essential"	"plane"	"a"	"foreground"	"in"	"sharp"	"either"	"a"	"light"	"area"	"with"	"dark"	"accent"	"or"	"a"	"dark"	"one"	"with"	"light"	"a"	"middle_distance"	"often"	"contain"	"the"	"major"	"motif"	"and"	"a"	"background"	"usually"	"a"	"silhouette"	"form"	"foil"	"against"	"the"	"sky"	
"3:00:02::"	"a"	"one"	"or"	"with"	"or_a"	"a_one"	"one_with"	"accent_or_a"	"or_a_one"	"a_one_with"	"one_with_light"	"NN"	"CC"	"DT"	"JJ"	"CD"	"IN"	"NN"	"0"	"0"	"long"	"observation"	"has"	"teach"	"person"	"that"	"most"	"landscape"	"can"	"be"	"reduce"	"to"	"three"	"essential"	"plane"	"a"	"foreground"	"in"	"sharp"	"focus"	"either"	"a"	"light"	"area"	"with"	"accent"	"or"	"a"	"dark"	"one"	"with"	"light"	"a"	"middle_distance"	"often"	"contain"	"the"	"major"	"motif"	"and"	"a"	"background"	"usually"	"a"	"silhouette"	"form"	"foil"	"against"	"the"	"sky"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"."	"in"	"∅"	"in_the"	"the_."	"._∅"	"flourish_in_the"	"in_the_."	"the_._∅"	"._∅_∅"	"VB"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"stretch"	"his"	"left_hand"	"to"	"the"	"wall"	"and"	"for"	"the"	"switch"	"evil"	"flourish"	"in"	"the"	"dark"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	","	"shape"	"tiny"	"on"	"tiny_,"	",_shape"	"shape_on"	"a_tiny_,"	"tiny_,_shape"	",_shape_on"	"shape_on_a"	"DT"	"JJ"	"ε"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"car"	"was"	"a"	"tiny"	"dark"	"shape"	"on"	"a"	"far"	"hill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"hole"	"with"	"in_the"	"with_a"	"a_hole"	"hole_in_the"	"web_with_a"	"with_a_hole"	"a_hole_in_the"	"hole_in_the_center"	"NN"	"IN"	"DT"	"JJ"	"NN"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"was"	"a"	"blur"	"just"	"under"	"my"	"focus"	"vision"	"a"	"crash"	"the"	"car"	"far"	"windshield"	"panel"	"a"	"silver"	"web"	"with"	"a"	"dark"	"hole"	"in_the"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
