"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"3:00:00::"	"be"	"of"	"has"	"tradition"	"has_be"	"be_of"	"of_tradition"	"he_has_be"	"has_be_of"	"be_of_tradition"	"of_tradition_,"	"PRP"	"VBZ"	"VB"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"be"	"not"	"to"	"that"	"he"	"has"	"be"	"aware"	"of"	"tradition"	"of_course"	"that"	"he"	"is"	"steep"	"in"	"them"	"in_fact"	"or"	"that"	"he"	"has"	"deal"	"with"	"them"	"in"	"his"	"book"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"all"	"of"	"be"	"the"	"be_all"	"all_of"	"of_the"	"we_be_all"	"be_all_of"	"all_of_the"	"of_the_continuing"	"PRP"	"VB"	"RB"	"JJ"	"JJ"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"will"	"assume"	"we"	"be"	"all"	"aware"	"of"	"the"	"continuing"	"struggle"	"with"	"its"	"limited"	"and"	"precarious"	"success"	"toward"	"conservatism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"make"	"of"	"be"	"the"	"be_make"	"make_of"	"of_the"	"will_be_make"	"be_make_of"	"make_of_the"	"of_the_ever"	"MD"	"VB"	"VB"	"JJ"	"JJ"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"continuation"	"and"	"expansion"	"of"	"the"	"shooting"	"development"	"program"	"will"	"to"	"some"	"degree"	"that"	"national"	"and"	"community"	"leaders"	"will"	"be"	"make"	"aware"	"of"	"the"	"ever"	"growing"	"need"	"for"	"shooting"	"facility"	"and"	"activity"	"for"	"hunting"	"and"	"shooting"	"in"	"answer"	"to"	"public"	"demand"	"0"	"0"	"0"	"0"	
"3:00:00::"	"well"	"of"	"be"	"the"	"be_well"	"well_of"	"of_the"	"taxpayer_be_well"	"be_well_of"	"well_of_the"	"of_the_vast"	"NN"	"VB"	"RB"	"JJ"	"JJ"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"every"	"be"	"well"	"aware"	"of"	"the"	"vast"	"size"	"of"	"our"	"annual"	"defense"	"budget"	"and"	"most"	"of"	"our"	"reader"	"also"	"realize"	"that"	"a"	"large"	"portion"	"of"	"these"	"expenditure"	"go"	"for"	"military"	"electronics"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"poorly"	","	"only"	"and"	"only_poorly"	"poorly_,"	",_and"	"himself_only_poorly"	"only_poorly_,"	"poorly_,_and"	",_and_the"	"PRP"	"RB"	"RB"	"JJ"	"ε"	"CC"	"DT"	"for"	"the"	"therapist"	"to"	"grasp"	"be"	"those"	"instance"	"in_which"	"the"	"patient"	"is"	"manifest"	"an"	"introject"	"traceable"	"to"	"something"	"in"	"the"	"therapist"	"some"	"aspect"	"of"	"the"	"therapist"	"of"	"which"	"the"	"latter"	"be"	"himself"	"only"	"poorly"	"and"	"the"	"recognition"	"of"	"which"	"as"	"a"	"part"	"of"	"himself"	"he"	"find"	"distinctly"	"unwelcome"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"really"	"of"	"not"	"what"	"not_really"	"really_of"	"of_what"	"be_not_really"	"not_really_of"	"really_of_what"	"of_what_we"	"VB"	"RB"	"RB"	"JJ"	"JJ"	"WP"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"life"	"we"	"learn"	"to"	"play"	"our"	"role"	"and"	"we"	"freeze"	"pattern"	"which"	"become"	"so"	"habitual"	"that"	"we"	"be"	"not"	"really"	"aware"	"of"	"what"	"we"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"that"	"should"	"in"	"should_be"	"be_that"	"that_in"	"we_should_be"	"should_be_that"	"be_that_in"	"that_in_actual"	"PRP"	"MD"	"VB"	"JJ"	"IN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"a"	"word"	"of"	"we"	"should"	"be"	"aware"	"that"	"in"	"actual"	"practice"	"no"	"message"	"be"	"purely"	"one"	"of"	"the"	"four"	"type"	"question"	"command"	"statement"	"or"	"exclamation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"fully"	"of"	"be"	"the"	"be_fully"	"fully_of"	"of_the"	"who_be_fully"	"be_fully_of"	"fully_of_the"	"of_the_lure"	"WP"	"VB"	"RB"	"JJ"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"this"	"date"	"it"	"seem"	"probable"	"that"	"the"	"name"	"of"	"person"	"will"	"appear"	"in"	"the"	"archives"	"of"	"history"	"an"	"effective"	"traditionalist"	"who"	"be"	"fully"	"aware"	"of"	"the"	"lure"	"and"	"danger"	"of"	"experimentation"	"and"	"use"	"it"	"as"	"it"	"serve"	"his"	"purpose"	"yet"	"be"	"never"	"caught_up"	"in"	"it"	"never"	"a"	"slave"	"to"	"its"	"academic"	"dialectic"	
"3:00:00::"	"be"	"that"	"person"	"he"	"person_be"	"be_that"	"that_he"	"∅_person_be"	"person_be_that"	"be_that_he"	"that_he_must"	"ε"	"NNP"	"VB"	"JJ"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"aware"	"that"	"he"	"must"	"seem"	"like"	"a"	"hypocrite"	"stand"	"there"	"and"	"argue"	"that"	"he"	"could"	"not"	"permit"	"a"	"public"	"performance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"he"	"he"	"will"	"he_be"	"be_he"	"he_will"	"``_he_be"	"he_be_he"	"be_he_will"	"he_will_not"	"ε"	"PRP"	"VB"	"JJ"	"PRP"	"MD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"aware"	"he"	"will"	"not"	"live"	"for"	"twenty-four_hours"	"if"	"he"	"betray"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
