"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"1:09:00::"	"some"	"of"	"need"	"power"	"need_some"	"some_of"	"of_power"	"'ll_need_some"	"need_some_of"	"some_of_power"	"of_power_for"	"MD"	"VB"	"JJ"	"NN"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"larger"	"planting"	"need"	"some"	"kind"	"of"	"power"	"for"	"plow"	"harrow"	"disk"	"and"	"cultivate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"and"	")"	"scale"	")_the"	"the_and"	"and_scale"	"1_)_the"	")_the_and"	"the_and_scale"	"and_scale_of"	"NN"	"ε"	"DT"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"you"	"look_for"	"a"	"farm"	"you"	"know"	"the"	"kind"	"and"	"scale"	"of"	"farming"	"you"	"want_to"	"undertake"	"and"	"whether"	"you"	"want_to"	"buy"	"or"	"rent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"and"	"on"	"scale"	"on_the"	"the_and"	"and_scale"	"decide_on_the"	"on_the_and"	"the_and_scale"	"and_scale_of"	"VB"	"IN"	"DT"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"information"	"on"	"page"	"to"	"may"	"help"	"in"	"decide"	"on"	"the"	"kind"	"and"	"scale"	"of"	"your"	"farming"	"venture"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"this"	"of"	"given"	"business"	"given_this"	"this_of"	"of_business"	"∅_given_this"	"given_this_of"	"this_of_business"	"of_business_climate"	"ε"	"JJ"	"DT"	"NN"	"RB"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"kind"	"of"	"business"	"climate"	"what"	"competitive"	"marketing"	"problem"	"will"	"your"	"company"	"face"	"in"	"the"	"next"	"yr"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"of"	"render"	"service"	"render_the"	"the_of"	"of_service"	"to_render_the"	"render_the_of"	"the_of_service"	"of_service_our"	"TO"	"VB"	"DT"	"NN"	"RB"	"NN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"for"	"several"	"year"	"now"	"the"	"commuter"	"railroad"	"serve"	"our"	"metropolitan"	"area"	"have"	"find"	"it"	"increasingly"	"difficult"	"to"	"render"	"the"	"kind"	"of"	"service"	"our"	"expanding"	"population"	"want"	"and"	"is"	"entitled"	"to"	"have"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"this"	"of"	"leave"	"thing"	"leave_this"	"this_of"	"of_thing"	"-_leave_this"	"leave_this_of"	"this_of_thing"	"of_thing_'"	"ε"	"VB"	"DT"	"NN"	"RB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"be"	"through"	"here"	"just"	"no"	"at_all"	"leave"	"this"	"kind"	"of"	"thing"	"way"	"behind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"all"	"of"	"see"	"camp"	"see_all"	"all_of"	"of_camp"	"we_see_all"	"see_all_of"	"all_of_camp"	"of_camp_stove"	"PRP"	"VB"	"DT"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"move"	"around"	"we"	"see"	"all"	"kind"	"of"	"camp"	"stove"	"lantern"	"cooler"	"bedding"	"game"	"fishing_tackle"	"windbreak"	"and"	"sunshade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"any"	"of"	"almost"	"stress"	"almost_any"	"any_of"	"of_stress"	"survive_almost_any"	"almost_any_of"	"any_of_stress"	"of_stress_except"	"VB"	"RB"	"JJ"	"NN"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"marriage"	"can"	"almost"	"any"	"kind"	"of"	"stress"	"except"	"an"	"open"	"and"	"direct"	"challenge"	"to"	"the"	"husband"	"maleness"	"declare"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"a"	"of"	"become"	"continuous"	"become_a"	"a_of"	"of_continuous"	"had_become_a"	"become_a_of"	"a_of_continuous"	"of_continuous_makeready"	"VBD"	"VB"	"DT"	"NN"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"a"	"result"	"had"	"become"	"a"	"kind"	"of"	"continuous"	"makeready"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"various"	"of"	"the"	"board"	"the_various"	"various_of"	"of_board"	"him_the_various"	"the_various_of"	"various_of_board"	"of_board_and"	"PRP"	"DT"	"JJ"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"do"	"some"	"figure"	"on"	"a"	"of"	"paper"	"and"	"give"	"him"	"the"	"various"	"kind"	"of"	"board"	"and"	"two-by-four"	"which"	"properly"	"handle"	"would"	"he"	"had"	"assure"	"him"	"turn_into"	"a"	"workbench"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
