"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"2:31:00::"	"∅"	"class"	"∅"	"members"	"∅_∅"	"∅_class"	"class_members"	"∅_∅_∅"	"∅_∅_class"	"∅_class_members"	"class_members_for"	"ε"	"ε"	"ε"	"VB"	"NN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"class"	"members"	"for"	"reports"	"on"	"various"	"phases"	"of"	"the"	"study"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	","	"with"	"of_course"	"the"	"of_course_,"	",_with"	"with_the"	",_of_course_,"	"of_course_,_with"	",_with_the"	"with_the_view"	"ε"	"RB"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"football"	"opponent"	"on"	"is"	"of_course"	"select"	"with"	"the"	"view"	"that"	"said"	"opponent"	"will"	"have"	"little"	"more"	"chance"	"than"	"did"	"a"	"christian"	"when"	"throw"	"to"	"one"	"of"	"the"	"emperor"	"lions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"4"	"miss_rogers"	"winners"	"miss_rogers_to"	"to_4"	"4_winners"	"for_miss_rogers_to"	"miss_rogers_to_4"	"to_4_winners"	"4_winners_from"	"IN"	"NNP"	"TO"	"VB"	"CD"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"seem"	"an"	"almost"	"job"	"for"	"miss_rogers"	"to"	"select"	"winners"	"from"	"the"	"juniors"	"enter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"she"	"several"	","	"from"	",_she"	"she_several"	"several_from"	"individually_,_she"	",_she_several"	"she_several_from"	"several_from_the"	"RB"	"ε"	"PRP"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"the"	"judge"	"move"	"the"	"dogs"	"individually"	"she"	"select"	"several"	"from"	"the"	"group"	"and"	"place"	"them"	"in_the_center"	"of"	"the"	"ring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"has"	"a"	"merce_cunningham"	"very"	"merce_cunningham_has"	"has_a"	"a_very"	",_merce_cunningham_has"	"merce_cunningham_has_a"	"has_a_very"	"a_very_different"	"ε"	"NNP"	"VBZ"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"he"	"be"	"also"	"concerned"	"with"	"free"	"from"	"pedestrian"	"modes"	"of"	"activity"	"merce_cunningham"	"has"	"select"	"a"	"very"	"different"	"method"	"for"	"achieve"	"his"	"aim"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"of"	"suitable"	"point"	"colors"	"point_of"	"of_suitable"	"suitable_colors"	"the_point_of"	"point_of_suitable"	"of_suitable_colors"	"suitable_colors_for"	"DT"	"NN"	"IN"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"her"	"choice"	"of"	"one"	"color"	"mean"	"she"	"is"	"simply"	"enjoy"	"motor"	"act"	"of"	"coloring"	"without"	"having"	"reach"	"the"	"point"	"of"	"select"	"suitable"	"colors"	"for"	"different"	"objects"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"."	"may"	"∅"	"may_be"	"be_."	"._∅"	"comparison_may_be"	"may_be_."	"be_._∅"	"._∅_∅"	"NN"	"MD"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"of"	"many"	"passages"	"in"	"the"	"book"	"that"	"exemplify"	"the"	"author"	"vivid"	"style"	"the"	"characterizations"	"of"	"the"	"two"	"plebeian"	"dictators"	"whose"	"crimes"	"those"	"of"	"crowned"	"autocrats"	"pale"	"comparison"	"may"	"be"	"select"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"happily"	"."	"was"	"∅"	"was_happily"	"happily_."	"._∅"	"eddie_foy_was_happily"	"was_happily_."	"happily_._∅"	"._∅_∅"	"NNP"	"VBD"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"there"	"be"	"a"	"matchmaker"	"one"	"mikeen_flynn"	"role"	"for"	"which"	"eddie_foy"	"was"	"happily"	"select"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"is"	"with"	"food"	"thought"	"food_is"	"is_with"	"with_thought"	"the_food_is"	"food_is_with"	"is_with_thought"	"with_thought_for"	"DT"	"NN"	"VBZ"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"food"	"is"	"select"	"with"	"thought"	"for"	"its"	"nutritional"	"value"	"care"	"for"	"its"	"origin"	"and"	"prepare"	"in"	"a"	"manner"	"that"	"retain"	"the_most"	"nutrients"	"the"	"food"	"does"	"taste"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"of"	"members"	"method"	"will"	"method_of"	"of_members"	"members_will"	"new_method_of"	"method_of_members"	"of_members_will"	"members_will_be"	"JJ"	"NN"	"IN"	"VB"	"NNS"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"enlargement"	"of"	"the"	"city_council"	"a"	"new"	"method"	"of"	"select"	"members"	"will"	"be"	"discuss"	"tomorrow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
