"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"2:39:05::"	"buzz"	"chuck-a-luck"	"find"	"."	"find_buzz"	"buzz_chuck-a-luck"	"chuck-a-luck_."	"owen_find_buzz"	"find_buzz_chuck-a-luck"	"buzz_chuck-a-luck_."	"chuck-a-luck_._∅"	"NNP"	"VB"	"NNP"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"owen"	"buzz"	"watch"	"chuck-a-luck"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"could"	"the"	"i"	"exit"	"i_could"	"could_the"	"the_exit"	"where_i_could"	"i_could_the"	"could_the_exit"	"the_exit_and"	"WRB"	"PRP"	"MD"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"sit"	"i"	"could"	"watch"	"the"	"exit"	"and"	"realize"	"i"	"be"	"hungry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"and"	"for"	"window"	"street"	"window_and"	"and_for"	"for_street"	"the_window_and"	"window_and_for"	"and_for_street"	"for_street_numbers"	"DT"	"NN"	"CC"	"VB"	"IN"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shayne"	"drive"	"westward"	"from"	"the"	"boulevard"	"slowly"	"let"	"crane"	"his"	"head"	"out"	"the"	"window"	"and"	"watch"	"for"	"street"	"numbers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"men"	"as"	"two"	"dave"	"two_men"	"men_as"	"as_dave"	"the_two_men"	"two_men_as"	"men_as_dave"	"as_dave_close"	"DT"	"CD"	"NNS"	"VB"	"IN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"men"	"watch"	"as"	"dave"	"close"	"the"	"door"	"behind"	"them"	"watch"	"them"	"cross"	"the"	"sidewalk"	"to"	"their"	"car"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"them"	"them"	"cross"	"them_,"	",_them"	"them_cross"	"behind_them_,"	"them_,_them"	",_them_cross"	"them_cross_the"	"IN"	"PRP"	"ε"	"VB"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"two"	"men"	"watch"	"as"	"close"	"the"	"door"	"behind"	"them"	"watch"	"them"	"cross"	"the"	"sidewalk"	"to"	"their"	"car"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:05::"	"from"	"this"	"enjoyment"	"braddock-against-the-indians"	"enjoyment_from"	"from_this"	"this_braddock-against-the-indians"	"much_enjoyment_from"	"enjoyment_from_this"	"from_this_braddock-against-the-indians"	"this_braddock-against-the-indians_contest"	"JJ"	"NN"	"IN"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"if"	"anything"	"can"	"bring_home"	"to"	"mr._khrushchev"	"the"	"that"	"he"	"will"	"not"	"really"	"get"	"much"	"enjoyment"	"from"	"watch"	"this"	"braddock-against-the-indians"	"contest"	"it"	"will"	"probably"	"be"	"the"	"fact"	"that"	"seato"	"forces"	"be"	"ready"	"to"	"attempt"	"it"	"plus"	"the"	"fact"	"that"	"moscow"	"have"	"something"	"to"	"lose"	"from"	"close_off"	"disarmament"	"and"	"bigger"	"negotiations"	"with"	"washington"	
"2:41:00::"	"have"	"hong_kong"	"they"	"step_in"	"they_have"	"have_hong_kong"	"hong_kong_step_in"	",_they_have"	"they_have_hong_kong"	"have_hong_kong_step_in"	"hong_kong_step_in_and"	"ε"	"PRP"	"VBP"	"VB"	"NNP"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"japanese"	"want"	"to"	"increase"	"exports"	"to"	"the"	"while"	"they"	"have"	"been"	"curb"	"shipments"	"they"	"have"	"watch"	"hong_kong"	"step_in"	"and"	"capture"	"an"	"expanding"	"share"	"of"	"the"	"big"	"u._s."	"market"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"to"	"''"	"see"	"''_,"	",_to"	"to_see"	"mother_''_,"	"''_,_to"	",_to_see"	"to_see_that"	"VB"	"ε"	"ε"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._marr"	"also"	"have"	"a_number_of"	"to"	"mother"	"watch"	"to"	"see"	"that"	"they"	"do"	"not"	"break"	"their"	"parole"	"and"	"that"	"they"	"also"	"learn"	"to"	"readjust"	"to"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"he"	"them"	","	"pass"	",_he"	"he_them"	"them_pass"	"helpless_,_he"	",_he_them"	"he_them_pass"	"them_pass_him"	"JJ"	"ε"	"PRP"	"VB"	"PRP"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fuming"	"helpless"	"watch"	"them"	"pass"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:02::"	"to"	"as"	"people"	"tiny"	"people_to"	"to_as"	"as_tiny"	"the_people_to"	"people_to_as"	"to_as_tiny"	"as_tiny_and"	"DT"	"NNS"	"TO"	"VB"	"IN"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"in_this"	"small"	"way"	"force"	"the"	"people"	"to"	"watch"	"as"	"tiny"	"and"	"innocent"	"and"	"dependent"	"creatures"	"die"	"because"	"we"	"be"	"afraid"	"to"	"feed"	"them"	"and"	"afraid"	"to"	"protest"	"and"	"say"	"how_come"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
