"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"2:41:00::"	"ingestion"	"in"	"alcohol"	"change"	"alcohol_ingestion"	"ingestion_in"	"in_change"	"∅_alcohol_ingestion"	"alcohol_ingestion_in"	"ingestion_in_change"	"in_change_immobility"	"ε"	"NN"	"NN"	"VB"	"VB"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ingestion"	"succeed"	"in"	"change"	"immobility"	"to"	"mobility"	"quite"	"strikingly"	"in"	"one"	"pilot"	"subject"	"the"	"only"	"one"	"with"	"whom"	"this"	"technique"	"was"	"try"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"have"	"in"	"communists"	"build"	"communists_have"	"have_in"	"in_build"	"the_communists_have"	"communists_have_in"	"have_in_build"	"in_build_barricades"	"DT"	"NNPS"	"VBP"	"VB"	"VB"	"VB"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"inference"	"has"	"been"	"too"	"accept"	"that"	"because"	"the"	"communists"	"have"	"succeed"	"in"	"build"	"barricades"	"across"	"berlin"	"the"	"free_world"	"must"	"acquiesce"	"in"	"dismemberment"	"of_that"	"living"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"c._ferdinand_sybert"	"attorney_general"	","	"attorney_general_to"	"to_c._ferdinand_sybert"	"c._ferdinand_sybert_,"	"name_attorney_general_to"	"attorney_general_to_c._ferdinand_sybert"	"to_c._ferdinand_sybert_,"	"c._ferdinand_sybert_,_who"	"VB"	"NN"	"TO"	"VB"	"NNP"	"ε"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._simpkins"	"will"	"move_into"	"the"	"being"	"vacate"	"thomas_b._finan"	"earlier"	"name"	"attorney_general"	"to"	"succeed"	"c._ferdinand_sybert"	"who"	"will"	"be"	"elevate"	"to"	"an"	"associate"	"judgeship"	"on"	"the"	"maryland"	"court_of_appeals"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"in"	"evil"	"restore"	"evil_,"	",_in"	"in_restore"	"of_evil_,"	"evil_,_in"	",_in_restore"	"in_restore_the"	"IN"	"JJ"	"ε"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"of"	"the"	"replies"	"to"	"mr._toynbee"	"without"	"conscious"	"resort"	"to"	"the"	"traditional"	"terminology"	"regard_to"	"the"	"permission"	"of"	"evil"	"succeed"	"in"	"restore"	"the"	"actual"	"context"	"in_which"	"present"	"moral"	"and"	"political"	"decisions"	"must"	"be"	"make"	"by"	"distinguish"	"between"	"choose"	"a"	"great"	"evil"	"and"	"choose"	"in"	"danger"	"of_this"	"evil"	"0"	"0"	
"2:41:01::"	"pfaff"	"martin_burke"	"∅"	","	"∅_pfaff"	"pfaff_martin_burke"	"martin_burke_,"	"∅_∅_pfaff"	"∅_pfaff_martin_burke"	"pfaff_martin_burke_,"	"martin_burke_,_who"	"ε"	"ε"	"NNP"	"VB"	"NNP"	"ε"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"succeed"	"martin_burke"	"who"	"resign"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"not"	"in"	"does"	"pass"	"does_not"	"not_in"	"in_pass"	"administration_does_not"	"does_not_in"	"not_in_pass"	"in_pass_the"	"NN"	"VBZ"	"RB"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"does"	"not"	"succeed"	"in"	"pass"	"the"	"sales_tax"	"bill"	"or"	"any"	"tax_bill"	"it"	"could"	"very_well"	"be"	"face"	"this"	"spring"	"at"	"the"	"fiscal"	"session"	"of"	"the"	"legislature"	"with"	"an"	"interesting"	"dilemma"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"in"	"night"	"corral"	"night_and"	"and_in"	"in_corral"	"last_night_and"	"night_and_in"	"and_in_corral"	"in_corral_the"	"JJ"	"NN"	"CC"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"bunch"	"of"	"young"	"buckaroos"	"from"	"out"	"west"	"who"	"go_by"	"the"	"name"	"texas"	"boys"	"choir"	"lope"	"into"	"last"	"night"	"and"	"succeed"	"in"	"corral"	"the"	"hearts"	"of"	"a"	"sizable"	"audience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"who"	"in"	"scientist"	"give"	"scientist_who"	"who_in"	"in_give"	"bear_scientist_who"	"scientist_who_in"	"who_in_give"	"in_give_american"	"VB"	"NN"	"WP"	"VB"	"VB"	"VB"	"NNP"	"will"	"be"	"hold"	"probably"	"the"	"first"	"week"	"of"	"march"	"in"	"the"	"famous"	"old_bailey"	"central"	"criminal_court"	"where"	"klaus_fuchs"	"the"	"naturalized"	"british"	"german"	"bear"	"scientist"	"who"	"in"	"give"	"american"	"and"	"british"	"atomic_bomb"	"secrets"	"to"	"russia"	"and"	"thereby"	"change"	"world"	"history"	"during"	"the"	"s"	"was"	"sentence"	"to"	"years"	"in"	"prison"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"brilliantly"	"in"	"''"	"exaggerate"	"''_brilliantly"	"brilliantly_in"	"in_exaggerate"	"sing_''_brilliantly"	"''_brilliantly_in"	"brilliantly_in_exaggerate"	"in_exaggerate_even"	"NNP"	"ε"	"RB"	"VB"	"VB"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"burlesque"	"paean"	"entitled"	"hark"	"the"	"herald_tribune"	"times"	"and"	"all"	"the"	"angels"	"sing"	"brilliantly"	"succeed"	"in"	"exaggerate"	"even"	"motion-picture"	"ballyhooey"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	","	"dr._carroll_v._newsom"	"university"	"who"	"university_,"	",_dr._carroll_v._newsom"	"dr._carroll_v._newsom_who"	"american_university_,"	"university_,_dr._carroll_v._newsom"	",_dr._carroll_v._newsom_who"	"dr._carroll_v._newsom_who_resign"	"NNP"	"NN"	"ε"	"VB"	"NNP"	"WP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dr._hester"	"also"	"one"	"of"	"the"	"youngest"	"men"	"to"	"head"	"a"	"major"	"american"	"university"	"succeed"	"dr._carroll_v._newsom"	"who"	"resign"	"last"	"september"	"to"	"join"	"prentice-hall_inc."	"publishing_firm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
