"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"2:42:00::"	"n't"	"now"	"did"	"whether"	"did_n't"	"n't_now"	"now_whether"	"it_did_n't"	"did_n't_now"	"n't_now_whether"	"now_whether_he"	"PRP"	"VBD"	"RB"	"VB"	"RB"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"did"	"n't"	"matter"	"now"	"whether"	"he"	"mean"	"to"	"invade"	"the"	"holy_of_holies"	"or"	"was"	"simply"	"head"	"in_that"	"direction"	"by_accident"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"what"	"here"	"``"	"be"	"``_what"	"what_here"	"here_be"	"∅_``_what"	"``_what_here"	"what_here_be"	"here_be_family"	"ε"	"ε"	"WP"	"VB"	"RB"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"matter"	"here"	"be"	"family"	"loyalty"	"faith"	"in"	"the_buddha"	"and"	"stay"	"at"	"peace"	"with"	"the"	"phis"	"the"	"spirit"	"and"	"to"	"live"	"in"	"harmony"	"with"	"nature"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"any"	"under"	"with_respect_to"	"this"	"with_respect_to_any"	"any_under"	"under_this"	",_with_respect_to_any"	"with_respect_to_any_under"	"any_under_this"	"under_this_title"	"ε"	"JJ"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"to"	"the"	"penalty"	"provide"	"in"	"title"	"united_states"	"code"	"section"	"any"	"person"	"guilty"	"any"	"act"	"as"	"provide"	"therein"	"with_respect_to"	"any"	"matter"	"under"	"this"	"title"	"shall"	"forfeit"	"all"	"right"	"under"	"this"	"title"	"and"	"if"	"payment"	"shall"	"have"	"been"	"make"	"or"	"grant"	"the"	"commission"	"shall"	"take"	"such"	"action"	"as"	"may"	"be"	"necessary"	"to"	"recover"	"the"	"same"	
"2:42:00::"	"not"	"-"	"does"	"my"	"does_not"	"not_-"	"-_my"	"few_does_not"	"does_not_-"	"not_-_my"	"-_my_world"	"JJ"	"VBZ"	"RB"	"VB"	"ε"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"then"	"for"	"how"	"many"	"year"	"how"	"few"	"does"	"not"	"matter"	"my"	"world"	"be"	"bound"	"round"	"by"	"fence"	"when"	"i"	"be"	"too"	"small"	"to"	"reach"	"the"	"apple_tree"	"bough"	"to"	"twist"	"my"	"knee"	"over"	"it"	"and"	"pull_up"	"myself"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"n't"	"a-tall"	"do"	"''"	"do_n't"	"n't_a-tall"	"a-tall_''"	"it_do_n't"	"do_n't_a-tall"	"n't_a-tall_''"	"a-tall_''_,"	"PRP"	"VBP"	"RB"	"VB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"it"	"n't"	"matter"	"a-tall"	"person"	"supply"	"fondly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"the"	"as"	"dismiss"	"he"	"dismiss_the"	"the_as"	"as_he"	"and_then_dismiss_the"	"dismiss_the_as"	"the_as_he"	"as_he_call_for"	"RB"	"VB"	"JJ"	"NN"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"watch"	"them"	"go"	"still"	"absently"	"and_then"	"dismiss"	"the"	"matter"	"as"	"he"	"call_for"	"his"	"check"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"this"	","	"in"	"by"	"in_this"	"this_,"	",_by"	"sensibility_in_this"	"in_this_,"	"this_,_by"	",_by_failure"	"NN"	"RB"	"RB"	"NN"	"ε"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_too"	"frequently"	"point_out"	"person"	"managing_editor"	"of"	"commonweal"	"catholic"	"run_roughshod"	"protestant"	"sensibility"	"in"	"this"	"matter"	"by"	"failure"	"to"	"consider"	"the"	"reasoning"	"behind"	"the"	"protestant"	"position"	"particularly"	"by"	"their"	"jibe"	"at"	"the"	"fact"	"that"	"protestant"	"opinion"	"on"	"birth_control"	"has"	"change"	"in"	"recent"	"decade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"and"	"of"	"judgment"	"theological"	"judgment_and"	"and_of"	"of_theological"	"moral_judgment_and"	"judgment_and_of"	"and_of_theological"	"of_theological_belief"	"JJ"	"NN"	"CC"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"bring"	"us"	"to"	"the"	"fact"	"that"	"the"	"reality"	"we"	"are"	"deal"	"with"	"lie"	"not"	"in"	"the"	"field"	"of"	"civil"	"legislation"	"but"	"in"	"the"	"realm"	"of"	"conscience"	"and"	"they"	"be"	"moral"	"judgment"	"and"	"matter"	"of"	"theological"	"belief"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"a"	"of"	"only"	"time"	"only_a"	"a_of"	"of_time"	"was_only_a"	"only_a_of"	"a_of_time"	"of_time_before"	"VBD"	"RB"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"person"	"it"	"only"	"a"	"matter"	"of"	"time"	"before"	"person"	"would"	"propose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"simple"	"to"	"a"	"reach"	"a_simple"	"simple_to"	"to_reach"	"be_a_simple"	"a_simple_to"	"simple_to_reach"	"to_reach_person"	"VB"	"DT"	"JJ"	"NN"	"VB"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"back"	"of"	"barn"	"it"	"be"	"a"	"simple"	"matter"	"to"	"reach"	"person"	"house"	"without"	"use"	"the"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
