"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"
"2:38:02::"	"he"	"in"	","	"at"	",_he"	"he_in"	"in_at"	"clock_,_he"	",_he_in"	"he_in_at"	"in_at_the"	"NN"	"ε"	"PRP"	"VB"	"IN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"it"	"be"	"only"	"o"	"clock"	"he"	"stop"	"in"	"at"	"the"	"golden_calf"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"man"	"his"	"thin"	"pacing"	"thin_man"	"man_his"	"his_pacing"	"the_thin_man"	"thin_man_his"	"man_his_pacing"	"his_pacing_long"	"DT"	"JJ"	"NN"	"VB"	"PRP$"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"man"	"stop"	"his"	"pacing"	"long"	"enough"	"to"	"glance"	"at"	"the"	"clock"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"and"	"tremble"	"him"	"."	"him_and"	"and_tremble"	"tremble_."	"at_him_and"	"him_and_tremble"	"and_tremble_."	"tremble_._∅"	"IN"	"PRP"	"CC"	"VB"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"roberta"	"glance"	"him"	"and"	"stop"	"tremble"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:05::"	"to"	"civil_rights"	"filibuster"	"bills"	"filibuster_to"	"to_civil_rights"	"civil_rights_bills"	"the_filibuster_to"	"filibuster_to_civil_rights"	"to_civil_rights_bills"	"civil_rights_bills_."	"DT"	"NN"	"TO"	"VB"	"NN"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"wide-ranging"	"bipartisan"	"force"	"from"	"minnesota"	"democratic"	"hubert_humphrey"	"to"	"massachusetts"	"republican_leverett_saltonstall"	"was"	"draw_up"	"against"	"a"	"solid"	"phalanx"	"of"	"southern"	"democrats"	"who"	"traditionally"	"use"	"the"	"filibuster"	"to"	"stop"	"civil_rights"	"bills"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"'ve"	"there"	"we"	"again"	"we_'ve"	"'ve_there"	"there_again"	"when_we_'ve"	"we_'ve_there"	"'ve_there_again"	"there_again_-"	"WRB"	"PRP"	"VBP"	"VB"	"EX"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many_a"	"motel"	"owner"	"we"	"stop"	"there"	"again"	"has"	"remember"	"us"	"and"	"has"	"say"	"he"	"prefer"	"our"	"dogs"	"to"	"most"	"children"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"the"	"try"	"processes"	"try_to"	"to_the"	"the_processes"	"to_try_to"	"try_to_the"	"to_the_processes"	"the_processes_of"	"TO"	"VB"	"TO"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"two"	"cities"	"have"	"the"	"examples"	"of"	"little_rock"	"and"	"new_orleans"	"hold_up"	"as"	"warnings"	"against"	"resort"	"to"	"violence"	"to"	"try"	"to"	"stop"	"the"	"processes"	"of"	"desegregation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"drivers"	"an"	"oncoming"	"entire"	"oncoming_drivers"	"drivers_an"	"an_entire"	"when_oncoming_drivers"	"oncoming_drivers_an"	"drivers_an_entire"	"an_entire_lane"	"WRB"	"JJ"	"NNS"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"one"	"recent"	"day"	"of"	"driving"	"about"	"los_angeles"	"be"	"actually"	"a"	"dozen"	"occasions"	"when"	"oncoming"	"drivers"	"stop"	"an"	"entire"	"lane"	"of"	"traffic"	"to"	"permit"	"me"	"to"	"pull_out"	"of"	"an"	"impossible"	"side"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"would"	"if"	"agency"	"it"	"agency_would"	"would_if"	"if_it"	"the_agency_would"	"agency_would_if"	"would_if_it"	"if_it_break_down"	"DT"	"NN"	"MD"	"VB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"point_out"	"to"	"the"	"commissioners"	"that"	"the"	"agency"	"was"	"literally"	"dependent"	"now"	"the"	"machine"	"processing"	"and"	"the"	"whole"	"wheels"	"of"	"the"	"agency"	"would"	"stop"	"if"	"it"	"break_down"	"or"	"the"	"three"	"or"	"four"	"persons"	"direct"	"it"	"were"	"to"	"leave"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"and"	","	"slow"	"hundreds"	"slow_and"	"and_,"	",_hundreds"	"unsinkable_slow_and"	"slow_and_,"	"and_,_hundreds"	",_hundreds_of"	"NNP"	"VB"	"CC"	"VB"	"ε"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"unsinkable"	"and"	"stop"	"hundreds"	"of"	"brilliant"	"white"	"flares"	"sway"	"eerily"	"down"	"from"	"the"	"black"	"the"	"air_raid"	"sirens"	"ashore"	"rise"	"in"	"a"	"keening"	"shriek"	"the"	"anti-aircraft"	"guns"	"coughed"	"and"	"chattered"	"and"	"above"	"it"	"all"	"motors"	"roar"	"and"	"the"	"bombs"	"come"	"whispering"	"and"	"wailing"	"and"	"crash"	"down"	"among"	"the"	"ships"	"at"	"anchor"	"at"	"bari"	
"2:38:00::"	"and"	"."	","	"∅"	",_and"	"and_."	"._∅"	"house_,_and"	",_and_."	"and_._∅"	"._∅_∅"	"NN"	"ε"	"CC"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"when"	"the"	"station_wagon"	"draw"	"abreast_of"	"the"	"dusty"	"dirt"	"road"	"that"	"lead"	"up"	"to"	"the"	"porch"	"of"	"the"	"culver"	"house"	"pamela"	"turn"	"the"	"wheel"	"guide"	"the"	"car"	"to"	"its"	"familiar"	"parking"	"spot"	"close_to"	"the"	"and"	"stop"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
