"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"2:33:00::"	"rhode_island"	"marked"	","	"progress"	",_rhode_island"	"rhode_island_marked"	"marked_progress"	"nation_,_rhode_island"	",_rhode_island_marked"	"rhode_island_marked_progress"	"marked_progress_in"	"NN"	"ε"	"NN"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"make"	"these"	"new"	"location"	"figures"	"particularly"	"impressive"	"be"	"the"	"fact"	"that"	"although"	"be"	"a"	"year"	"of"	"mild"	"recession"	"throughout"	"the"	"nation"	"rhode_island"	"score"	"marked"	"progress"	"in"	"new"	"industry"	"new"	"plants"	"and"	"new"	"jobs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"but"	"in"	"junior_classes"	"the"	"junior_classes_but"	"but_in"	"in_the"	"in_junior_classes_but"	"junior_classes_but_in"	"but_in_the"	"in_the_breed"	"IN"	"NN"	"CC"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most"	"juniors"	"who"	"were"	"enter"	"in"	"the"	"finals"	"be"	"campaigners"	"and"	"not_only"	"show"	"and"	"win"	"in"	"junior_classes"	"but"	"score"	"in"	"the"	"breed"	"classes"	"as_well"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"-"	"each"	"∅"	"frankfurter"	"∅_-"	"-_each"	"each_frankfurter"	"∅_∅_-"	"∅_-_each"	"-_each_frankfurter"	"each_frankfurter_in"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"frankfurter"	"in"	"four"	"or"	"five"	"places"	"about"	"a"	"third"	"of"	"the"	"way"	"through"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"test"	"of"	"group"	"reading"	"group_test"	"test_of"	"of_reading"	"obtain_group_test"	"group_test_of"	"test_of_reading"	"of_reading_achievement"	"VB"	"NN"	"NN"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"purpose"	"of"	"sample"	"selection"	"only"	"individual"	"test"	"give"	"later"	"we"	"obtain"	"group"	"test"	"score"	"of"	"reading"	"achievement"	"and"	"intelligence"	"from"	"school"	"record"	"of"	"the"	"entire"	"third"	"grade"	"population"	"in"	"each"	"school_system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"criterion"	"use"	"the"	"in"	"the_criterion"	"criterion_use"	"use_in"	"∅_the_criterion"	"the_criterion_use"	"criterion_use_in"	"use_in_the"	"ε"	"DT"	"NN"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"criterion"	"score"	"use"	"in"	"the"	"statistical"	"analysis"	"be"	"an"	"index"	"of"	"overachievement"	"or"	"underachievement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"achievement"	"("	"low"	"although"	"low_achievement"	"achievement_("	"(_although"	"the_low_achievement"	"low_achievement_("	"achievement_(_although"	"(_although_not"	"DT"	"JJ"	"NN"	"NN"	"ε"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"interesting"	"to"	"note"	"that"	"medium"	"in"	"the"	"unstructured"	"school"	"make"	"the"	"low"	"achievement"	"score"	"although"	"not"	"significantly"	"low"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"romantic"	","	"big"	"person"	"big_romantic"	"romantic_,"	",_person"	"another_big_romantic"	"big_romantic_,"	"romantic_,_person"	",_person_overture_to_manfred"	"JJ"	"JJ"	"JJ"	"NN"	"ε"	"NNP"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"concert"	"open"	"another"	"big"	"romantic"	"score"	"person"	"overture_to_manfred"	"which"	"suffer"	"fate"	"this"	"time"	"with"	"orchestral"	"thrust"	"to"	"the"	"byronic"	"point"	"to"	"keep"	"it"	"afloat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"as"	"in"	"the"	"in_the"	"the_as"	"as_the"	"novelty_in_the"	"in_the_as"	"the_as_the"	"as_the_fugal"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"fascinating"	"in"	"the"	"score"	"as"	"the"	"fugal"	"treatment"	"of"	"on_the_side_of_the_angels"	"and"	"politics_and_poker"	"were"	"handle"	"splendidly"	"and"	"i"	"think"	"person"	"and"	"his"	"band"	"of"	"tuneful"	"ward-heeler"	"make"	"little_tin_box"	"even"	"better"	"than"	"it"	"was"	"do"	"by"	"the"	"new_york"	"cast"	"all"	"the"	"words"	"of"	"its"	"clever"	"lyric"	"come_through"	"with"	"perfect"	"clarity"	
"1:23:00::"	"the"	"in"	"tie"	"the"	"tie_the"	"the_in"	"in_the"	"group_tie_the"	"tie_the_in"	"the_in_the"	"in_the_sixth"	"NNP"	"VB"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"tie"	"the"	"score"	"in"	"the"	"sixth"	"inning"	"when"	"person"	"beat_out"	"a"	"high"	"chopper"	"to"	"third_base"	"and"	"score"	"on"	"person"	"double"	"to"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"and"	"on"	"third_base"	"person"	"third_base_and"	"and_on"	"on_person"	"to_third_base_and"	"third_base_and_on"	"and_on_person"	"on_person_'s"	"TO"	"NN"	"CC"	"VB"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"tie"	"the"	"score"	"in"	"the"	"sixth"	"when"	"person"	"beat_out"	"a"	"high"	"chopper"	"to"	"third_base"	"and"	"score"	"on"	"person"	"double"	"to"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
