"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"2:40:00::"	"been"	"immediate"	"have"	"action"	"have_been"	"been_immediate"	"immediate_action"	",_have_been"	"have_been_immediate"	"been_immediate_action"	"immediate_action_because"	"ε"	"VBP"	"VBN"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"last"	"eight"	"years"	"all"	"presidential"	"appointments"	"those"	"of"	"cabinet"	"rank"	"have"	"been"	"deny"	"immediate"	"action"	"because"	"of"	"a"	"senate"	"rule"	"require"	"at_least"	"a"	"hour"	"delay"	"after"	"they"	"are"	"report"	"to"	"the"	"floor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"be"	"a"	"could"	"deduction"	"could_be"	"be_a"	"a_deduction"	"company_could_be"	"could_be_a"	"be_a_deduction"	"a_deduction_for"	"NN"	"MD"	"VB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"possible"	"upshots"	"the"	"could"	"be"	"deny"	"a"	"deduction"	"for"	"its"	"pension"	"payments"	"or"	"those"	"payments"	"for"	"the"	"wife"	"and"	"employes"	"could"	"be"	"rule"	"taxable"	"to"	"them"	"in"	"the"	"year"	"make"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"effectively"	"that"	"cannot"	"he"	"cannot_effectively"	"effectively_that"	"that_he"	",_cannot_effectively"	"cannot_effectively_that"	"effectively_that_he"	"that_he_has"	"ε"	"MD"	"RB"	"VB"	"IN"	"PRP"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state_controller_arthur_levitt"	"on_the_other_hand"	"effectively"	"deny"	"that"	"he"	"has"	"choose"	"to"	"be"	"the"	"candidate"	"of"	"those"	"party"	"leaders"	"who"	"as"	"a"	"rule"	"have"	"show"	"livelier"	"interest"	"in"	"political"	"power"	"than"	"in"	"the"	"city"	"welfare"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"judge_charles_l._powell"	"all"	"dist."	"motions"	"dist._judge_charles_l._powell"	"judge_charles_l._powell_all"	"all_motions"	"u._s._dist._judge_charles_l._powell"	"dist._judge_charles_l._powell_all"	"judge_charles_l._powell_all_motions"	"all_motions_make"	"NNP"	"NN"	"NNP"	"VB"	"DT"	"NNS"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"u._s."	"judge_charles_l._powell"	"deny"	"all"	"motions"	"make"	"by"	"defense_attorneys"	"monday"	"in"	"portland"	"insurance"	"fraud"	"trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"in"	"motions"	"∅"	"for"	"∅_in"	"in_motions"	"motions_for"	"∅_∅_in"	"∅_in_motions"	"in_motions_for"	"motions_for_dismissal"	"ε"	"ε"	"IN"	"VB"	"NNS"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"deny"	"motions"	"for"	"dismissal"	"judge_powell"	"state"	"that"	"mass"	"trials"	"have"	"been"	"uphold"	"as"	"proper"	"in"	"courts"	"and"	"that"	"a"	"person"	"may"	"join"	"a"	"conspiracy"	"without"	"know"	"who"	"all_of"	"the"	"conspirators"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"without"	"the"	"tv"	"children"	"tv_without"	"without_the"	"the_children"	"on_tv_without"	"tv_without_the"	"without_the_children"	"the_children_the"	"IN"	"NN"	"IN"	"VB"	"DT"	"NNS"	"DT"	"0"	"0"	"0"	"0"	"0"	"how"	"can"	"we"	"old-fashioned"	"parents"	"who"	"still"	"feel"	"that"	"adults"	"be"	"due"	"some"	"respect"	"from"	"children"	"battle"	"new"	"type"	"of"	"advertising"	"that"	"on"	"tv"	"without"	"deny"	"the"	"children"	"the"	"use"	"of"	"television"	"entirely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"their"	"use"	"ambition"	"use_to"	"to_their"	"their_ambition"	"unions_use_to"	"use_to_their"	"to_their_ambition"	"their_ambition_to"	"NNS"	"VB"	"TO"	"VB"	"PRP$"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"tortured"	"reasoning"	"unions"	"use"	"to"	"deny"	"their"	"ambition"	"to"	"exercise"	"monopoly"	"power"	"over"	"the"	"supply"	"and"	"price"	"of"	"labor"	"be"	"one"	"of"	"the"	"things"	"that"	"create"	"a"	"legal_profession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"the"	"be"	"connection"	"be_to"	"to_the"	"the_connection"	"has_be_to"	"be_to_the"	"to_the_connection"	"the_connection_."	"VBZ"	"VB"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"modern"	"westerners"	"have"	"difficulty"	"comprehend"	"this"	"fusion"	"of"	"moral"	"and"	"material"	"largely"	"because"	"the"	"west"	"the"	"historical"	"trend"	"has"	"be"	"to"	"deny"	"the"	"connection"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"in"	"that"	"perjury"	"he"	"perjury_in"	"in_that"	"that_he"	"of_perjury_in"	"perjury_in_that"	"in_that_he"	"that_he_give"	"IN"	"NN"	"IN"	"VB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after_all"	"alger_hiss"	"subsequently"	"convict"	"perjury"	"in"	"deny"	"that"	"he"	"give"	"secret"	"state_department"	"documents"	"to"	"soviet"	"agents"	"be"	"at"	"yalta"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"long"	"him"	"leadership"	"."	"leadership_long"	"long_him"	"him_."	"the_leadership_long"	"leadership_long_him"	"long_him_."	"him_._∅"	"DT"	"NN"	"JJ"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"moon-faced"	"ludwig_erhart"	"the"	"economic_expert"	"probably"	"will"	"to"	"the"	"leadership"	"long"	"deny"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
