"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"1:15:00::"	"the"	"later_on"	"sell"	"for"	"sell_the"	"the_later_on"	"later_on_for"	"possibility_sell_the"	"sell_the_later_on"	"the_later_on_for"	"later_on_for_suburban"	"IN"	"VB"	"DT"	"NN"	"RB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"sell"	"the"	"property"	"later_on"	"for"	"suburban"	"subdivision"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"and"	"or"	","	"right"	",_and"	"and_or"	"or_right"	"facility_,_and"	",_and_or"	"and_or_right"	"or_right_by"	"NN"	"ε"	"CC"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"acquire"	"secret"	"process"	"technical"	"data"	"invention"	"patent"	"application"	"patent"	"license"	"land"	"and"	"interest"	"in"	"land"	"include"	"water_right"	"plant"	"and"	"facility"	"and"	"property"	"right"	"by"	"purchase"	"license"	"lease"	"or"	"donation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"hold"	"for"	"you"	"the"	"you_hold"	"hold_for"	"for_the"	"if_you_hold"	"you_hold_for"	"hold_for_the"	"for_the_production"	"IN"	"PRP"	"VB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"hold"	"property"	"for"	"the"	"production"	"of"	"rent"	"or"	"royalty"	"you"	"subtract"	"in"	"compute"	"adjusted_gross_income"	"ordinary"	"and"	"necessary"	"expense"	"and"	"certain"	"deduction"	"attributable"	"to"	"the"	"property"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"."	"to"	"∅"	"to_the"	"the_."	"._∅"	"attributable_to_the"	"to_the_."	"the_._∅"	"._∅_∅"	"JJ"	"TO"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"hold"	"property"	"for"	"the"	"production"	"of"	"rent"	"or"	"royalty"	"you"	"subtract"	"in"	"compute"	"adjusted_gross_income"	"ordinary"	"and"	"necessary"	"expense"	"and"	"deduction"	"attributable"	"to"	"the"	"property"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"of"	"be"	"exchange"	"allowable"	"exchange_of"	"of_be"	"be_allowable"	"or_exchange_of"	"exchange_of_be"	"of_be_allowable"	"be_allowable_in"	"CC"	"NN"	"IN"	"NN"	"VB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"deductible"	"losses"	"on"	"or"	"exchange"	"of"	"property"	"be"	"allowable"	"in"	"determine"	"your"	"adjusted_gross_income"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"measure"	"is"	"to"	"near"	"to_measure"	"measure_is"	"is_near"	"apparatus_to_measure"	"to_measure_is"	"measure_is_near"	"is_near_completion"	"NN"	"TO"	"VB"	"NN"	"VB"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"development"	"and"	"testing"	"new"	"apparatus"	"to"	"measure"	"property"	"is"	"near"	"completion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"transport"	"of"	"the"	"air"	"the_transport"	"transport_of"	"of_air"	"of_the_transport"	"the_transport_of"	"transport_of_air"	"of_air_at"	"IN"	"DT"	"NN"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"year"	"study"	"the"	"transport"	"property"	"of"	"air"	"at"	"elevated"	"temperature"	"has"	"been"	"complete"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"colloidal"	"."	"exhibit"	"∅"	"exhibit_colloidal"	"colloidal_."	"._∅"	"to_exhibit_colloidal"	"exhibit_colloidal_."	"colloidal_._∅"	"._∅_∅"	"RB"	"VB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dirt"	"which"	"is"	"here"	"define"	"as"	"particulate"	"material"	"which"	"be"	"usually"	"inorganic"	"and"	"be"	"very"	"often"	"finely"	"divide"	"so"	"as"	"to"	"exhibit"	"colloidal"	"property"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	"exhibit"	"form"	"exhibit_the"	"the_of"	"of_form"	"which_exhibit_the"	"exhibit_the_of"	"the_of_form"	"of_form_micelle"	"WDT"	"VB"	"DT"	"NN"	"IN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as_is"	"well_known"	"detergent"	"active"	"belong_to"	"the"	"chemical"	"class"	"consist_of"	"high"	"molecular_weight"	"and"	"highly"	"polar"	"molecule"	"which"	"exhibit"	"the"	"property"	"of"	"form"	"micelle"	"in"	"solution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"''"	"has"	"synergistic"	"gain"	"synergistic_''"	"''_has"	"has_gain"	"``_synergistic_''"	"synergistic_''_has"	"''_has_gain"	"has_gain_widespread"	"ε"	"JJ"	"ε"	"NN"	"VBZ"	"VB"	"JJ"	"of"	"the"	"variety"	"of"	"soil"	"and"	"fabric"	"normally"	"encounter"	"in"	"the"	"washing"	"process"	"it"	"be"	"little"	"wonder"	"that"	"the"	"use"	"of"	"a"	"number"	"of"	"detergent"	"constituent"	"have"	"synergistic"	"property"	"gain"	"widespread"	"acceptance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
