"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"1:10:00::"	"private"	"of"	"a"	"anti-semitism"	"a_private"	"private_of"	"of_anti-semitism"	"on_a_private"	"a_private_of"	"private_of_anti-semitism"	"of_anti-semitism_."	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"might"	"be"	"contend"	"of_course"	"that"	"person"	"in"	"stubbornly"	"deny"	"feeling"	"was"	"lie"	"or"	"insist"	"on"	"a"	"private"	"definition"	"of"	"anti-semitism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"working"	"of"	"a"	"idea"	"a_working"	"working_of"	"of_idea"	"point_a_working"	"a_working_of"	"working_of_idea"	"of_idea_be"	"NN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"this"	"a"	"working"	"definition"	"of"	"idea"	"be"	"in_order"	"although"	"our"	"first"	"definition"	"will"	"have"	"to"	"be"	"qualify"	"somewhat"	"as"	"we"	"proceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"first"	"will"	"our"	"have"	"our_first"	"first_will"	"will_have"	"although_our_first"	"our_first_will"	"first_will_have"	"will_have_to"	"IN"	"PRP$"	"JJ"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"this"	"point"	"a"	"working"	"definition"	"idea"	"be"	"in_order"	"although"	"our"	"first"	"definition"	"will"	"have"	"to"	"be"	"qualify"	"somewhat"	"as"	"we"	"proceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"sharp"	"of"	"the"	"what"	"the_sharp"	"sharp_of"	"of_what"	"be_the_sharp"	"the_sharp_of"	"sharp_of_what"	"of_what_my"	"VB"	"DT"	"JJ"	"NN"	"RB"	"RB"	"PRP$"	"my"	"initiation"	"to"	"war"	"and"	"the"	"insane"	"symphony"	"war"	"play"	"for"	"what"	"had"	"happen"	"on"	"the"	"common"	"be"	"only"	"terror"	"and"	"flight"	"but"	"this"	"grinning"	"broken"	"head"	"not"	"ten"	"foot"	"away"	"from"	"me"	"be"	"the"	"sharp"	"of"	"what"	"my"	"reality"	"had"	"become"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of"	"such"	"ignorant"	"as"	"ignorant_of"	"of_such"	"such_as"	"remain_ignorant_of"	"ignorant_of_such"	"of_such_as"	"such_as_this"	"VB"	"JJ"	"JJ"	"NN"	"JJ"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"its"	"propagandistic"	"and"	"commercial"	"haste"	"to"	"discover"	"folk"	"heritage"	"the"	"public"	"has"	"remain"	"ignorant"	"of"	"definition"	"such"	"as"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"good"	"be"	"now"	"one"	"now_good"	"good_be"	"be_one"	"∅_now_good"	"now_good_be"	"good_be_one"	"be_one_thing"	"ε"	"RB"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"good"	"definition"	"be"	"one"	"thing"	"that"	"all_of"	"us"	"can"	"acquire"	"with"	"occasional"	"high-set"	"high-rep"	"light"	"weight"	"workout"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"muscle"	"specialization"	"on"	"of"	"on_muscle"	"muscle_specialization"	"specialization_of"	"article_on_muscle"	"on_muscle_specialization"	"muscle_specialization_of"	"specialization_of_a"	"NN"	"IN"	"NN"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"exercise"	"i"	"shall"	"discuss"	"in"	"this"	"the"	"of"	"a"	"new"	"series"	"of"	"article"	"on"	"muscle"	"definition"	"specialization"	"of"	"a"	"particular"	"body_part"	"be"	"the"	"one_leg_lunge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	"influence"	"the"	"influence_the"	"the_of"	"of_the"	"drastically_influence_the"	"influence_the_of"	"the_of_the"	"of_the_thigh"	"RB"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"the"	"one"	"that"	"drastically"	"influence"	"the"	"definition"	"of"	"the"	"thigh"	"at"	"the"	"hipline"	"that"	"mark"	"of"	"the"	"champion"	"that"	"set"	"him"	"apart"	"from"	"all"	"bodybuilder"	"a"	"criterion"	"of"	"muscle"	"drama"	"that_is"	"unforgettable"	"to"	"judge"	"and"	"audience"	"alike"	"the"	"facet"	"of"	"muscular"	"development"	"that"	"win"	"prize"	
"1:07:00::"	"∅"	"of"	"∅"	"the"	"∅_∅"	"∅_of"	"of_the"	"∅_∅_∅"	"∅_∅_of"	"∅_of_the"	"of_the_thigh"	"ε"	"ε"	"ε"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"the"	"thigh"	"at"	"the"	"uppermost"	"part"	"is"	"quite"	"commonly"	"see"	"in"	"most"	"championship"	"olympic"	"lifter"	"which"	"be"	"easily"	"understandable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"purely"	"purpose"	"for"	"-"	"for_purely"	"purely_purpose"	"purpose_-"	"but_for_purely"	"for_purely_purpose"	"purely_purpose_-"	"purpose_-_use"	"CC"	"IN"	"RB"	"NN"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"purely"	"definition"	"purpose"	"use"	"in"	"conjunction"	"with"	"your"	"regular"	"squatting"	"leg_curling"	"leg_extensor"	"program"	"a"	"heavy"	"weight"	"is"	"not"	"needed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
