"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"2:32:00::"	"personal"	","	"too_much"	"indoctrinate"	"too_much_personal"	"personal_,"	",_indoctrinate"	"need_too_much_personal"	"too_much_personal_,"	"personal_,_indoctrinate"	",_indoctrinate_,"	"VB"	"RB"	"JJ"	"VB"	"ε"	"VB"	"ε"	"upon"	"which"	"the"	"example"	"show"	"in"	"figure"	"is"	"base"	"be"	"a"	"one"	"man"	"can"	"direct"	"about"	"six"	"subordinate"	"if"	"the"	"subordinate"	"are"	"choose"	"carefully"	"so"	"that"	"they"	"do"	"need"	"too_much"	"personal"	"indoctrinate"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"the"	"who"	"is"	"be"	"is_the"	"the_who"	"who_be"	"usually_is_the"	"is_the_who"	"the_who_be"	"who_be_supposed"	"RB"	"VBZ"	"DT"	"NN"	"WP"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"time"	"i"	"find"	"the"	"player"	"pep_up"	"up"	"where"	"it"	"usually"	"is"	"the"	"coach"	"who"	"be"	"supposed"	"to"	"deliver"	"the"	"fight"	"talk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"thank"	"'s"	"to"	"wife"	"to_thank"	"thank_'s"	"'s_wife"	"want_to_thank"	"to_thank_'s"	"thank_'s_wife"	"'s_wife_for"	"VB"	"VB"	"VB"	"NN"	"POS"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"person"	"accept"	"his"	"silver"	"bowl"	"he"	"i"	"want"	"to"	"thank"	"coach"	"wife"	"for"	"talk_into"	"him"	"into"	"let"	"me"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"head"	"."	"to"	"∅"	"to_head"	"head_."	"._∅"	"today_to_head"	"to_head_."	"head_._∅"	"._∅_∅"	"NN"	"TO"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"line_coach"	"for"	"the"	"football"	"champion"	"was"	"elevate"	"today"	"to"	"head"	"coach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"defensive"	"."	"a"	"∅"	"a_defensive"	"defensive_."	"._∅"	"be_a_defensive"	"a_defensive_."	"defensive_._∅"	"._∅_∅"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"defensive"	"coach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	","	"and"	"player"	"team"	"player_,"	",_and"	"and_team"	"of_player_,"	"player_,_and"	",_and_team"	"and_team_official"	"IN"	"NN"	"ε"	"NN"	"CC"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"head"	"group"	"of"	"player"	"coach"	"and"	"team"	"official"	"who"	"receive"	"an"	"engrossed"	"copy"	"of"	"an"	"official"	"city"	"citation"	"and"	"a"	"pair"	"of"	"silver"	"cufflink"	"shape"	"like"	"a"	"football"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"his"	"seek"	"and"	"to"	"and_his"	"his_seek"	"seek_to"	"person_and_his"	"and_his_seek"	"his_seek_to"	"seek_to_trim_down"	"NNP"	"CC"	"PRP$"	"NN"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"baltimore"	"bulky"	"spring_training"	"contingent"	"now"	"gradually"	"will"	"reduce"	"as"	"manager"	"person"	"and"	"his"	"coach"	"seek"	"to"	"trim_down"	"it"	"down"	"to"	"a"	"more"	"streamlined"	"and"	"workable"	"unit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	","	"person"	"year"	"tell"	"year_,"	",_person"	"person_tell"	"this_year_,"	"year_,_person"	",_person_tell"	"person_tell_me"	"DT"	"NN"	"ε"	"NN"	"NNP"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"coach"	"person"	"tell"	"me"	"if"	"i"	"work_on"	"my"	"place-kicking"	"he"	"think"	"he"	"could"	"use"	"me"	"say"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"group"	"staff"	"the"	"monday"	"the_group"	"group_staff"	"staff_monday"	"on_the_group"	"the_group_staff"	"group_staff_monday"	"staff_monday_,"	"VB"	"DT"	"NNP"	"VB"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"good"	"feeling"	"on"	"the"	"group"	"coach"	"staff"	"monday"	"but"	"attention"	"quickly"	"turn"	"from"	"saturday"	"victory"	"to"	"next"	"week"	"problem"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	","	"person"	"''"	"say"	"''_,"	",_person"	"person_say"	"player_''_,"	"''_,_person"	",_person_say"	"person_say_of"	"NN"	"ε"	"ε"	"NN"	"NNP"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"just"	"real"	"happy"	"for"	"player"	"coach"	"person"	"say"	"of"	"the"	"victory"	"over"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"assistant"	"person"	"∅"	"describe"	"∅_assistant"	"assistant_person"	"person_describe"	"∅_∅_assistant"	"∅_assistant_person"	"assistant_person_describe"	"person_describe_victory"	"ε"	"ε"	"NN"	"NN"	"NNP"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"coach"	"person"	"describe"	"victory"	"as"	"a"	"good"	"feeling"	"i"	"think"	"on"	"the"	"part"	"of"	"the"	"coach"	"and"	"the"	"player"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"the"	"and"	"of"	"the"	"of_the"	"the_and"	"and_the"	"part_of_the"	"of_the_and"	"the_and_the"	"and_the_player"	"NN"	"IN"	"DT"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assistant"	"coach"	"person"	"describe"	"victory"	"as"	"a"	"good"	"feeling"	"think"	"on"	"the"	"part"	"of"	"the"	"coach"	"and"	"the"	"player"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"if"	"person"	"as"	"'s"	"as_if"	"if_person"	"person_'s"	"look_as_if"	"as_if_person"	"if_person_'s"	"person_'s_men"	"VB"	"IN"	"IN"	"NN"	"NNP"	"POS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"have"	"two"	"more"	"road_game"	"at"	"location"	"and"	"houston"	"before"	"they"	"for"	"the"	"home_folks"	"again"	"and"	"it"	"look"	"as"	"if"	"coach"	"person"	"men"	"will"	"meet"	"the"	"group"	"just_as"	"they"	"are"	"develop"	"into"	"the"	"kind"	"of"	"team"	"they"	"were"	"expect"	"to"	"be"	"in"	"preseason"	"reckoning"	
"1:18:01::"	"location"	"person"	"∅"	","	"∅_location"	"location_person"	"person_,"	"∅_∅_location"	"∅_location_person"	"location_person_,"	"person_,_who"	"ε"	"ε"	"NNP"	"NN"	"NNP"	"ε"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"coach"	"person"	"who"	"has"	"become"	"one"	"of"	"the"	"game"	"greatest"	"collector"	"of"	"quarterback"	"apparently"	"now"	"has"	"find"	"a"	"productive"	"pair"	"in"	"two"	"ex"	"group"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	
