"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"2:32:00::"	"to"	"all"	"space"	"the"	"space_to"	"to_all"	"all_the"	"the_space_to"	"space_to_all"	"to_all_the"	"all_the_efforts"	"DT"	"NN"	"TO"	"VB"	"PDT"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"cannot"	"the"	"space"	"to"	"record"	"all"	"the"	"efforts"	"for"	"the"	"removal"	"or"	"alleviation"	"of"	"collective"	"ills"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"words"	"so"	"those"	"many"	"those_words"	"words_so"	"so_many"	"of_those_words"	"those_words_so"	"words_so_many"	"so_many_hundreds"	"IN"	"DT"	"NNS"	"VB"	"RB"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for_the_most_part"	"however"	"the"	"new"	"version"	"be"	"contemporary"	"and"	"as_such"	"should"	"be"	"the"	"means"	"for"	"many"	"to"	"attain"	"a"	"clearer"	"of"	"the"	"meaning"	"of"	"those"	"words"	"record"	"so"	"many"	"hundreds"	"of"	"years"	"ago"	"by"	"the"	"first"	"followers"	"of"	"christ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"originally"	"by_hand"	"∅"	","	"∅_originally"	"originally_by_hand"	"by_hand_,"	"∅_∅_originally"	"∅_originally_by_hand"	"originally_by_hand_,"	"by_hand_,_these"	"ε"	"ε"	"RB"	"VB"	"RB"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"record"	"by_hand"	"these"	"words"	"have"	"been"	"copy"	"and"	"recopy"	"translate"	"and"	"retranslate"	"through"	"the"	"ages"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"not"	"nor"	"is"	"remember"	"is_not"	"not_nor"	"nor_remember"	"reason_is_not"	"is_not_nor"	"not_nor_remember"	"nor_remember_,"	"NN"	"VBZ"	"RB"	"VB"	"CC"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"again"	"reverend_corder"	"save"	"the"	"bridge"	"when"	"union"	"soldiers"	"plan"	"to"	"destroy"	"after"	"fill"	"its"	"two"	"lanes"	"with"	"hay"	"and"	"but"	"for"	"what"	"reason"	"is"	"not"	"record"	"nor"	"remember"	"certainly"	"not"	"because"	"of"	"pressure"	"from"	"an"	"opposing"	"confederate"	"force"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"by"	"sextuor"	"l"	"sextuor_,"	",_by"	"by_l"	"en_sextuor_,"	"sextuor_,_by"	",_by_l"	"by_l_'"	"IN"	"NNP"	"ε"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rameau"	"six"	"concerts"	"sextuor"	"record"	"by"	"l"	"orchestre"	"de"	"chambre"	"pierre_menet"	"bam"	"ld"	"turn_out"	"to"	"be"	"harpsichord"	"pieces"	"arrange"	"for"	"strings"	"apparently"	"by"	"the"	"composer"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"been"	"along"	"have"	"the"	"have_been"	"been_along"	"along_the"	"history_have_been"	"have_been_along"	"been_along_the"	"along_the_avenue"	"NN"	"VBP"	"VBN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"great"	"chapters"	"history"	"have"	"been"	"record"	"along"	"the"	"avenue"	"now"	"about"	"years"	"old"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"tests"	"certain"	"i._q."	"essential"	"i._q._tests"	"tests_certain"	"certain_essential"	"early_i._q._tests"	"i._q._tests_certain"	"tests_certain_essential"	"certain_essential_facts"	"JJ"	"NNP"	"NNS"	"VB"	"JJ"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"no"	"diagram"	"of"	"her"	"brain"	"no"	"early"	"i._q."	"tests"	"record"	"certain"	"essential"	"facts"	"about"	"helva"	"that"	"central"	"must"	"eventually"	"learn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"health"	"a"	"of"	"reading"	"of_health"	"health_a"	"a_reading"	"board_of_health"	"of_health_a"	"health_a_reading"	"a_reading_of"	"NN"	"IN"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"radiation"	"station"	"of"	"chicago"	"board"	"of"	"health"	"record"	"a"	"reading"	"of"	"micro-microcurie"	"of"	"radiation"	"per"	"cubic_meter"	"of"	"air"	"over"	"chicago"	"yesterday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"this"	"of"	"than"	"a_few"	"than_this"	"this_of"	"of_a_few"	"time_of_life_than_this"	"than_this_of"	"this_of_a_few"	"of_a_few_picture"	"NN"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"potent"	"a"	"charm"	"to"	"back"	"that"	"time_of_life"	"than"	"this"	"record"	"of"	"a_few"	"picture"	"and"	"a_few"	"remembered"	"fact"	"would"	"be"	"a"	"catalogue"	"of"	"the"	"minutia"	"which"	"be"	"of"	"the"	"very"	"stuff"	"of"	"the"	"mind"	"intrinsic"	"because"	"they"	"were"	"known"	"in_the_beginning"	"not"	"by"	"the"	"eye"	"alone"	"but"	"by"	"the"	"hand"	"that"	"hold"	"them"	
"1:04:01::"	"brilliant"	","	"a"	"was"	"a_brilliant"	"brilliant_,"	",_was"	"achieve_a_brilliant"	"a_brilliant_,"	"brilliant_,_was"	",_was_make"	"VB"	"DT"	"JJ"	"NN"	"ε"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"civil_war"	"person"	"achieve"	"a"	"brilliant"	"record"	"was"	"make"	"brigadier_general"	"at"	"the"	"age"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
