"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:35:01::"	"to"	"clay"	"∅"	"from"	"∅_to"	"to_clay"	"clay_from"	"∅_∅_to"	"∅_to_clay"	"to_clay_from"	"clay_from_mold"	"ε"	"ε"	"TO"	"VB"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"release"	"clay"	"from"	"mold"	"place"	"hands"	"in"	"a"	"cupped"	"around"	"project"	"gently"	"lift"	"the"	"edge"	"on"	"far"	"side"	"then"	"continue"	"to"	"release"	"edge"	"completely"	"around"	"mold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"to"	"edge"	"continue"	"completely"	"continue_to"	"to_edge"	"edge_completely"	"then_continue_to"	"continue_to_edge"	"to_edge_completely"	"edge_completely_around"	"RB"	"VB"	"TO"	"VB"	"NN"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"to"	"release"	"clay"	"from"	"mold"	"place"	"hands"	"in"	"a"	"cupped"	"around"	"project"	"gently"	"lift"	"the"	"edge"	"on"	"far"	"side"	"continue"	"to"	"release"	"edge"	"completely"	"around"	"mold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"has"	"a"	"time_jazz"	"nice"	"time_jazz_has"	"has_a"	"a_nice"	"good_time_jazz_has"	"time_jazz_has_a"	"has_a_nice"	"a_nice_two-record"	"JJ"	"NNP"	"VBZ"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"good"	"has"	"release"	"a"	"nice"	"two-record"	"album"	"which"	"he"	"make"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"statement"	"by"	"prepared"	"the"	"prepared_statement"	"statement_by"	"by_the"	"a_prepared_statement"	"prepared_statement_by"	"statement_by_the"	"by_the_student"	"DT"	"JJ"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"statement"	"release"	"by"	"the"	"student"	"group"	"friday"	"state"	"that"	"extensive"	"research"	"by"	"coahr"	"into"	"techniques"	"and"	"methods"	"of"	"theater"	"integration"	"in"	"cities"	"indicate"	"that"	"the"	"presence"	"of"	"picket_lines"	"and"	"stand-ins"	"before"	"segregated"	"theaters"	"cause"	"a"	"drop"	"in"	"profits"	
"2:41:00::"	"and"	"when"	","	"the"	",_and"	"and_when"	"when_the"	"1958_,_and"	",_and_when"	"and_when_the"	"when_the_jury"	"CD"	"ε"	"CC"	"VB"	"WRB"	"DT"	"NN"	"0"	"0"	"the"	"verdict"	"bring"	"vindication"	"to"	"the"	"dead"	"woman"	"stepson"	"vincent_hengesbach"	"who"	"was"	"try"	"for"	"the"	"same"	"crime"	"in"	"december"	"and"	"release"	"when"	"jury"	"fail"	"to"	"reach"	"a"	"verdict"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"a"	"borer"	"new"	"borer_and"	"and_a"	"a_new"	"a_borer_and"	"borer_and_a"	"and_a_new"	"a_new_plague"	"DT"	"NN"	"CC"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"it"	"did"	"destroy"	"the"	"controls"	"of"	"a"	"borer"	"and"	"release"	"a"	"new"	"plague"	"that"	"wreck"	"a"	"sugar_cane"	"crop"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"my"	"''"	"get"	"."	"get_my"	"my_''"	"''_."	"i_get_my"	"get_my_''"	"my_''_."	"''_._∅"	"PRP"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"say"	"i"	"my"	"release"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"give"	","	"to"	"and"	"to_give"	"give_,"	",_and"	"best_to_give"	"to_give_,"	"give_,_and"	",_and_communicational"	"RB"	"TO"	"VB"	"NN"	"ε"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"all"	"the"	"form"	"of"	"nonverbal"	"that"	"which"	"seem"	"best"	"to"	"give"	"release"	"and"	"communicational"	"expression"	"to"	"complex"	"and"	"undifferentiated"	"feeling"	"be"	"laughter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"driver"	"a"	"the"	"deluge"	"the_driver"	"driver_a"	"a_deluge"	",_the_driver"	"the_driver_a"	"driver_a_deluge"	"a_deluge_of"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tooth"	"again"	"flash"	"back"	"me"	"the"	"driver"	"release"	"a"	"deluge"	"of"	"spanish"	"in"	"which"	"amigo"	"appear"	"every_so_often"	"like"	"an"	"island"	"in"	"the"	"stormy"	"wave"	"of"	"surrounding"	"sound"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"the"	"reach"	"hand_brake"	"reach_to"	"to_the"	"the_hand_brake"	"was_reach_to"	"reach_to_the"	"to_the_hand_brake"	"the_hand_brake_,"	"VBD"	"VB"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"as"	"the"	"conviction"	"of"	"truth"	"roar"	"through"	"him"	"shatter"	"his"	"last"	"hope"	"safety"	"he"	"was"	"reach"	"to"	"release"	"the"	"hand_brake"	"to"	"head"	"up"	"the"	"road"	"for"	"home"	"do"	"her"	"bidding"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
