"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"
"1:17:00::"	"the"	"race"	"notice"	"upon"	"notice_the"	"the_race"	"race_upon"	"he_notice_the"	"notice_the_race"	"the_race_upon"	"race_upon_them"	"PRP"	"VB"	"DT"	"NN"	"VB"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"notice"	"the"	"cloud"	"race"	"upon"	"them"	"heavy"	"ominous"	"leaden"	"cloud"	"that"	"form"	"even"	"as"	"they"	"slice"	"over"	"the"	"crest"	"of"	"the"	"surrounding"	"hills"	
"1:17:00::"	"leaden"	"that"	","	"form"	",_leaden"	"leaden_that"	"that_form"	"ominous_,_leaden"	",_leaden_that"	"leaden_that_form"	"that_form_even"	"JJ"	"ε"	"JJ"	"NN"	"WDT"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"he"	"notice"	"the"	"cloud"	"race"	"them"	"heavy"	"ominous"	"leaden"	"cloud"	"that"	"form"	"even"	"as"	"they"	"slice"	"over"	"the"	"crest"	"of"	"the"	"surrounding"	"hills"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"the"	"bulge"	"∅"	"downward"	"∅_the"	"the_bulge"	"bulge_downward"	"∅_∅_the"	"∅_the_bulge"	"the_bulge_downward"	"bulge_downward_and"	"ε"	"ε"	"DT"	"NN"	"VB"	"RB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cloud"	"bulge"	"downward"	"and"	"burst"	"suddenly"	"into"	"a"	"great"	"black"	"funnel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"the"	"lift"	"november"	"enough"	"november_the"	"the_lift"	"lift_enough"	"in_november_the"	"november_the_lift"	"the_lift_enough"	"lift_enough_to"	"IN"	"NN"	"DT"	"NN"	"VB"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"early"	"november"	"the"	"cloud"	"lift"	"enough"	"to"	"carry_out"	"the"	"assigned"	"mission"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"the"	"were"	"see"	"drop_down"	"see_the"	"the_were"	"were_drop_down"	"he_see_the"	"see_the_were"	"the_were_drop_down"	"were_drop_down_again"	"PRP"	"VB"	"DT"	"NN"	"VBD"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"mission"	"be"	"the"	"last"	"to"	"leave"	"and"	"as"	"circle"	"the"	"ship"	"off"	"location"	"he"	"see"	"the"	"cloud"	"were"	"drop_down"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"the"	"go_by"	"watch"	","	"watch_the"	"the_go_by"	"go_by_,"	"and_watch_the"	"watch_the_go_by"	"the_go_by_,"	"go_by_,_be"	"CC"	"VB"	"DT"	"NN"	"VB"	"ε"	"VB"	"perhaps"	"the"	"reason"	"why"	"he"	"could"	"n't"	"find"	"time"	"to"	"do"	"any"	"of"	"the"	"thing"	"he"	"had"	"plan"	"to"	"do"	"after"	"retirement"	"read"	"roam"	"garden"	"lie"	"on"	"his"	"and"	"watch"	"the"	"go_by"	"be"	"because"	"he"	"did"	"n't"	"want"	"to"	"do"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"a"	"and"	"behind"	"dazzle"	"behind_a"	"a_and"	"and_dazzle"	"from_behind_a"	"behind_a_and"	"a_and_dazzle"	"and_dazzle_the"	"VB"	"IN"	"DT"	"NN"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"a"	"round"	"of"	"target_practice"	"sun"	"come"	"from"	"behind"	"a"	"cloud"	"and"	"dazzle"	"the"	"marksman"	"lower"	"his"	"chance"	"of"	"a"	"bull's_eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"the"	","	"at"	"dilute"	"at_the"	"the_,"	",_dilute"	"point_at_the"	"at_the_,"	"the_,_dilute"	",_dilute_the"	"VB"	"VB"	"DT"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"above"	"the"	"glowing"	"ivory"	"baton"	"their"	"searchlight"	"point"	"at"	"the"	"cloud"	"dilute"	"the"	"valley"	"dark"	"to"	"a"	"pallid"	"light"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:01::"	"or"	"of"	"aerosol"	"agent"	"aerosol_or"	"or_of"	"of_agent"	"an_aerosol_or"	"aerosol_or_of"	"or_of_agent"	"of_agent_over"	"DT"	"NN"	"CC"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"important"	"operational"	"procedure"	"in"	"bw"	"for"	"enemy"	"would"	"be"	"to"	"create"	"an"	"aerosol"	"or"	"cloud"	"of"	"agent"	"over"	"the"	"target_area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:01::"	"of"	"of"	"behavior"	"small"	"behavior_of"	"of_of"	"of_small"	"the_behavior_of"	"behavior_of_of"	"of_of_small"	"of_small_particle"	"DT"	"NN"	"IN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"something"	"of"	"behavior"	"of"	"cloud"	"of"	"small"	"particle"	"can"	"be"	"illustrate"	"by"	"the"	"following"	"field_trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
