"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"2:30:00::"	"all"	","	"it"	"tim"	"it_all"	"all_,"	",_tim"	"got_it_all"	"it_all_,"	"all_,_tim"	",_tim_."	"VB"	"VB"	"DT"	"VB"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shayne"	"say"	"happily"	"i"	"it"	"all"	"work_out"	"tim"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"a"	"attempt"	"compromise"	"attempt_to"	"to_a"	"a_compromise"	"rayburn_attempt_to"	"attempt_to_a"	"to_a_compromise"	"a_compromise_:"	"NNP"	"VB"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a"	"tense"	"closed-door"	"session"	"judge_smith"	"rayburn"	"attempt"	"to"	"work_out"	"a"	"compromise"	"to"	"add"	"three"	"new"	"members"	"to"	"the"	"rules_committee"	"two"	"democrats"	"include"	"one"	"southerner"	"and"	"one"	"republican"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"n't"	","	"does"	"the"	"does_n't"	"n't_,"	",_the"	"this_does_n't"	"does_n't_,"	"n't_,_the"	",_the_three"	"DT"	"VBZ"	"RB"	"VB"	"ε"	"DT"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"add"	"if"	"does"	"n't"	"work_out"	"the"	"three"	"of"	"you"	"barricade"	"yourself"	"in"	"the"	"house"	"and"	"talk_terms"	"with"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"by"	"program"	"white"	"program_,"	",_by"	"by_white"	"this_program_,"	"program_,_by"	",_by_white"	"by_white_and"	"DT"	"NN"	"ε"	"VB"	"IN"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"successful"	"has"	"this"	"program"	"work_out"	"by"	"white"	"and"	"negro"	"civic_leaders"	"that"	"further"	"extensions"	"are"	"expect"	"in"	"the"	"next"	"few"	"months"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"has"	"an"	"denverite"	"entire"	"denverite_has"	"has_an"	"an_entire"	"the_denverite_has"	"denverite_has_an"	"has_an_entire"	"an_entire_program"	"DT"	"NNP"	"VBZ"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"has"	"work_out"	"an"	"entire"	"program"	"to"	"achieve"	"this"	"use"	"the"	"facilities"	"of"	"the"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"also"	"logistics"	"we"	"for"	"we_also"	"also_logistics"	"logistics_for"	"∅_we_also"	"we_also_logistics"	"also_logistics_for"	"logistics_for_sunday"	"ε"	"PRP"	"RB"	"VB"	"NNS"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"also"	"work_out"	"logistics"	"for"	"sunday"	"afternoon"	"swimmers"	"who"	"arrive"	"two"	"hours"	"early"	"with"	"their"	"weekend"	"guests"	"while"	"we"	"are"	"still"	"enjoy"	"an"	"alfresco"	"lunch"	"en_famille"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"well"	"program"	"a"	"be"	"a_well"	"well_program"	"program_be"	"before_a_well"	"a_well_program"	"well_program_be"	"program_be_available"	"IN"	"DT"	"RB"	"VB"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"more"	"primitive"	"areas"	"where"	"the"	"capacity"	"to"	"absorb"	"and"	"utilize"	"external"	"assistance"	"be"	"limited"	"some"	"activities"	"may"	"be"	"of"	"such"	"obvious"	"priority"	"that"	"may"	"decide"	"to"	"support"	"them"	"before"	"a"	"well"	"work_out"	"program"	"be"	"available"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::;2:42:00::"	"not"	"."	"did"	"∅"	"did_not"	"not_."	"._∅"	"just_did_not"	"did_not_."	"not_._∅"	"._∅_∅"	"RB"	"VBD"	"RB"	"VB"	"ε"	"ε"	"ε"	"offer"	"as"	"a"	"solution"	"and"	"the"	"procedure"	"work"	"as_follows"	"all"	"candidate"	"were"	"invite"	"to"	"a"	"hotel"	"conference_room"	"where"	"the"	"president"	"explain"	"the"	"difficulty"	"he"	"have"	"and"	"how"	"unnecessary"	"it"	"seem"	"to"	"him"	"to"	"hire"	"people"	"just"	"did"	"not"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	","	"be"	"person"	"be_to"	"to_,"	",_person"	"still_be_to"	"be_to_,"	"to_,_person"	",_person_say"	"RB"	"VB"	"TO"	"VB"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"details"	"still"	"be"	"to"	"work_out"	"person"	"say"	"he"	"expect"	"to"	"tell"	"home_folks"	"in"	"dallas"	"why"	"he"	"think"	"person"	"proposed"	"constitutional"	"amendment"	"should"	"be"	"reject"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"a"	"yet"	"living_arrangement"	"yet_to"	"to_a"	"a_living_arrangement"	"has_yet_to"	"yet_to_a"	"to_a_living_arrangement"	"a_living_arrangement_with"	"VBZ"	"RB"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"television"	"yet"	"to"	"work_out"	"a"	"living_arrangement"	"with"	"jazz"	"which"	"come"	"to"	"the"	"medium"	"more"	"as"	"an"	"uneasy"	"guest"	"than"	"as"	"a"	"relaxed"	"member"	"of"	"the"	"family"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
