"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"
"4:02:00::"	"∅"	","	"∅"	"then"	"∅_∅"	"∅_,"	",_then"	"∅_∅_∅"	"∅_∅_,"	"∅_,_then"	",_then_-"	"ε"	"ε"	"ε"	"RB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"for"	"how"	"many"	"year"	"or"	"how"	"few"	"does"	"not"	"matter"	"my"	"world"	"be"	"bound"	"round"	"by"	"fence"	"when"	"i"	"be"	"too"	"small"	"to"	"reach"	"the"	"apple_tree"	"bough"	"to"	"twist"	"my"	"knee"	"over"	"it"	"and"	"pull_up"	"myself"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	"person"	"∅"	"think"	"∅_∅"	"∅_person"	"person_think"	"∅_∅_∅"	"∅_∅_person"	"∅_person_think"	"person_think_he"	"ε"	"ε"	"ε"	"RB"	"NNP"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"think"	"he"	"had"	"spot"	"a"	"tank"	"and"	"go_down"	"to"	"investigate"	"while"	"person"	"cover"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"this"	"before"	"like"	"-"	"like_this"	"this_before"	"before_-"	"him_like_this"	"like_this_before"	"this_before_-"	"before_-_more_than"	"PRP"	"IN"	"DT"	"RB"	"IN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"him"	"like"	"this"	"once"	"before"	"more_than"	"once"	"actually"	"but"	"on"	"one"	"particularly"	"memorable"	"occasion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"more_than"	","	"-"	"actually"	"-_more_than"	"more_than_,"	",_actually"	"before_-_more_than"	"-_more_than_,"	"more_than_,_actually"	",_actually_,"	"IN"	"ε"	"RB"	"RB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"see"	"him"	"this"	"once"	"before"	"more_than"	"once"	"actually"	"but"	"on"	"one"	"particularly"	"memorable"	"occasion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"∅"	"the"	"∅"	"full"	"∅_∅"	"∅_the"	"the_full"	"∅_∅_∅"	"∅_∅_the"	"∅_the_full"	"the_full_extent"	"ε"	"ε"	"ε"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"full"	"extent"	"of_this"	"russian"	"military"	"penetration"	"of"	"cuba"	"be"	"clear"	"person"	"announce"	"we"	"would"	"take"	"whatever"	"action"	"be"	"appropriate"	"to"	"prevent"	"this"	"even"	"if"	"we"	"have"	"to"	"go"	"it"	"alone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"∅"	"these"	"∅"	"condition"	"∅_∅"	"∅_these"	"these_condition"	"∅_∅_∅"	"∅_∅_these"	"∅_these_condition"	"these_condition_of"	"ε"	"ε"	"ε"	"RB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"condition"	"of"	"international_law"	"are"	"meet"	"country"	"that"	"try"	"to"	"run"	"to"	"blockade"	"do"	"so"	"at"	"their"	"own"	"risk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"be"	"an"	"latin_america"	"area"	"latin_america_be"	"be_an"	"an_area"	"∅_latin_america_be"	"latin_america_be_an"	"be_an_area"	"an_area_as"	"ε"	"NN"	"VB"	"RB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"once"	"an"	"area"	"as"	"safe"	"for"	"the"	"west"	"as"	"nebraska"	"be"	"for"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"action"	"universally"	"an"	"condemn"	"an_action"	"action_universally"	"universally_condemn"	"∅_an_action"	"an_action_universally"	"action_universally_condemn"	"universally_condemn_by"	"ε"	"DT"	"NN"	"RB"	"RB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"action"	"once"	"universally"	"condemn"	"by"	"all"	"christian_church"	"and"	"forbid"	"by"	"the"	"civil_law"	"is"	"now"	"not_only"	"approve"	"by"	"the"	"overwhelming"	"majority"	"of"	"protestant_denomination"	"but"	"also"	"deem"	"at"	"certain"	"time"	"to"	"be"	"a"	"religious"	"duty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"than"	","	"more"	"have"	"more_than"	"than_,"	",_have"	"say_more_than"	"more_than_,"	"than_,_have"	",_have_ever"	"VB"	"JJ"	"RB"	"RB"	"ε"	"VBP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"prepared"	"to"	"be"	"helpful"	"in"	"what"	"he"	"refer"	"to"	"with"	"fastidious"	"as"	"this"	"unfortunate"	"person"	"affair"	"which"	"would"	"not"	"he"	"say"	"more"	"than"	"once"	"have"	"ever"	"come_about"	"if"	"person"	"had"	"only"	"see"	"fit"	"to"	"consult"	"person"	"or"	"him"	"about"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"not"	","	"∅"	"in"	"∅_not"	"not_,"	",_in"	"∅_∅_not"	"∅_not_,"	"not_,_in"	",_in_the"	"ε"	"ε"	"RB"	"RB"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"in"	"the"	"time"	"that"	"he"	"had"	"know"	"her"	"had"	"he"	"ever"	"consider"	"the"	"not"	"once"	"not"	"for"	"one"	"one-thousandth"	"of"	"a"	"second"	"of"	"her"	"infidelity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
