"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"2:42:00::"	"regulations"	"so_much"	"and"	"throughout"	"and_regulations"	"regulations_so_much"	"so_much_throughout"	"building_codes_and_regulations"	"and_regulations_so_much"	"regulations_so_much_throughout"	"so_much_throughout_the"	"NN"	"CC"	"NNS"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"due_to"	"the"	"fact"	"building_codes"	"and"	"regulations"	"vary"	"so_much"	"throughout"	"the"	"country"	"the"	"first"	"thing"	"to"	"do"	"be"	"to"	"find_out"	"what"	"if"	"any"	"they"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"boating"	"accord"	"on"	"to"	"on_boating"	"boating_accord"	"accord_to"	"laws_on_boating"	"on_boating_accord"	"boating_accord_to"	"accord_to_the"	"NNS"	"IN"	"NN"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"laws"	"boating"	"vary"	"accord"	"to"	"the"	"state"	"in_which"	"the"	"craft"	"is"	"to"	"be"	"use"	"and"	"accord"	"to"	"its"	"horsepower"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"will"	"greatly"	"effort"	"from"	"effort_will"	"will_greatly"	"greatly_from"	"in_this_effort_will"	"effort_will_greatly"	"will_greatly_from"	"greatly_from_country"	"RB"	"NN"	"MD"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"long"	"it"	"will"	"take"	"show"	"substantial"	"success"	"in_this"	"effort"	"will"	"vary"	"greatly"	"from"	"country"	"to"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"circumstances"	"widely"	"personal"	"among"	"personal_circumstances"	"circumstances_widely"	"widely_among"	"and_personal_circumstances"	"personal_circumstances_widely"	"circumstances_widely_among"	"widely_among_those"	"CC"	"JJ"	"NNS"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"economic"	"personal"	"circumstances"	"vary"	"widely"	"among"	"those"	"now"	"choose"	"apartments"	"leo_j._pantas"	"vice_president"	"of"	"a"	"hardware"	"manufacturing"	"company"	"point_out"	"recently"	"that"	"many"	"apartment"	"seekers"	"seem"	"to"	"have"	"one"	"characteristic"	"in"	"common"	"a"	"desire"	"for"	"greater"	"convenience"	"and"	"freedom"	"from"	"the"	"problems"	"involve"	"in"	"maintain"	"a"	"house"	
"2:30:01::"	"questions"	"partly"	"my"	"according"	"my_questions"	"questions_partly"	"partly_according"	"to_my_questions"	"my_questions_partly"	"questions_partly_according"	"partly_according_to_a_man"	"TO"	"PRP$"	"NNS"	"VB"	"RB"	"JJ"	"RB"	"policy"	"makers"	"generals"	"physicists"	"psychologists"	"and_others"	"charge"	"with"	"control"	"the"	"actions"	"of"	"the"	"button"	"pushers"	"and"	"their"	"hardware"	"the"	"answers"	"to"	"my"	"questions"	"partly"	"according"	"to_a_man"	"flair"	"for"	"what"	"the"	"professionals"	"in_this"	"field"	"call"	"scenarios"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"demand"	"inversely"	"quantity"	"with"	"quantity_demand"	"demand_inversely"	"inversely_with"	"make_quantity_demand"	"quantity_demand_inversely"	"demand_inversely_with"	"inversely_with_the"	"VB"	"NN"	"VB"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"form"	"of"	"the"	"industry"	"demand"	"be"	"one"	"which"	"make"	"quantity"	"demand"	"vary"	"inversely"	"with"	"the"	"product"	"price"	"and"	"vary"	"directly"	"with"	"the"	"level"	"of"	"gnp"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"and"	"directly"	","	"with"	",_and"	"and_directly"	"directly_with"	"price_,_and"	",_and_directly"	"and_directly_with"	"directly_with_the"	"NN"	"ε"	"CC"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"form"	"of"	"the"	"industry"	"demand"	"function"	"be"	"one"	"which"	"make"	"demand"	"vary"	"inversely"	"with"	"the"	"product"	"price"	"and"	"vary"	"directly"	"with"	"the"	"level"	"of"	"gnp"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:04::"	"was"	"by"	"intensity"	"vary"	"intensity_was"	"was_by"	"by_vary"	"light_intensity_was"	"intensity_was_by"	"was_by_vary"	"by_vary_the"	"NN"	"NN"	"VBD"	"VB"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"series"	"the"	"relative"	"intensity"	"was"	"vary"	"by"	"vary"	"the"	"distance"	"of"	"the"	"lamp"	"from"	"the"	"reaction"	"cell"	"over"	"the"	"range"	"from"	"to"	"cm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:04::"	"by"	"the"	"vary"	"distance"	"vary_by"	"by_the"	"the_distance"	"was_vary_by"	"vary_by_the"	"by_the_distance"	"the_distance_of"	"VBD"	"VB"	"IN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"series"	"the"	"relative"	"light"	"was"	"vary"	"by"	"vary"	"the"	"distance"	"of"	"the"	"lamp"	"from"	"the"	"reaction"	"cell"	"over"	"the"	"range"	"from"	"to"	"cm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"snake"	"greatly"	"on"	"in"	"on_snake"	"snake_greatly"	"greatly_in"	"information_on_snake"	"on_snake_greatly"	"snake_greatly_in"	"greatly_in_size"	"NN"	"IN"	"NN"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"following"	"on"	"snake"	"vary"	"greatly"	"in"	"size"	"but"	"all"	"with"	"less_than"	"a"	"foot"	"maximum"	"show"	"when"	"consider"	"with"	"the"	"foregoing"	"that"	"there"	"be"	"probably"	"no"	"correlation"	"between"	"the"	"length"	"of"	"a"	"snake"	"and"	"the"	"time"	"require"	"for"	"it"	"to"	"mature"	"0"	"0"	"0"	"0"	"0"	
