"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:39:00::"	"to"	"the"	"help"	"contours"	"help_to"	"to_the"	"the_contours"	"may_help_to"	"help_to_the"	"to_the_contours"	"the_contours_of"	"MD"	"VB"	"TO"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reference_to"	"two"	"concepts"	"nationalism"	"and"	"may"	"help"	"to"	"reveal"	"the"	"contours"	"of"	"the"	"new"	"principle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"period"	"the"	"twenty-year"	"appalling"	"twenty-year_period"	"period_the"	"the_appalling"	"a_twenty-year_period"	"twenty-year_period_the"	"period_the_appalling"	"the_appalling_fact"	"DT"	"JJ"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"study"	"of"	"major"	"denominational"	"statistics"	"over"	"a"	"twenty-year"	"period"	"reveal"	"the"	"appalling"	"fact"	"that"	"nearly"	"per_cent"	"of"	"those"	"who"	"join"	"the"	"church"	"were"	"lose"	"to"	"the"	"church"	"within"	"seven"	"years"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"quickly"	"an"	"conversation"	"ethically"	"conversation_quickly"	"quickly_an"	"an_ethically"	"such_conversation_quickly"	"conversation_quickly_an"	"quickly_an_ethically"	"an_ethically_significant"	"JJ"	"NN"	"RB"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"quickly"	"reveal"	"an"	"ethically"	"significant"	"ambivalence"	"in"	"the"	"self-images"	"hold"	"by"	"most"	"realtors"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"always"	"a"	"has"	"staggering"	"has_always"	"always_a"	"a_staggering"	"talk_has_always"	"has_always_a"	"always_a_staggering"	"a_staggering_quantity"	"NN"	"VBZ"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"the"	"trained"	"ear"	"of"	"linguist"	"talk"	"has"	"always"	"reveal"	"a"	"staggering"	"quantity"	"of"	"information"	"about"	"the"	"talker"	"such"	"things"	"as"	"geographical"	"origin"	"and"	"or"	"history"	"socio-economic"	"identity"	"education"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"often"	"as_many"	"patient"	"as"	"patient_often"	"often_as_many"	"as_many_as"	"the_patient_often"	"patient_often_as_many"	"often_as_many_as"	"as_many_as_a"	"DT"	"NN"	"RB"	"VB"	"JJ"	"IN"	"DT"	"this"	"intensive"	"study"	"of"	"the"	"taped"	"interviews"	"by"	"teams"	"of"	"psychotherapists"	"and"	"linguists"	"laid_bare"	"the"	"surprising"	"fact"	"that"	"in"	"the"	"first"	"five"	"minutes"	"of"	"an"	"initial"	"interview"	"the"	"patient"	"often"	"as_many"	"as"	"a"	"dozen"	"times"	"just"	"what"	"wrong"	"with"	"him"	"to"	"spot"	"these"	"giveaways"	"the"	"therapist"	"must"	"know"	"either"	"intuitively"	"or"	"scientifically"	"how"	"to"	"listen"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"zen"	"many"	"modern"	"magical"	"modern_zen"	"zen_many"	"many_magical"	"at_modern_zen"	"modern_zen_many"	"zen_many_magical"	"many_magical_carryovers"	"VB"	"JJ"	"NNP"	"VB"	"JJ"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"closer"	"at"	"modern"	"zen"	"reveal"	"many"	"magical"	"carryovers"	"that"	"be"	"still"	"part"	"of"	"popular"	"zen"	"attitudes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"and"	"such"	"involve"	"complex"	"involve_and"	"and_such"	"such_complex"	"always_involve_and"	"involve_and_such"	"and_such_complex"	"such_complex_and"	"RB"	"VB"	"CC"	"VB"	"JJ"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attempts"	"at"	"always"	"involve"	"and"	"reveal"	"such"	"complex"	"and"	"multiple"	"individual"	"reactions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"automobiles"	"several"	"state"	"points"	"state_automobiles"	"automobiles_several"	"several_points"	"of_state_automobiles"	"state_automobiles_several"	"automobiles_several_points"	"several_points_for"	"IN"	"NN"	"NNS"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"survey"	"of"	"practices"	"and"	"or"	"policies"	"in"	"concerning"	"assignment"	"and"	"use"	"of"	"state"	"automobiles"	"reveal"	"several"	"points"	"for"	"comparison"	"with"	"rhode_island"	"practices"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"simultaneously"	"that"	"moment"	"in"	"moment_simultaneously"	"simultaneously_that"	"that_in"	"the_moment_simultaneously"	"moment_simultaneously_that"	"simultaneously_that_in"	"that_in_the"	"DT"	"NN"	"RB"	"VB"	"IN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"simultaneously"	"reveal"	"that"	"in"	"the"	"crisis"	"our"	"policy"	"run"	"counter"	"to_that"	"of"	"all"	"our"	"nato"	"allies"	"to"	"the"	"entire"	"western"	"community"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"that"	","	"y-teen_club"	",_and"	"and_that"	"that_y-teen_club"	"today_,_and"	",_and_that"	"and_that_y-teen_club"	"that_y-teen_club_past"	"NN"	"ε"	"CC"	"VB"	"IN"	"NNP"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"principal_clayton_w._pohly"	"say"	"he"	"would"	"allow"	"a"	"collection"	"between"	"classes"	"today"	"and"	"reveal"	"that"	"y-teen_club"	"past"	"surpluses"	"had"	"been"	"use"	"to"	"provide"	"a"	"private"	"hospital"	"nurse"	"monday"	"for"	"mrs._kowalski"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
