"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:41:01::"	"have"	"into"	"trio"	"oceania_lounge"	"trio_have"	"have_into"	"into_oceania_lounge"	"his_trio_have"	"trio_have_into"	"have_into_oceania_lounge"	"into_oceania_lounge_."	"PRP$"	"NN"	"VBP"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"andy_bartha"	"and"	"trio"	"have"	"book"	"into"	"oceania_lounge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"his"	"."	"in"	"∅"	"in_his"	"his_."	"._∅"	",_in_his"	"in_his_."	"his_._∅"	"._∅_∅"	"ε"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"be"	"not"	"to"	"deny"	"that"	"he"	"has"	"be"	"aware"	"of"	"tradition"	"of_course"	"that"	"he"	"is"	"steep"	"in"	"them"	"in_fact"	"or"	"that"	"he"	"has"	"deal"	"them"	"in"	"his"	"book"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	","	","	"dirt"	"magazine"	"dirt_,"	",_,"	",_magazine"	",_dirt_,"	"dirt_,_,"	",_,_magazine"	",_magazine_,"	"ε"	"NN"	"ε"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"there"	"be"	"time"	"after"	"the"	"warning"	"the"	"basement"	"shielding"	"could"	"improve"	"substantially"	"by"	"block"	"window"	"with"	"brick"	"dirt"	"book"	"magazine"	"or"	"heavy"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"his"	"as"	"of"	"the"	"of_his"	"his_as"	"as_the"	"one_of_his"	"of_his_as"	"his_as_the"	"as_the_revolt"	"NN"	"IN"	"PRP$"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"perceptive"	"journalist"	"person"	"has"	"phrase"	"it"	"the"	"title"	"of"	"one"	"of"	"his"	"book"	"as"	"the"	"revolt"	"of"	"the"	"moderate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"his"	"as"	"offer"	"an"	"offer_his"	"his_as"	"as_an"	"person_offer_his"	"offer_his_as"	"his_as_an"	"as_an_explanation"	"NNP"	"VB"	"PRP$"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"his"	"book"	"as"	"an"	"explanation"	"of"	"why"	"there"	"was"	"no"	"clue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"new"	"american_might_and_soviet_myth"	"his"	"."	"his_new"	"new_american_might_and_soviet_myth"	"american_might_and_soviet_myth_."	"in_his_new"	"his_new_american_might_and_soviet_myth"	"new_american_might_and_soviet_myth_."	"american_might_and_soviet_myth_._∅"	"IN"	"PRP$"	"JJ"	"NN"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"have"	"often"	"search"	"for"	"a"	"graphic"	"way"	"impress"	"our"	"superiority"	"on"	"those"	"americans"	"who"	"have"	"doubt"	"and"	"think"	"person"	"has"	"do"	"it"	"well"	"in"	"his"	"new"	"book"	"american_might_and_soviet_myth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"recent"	","	"the"	"release"	"the_recent"	"recent_,"	",_release"	"of_the_recent"	"the_recent_,"	"recent_,_release"	",_release_from"	"IN"	"DT"	"JJ"	"NN"	"ε"	"NNPS"	"NNPS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"sexual_relationship"	"does"	"not"	"exist"	"in"	"a"	"vacuum"	"declare"	"person"	"medical"	"of"	"the"	"group"	"and"	"author"	"of"	"the"	"recent"	"book"	"release"	"from"	"sexual"	"tensions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"causes_of_catastrophe"	"from"	"by"	"from_the"	"the_causes_of_catastrophe"	"causes_of_catastrophe_by"	"adapt_from_the"	"from_the_causes_of_catastrophe"	"the_causes_of_catastrophe_by"	"causes_of_catastrophe_by_person"	"VB"	"IN"	"DT"	"NN"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"following"	"discussion"	"of_this"	"has"	"been"	"adapt"	"from"	"the"	"book"	"causes_of_catastrophe"	"by"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of"	"about"	"a_lot"	"animal"	"a_lot_of"	"of_about"	"about_animal"	"be_a_lot_of"	"a_lot_of_about"	"of_about_animal"	"about_animal_,"	"VB"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ever"	"since"	"bambi"	"and"	"more"	"recently"	"born_free"	"have"	"be"	"a_lot"	"of"	"book"	"about"	"animal"	"but"	"few"	"compare"	"with"	"person"	"wry"	"understate"	"charming"	"and"	"immensely"	"readable"	"my_friend_,"	"the"	"quizzical_salamander"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"his"	","	"burn"	"too"	"burn_his"	"his_,"	",_too"	"should_burn_his"	"burn_his_,"	"his_,_too"	",_too_."	"VB"	"VB"	"PRP$"	"NN"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rousseau"	"be"	"so"	"persuasive"	"that"	"voltaire"	"almost"	"convinced"	"that"	"he"	"should"	"burn"	"his"	"book"	"too"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
