"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"4:02:00::"	"light"	"."	"another"	"∅"	"another_light"	"light_."	"._∅"	"in_another_light"	"another_light_."	"light_._∅"	"._∅_∅"	"IN"	"JJ"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"also"	"sir"	"two"	"article"	"which"	"were"	"consider"	"souvenir"	"must"	"be"	"regard"	"in"	"another"	"light"	"entirely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"unaware"	"more_often_than_not"	"."	"more_often_than_not_,"	",_unaware"	"unaware_."	",_more_often_than_not_,"	"more_often_than_not_,_unaware"	",_unaware_."	"unaware_._∅"	"ε"	"RB"	"ε"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"such"	"hidden"	"meaning"	"the"	"himself"	"be"	"more_often_than_not"	"entirely"	"unaware"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"almost"	"disappear"	"has"	"."	"has_almost"	"almost_disappear"	"disappear_."	"himself_has_almost"	"has_almost_disappear"	"almost_disappear_."	"disappear_._∅"	"PRP"	"VBZ"	"RB"	"RB"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"modern"	"english"	"whodunit"	"this"	"insinuation"	"of"	"latent"	"in"	"the"	"detective"	"himself"	"has"	"almost"	"entirely"	"disappear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"not"	"disregard"	"does"	"the"	"does_not"	"not_disregard"	"disregard_the"	"it_does_not"	"does_not_disregard"	"not_disregard_the"	"disregard_the_effect"	"PRP"	"VBZ"	"RB"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"assume"	"further"	"that"	"the"	"union"	"recognize"	"the"	"possibility"	"price"	"increase"	"may"	"offset"	"wage"	"rate"	"increase"	"and"	"it"	"does"	"not"	"entirely"	"disregard"	"the"	"effect"	"of"	"price"	"increase"	"arise"	"from"	"its"	"own"	"wage"	"increase"	"upon"	"the"	"real"	"wage"	"rate"	"0"	"0"	"0"	
"4:02:00::"	"be"	"a"	"action"	"matter"	"action_be"	"be_a"	"a_matter"	"detergent_action_be"	"action_be_a"	"be_a_matter"	"a_matter_of"	"NN"	"NN"	"VB"	"RB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cleaning"	"or"	"action"	"be"	"entirely"	"a"	"matter"	"of"	"surface"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"not"	","	"though"	"up_to_you"	"though_not"	"not_,"	",_up_to_you"	",_though_not"	"though_not_,"	"not_,_up_to_you"	",_up_to_you_."	"ε"	"IN"	"RB"	"RB"	"ε"	"PRP"	"ε"	"ambivalent"	"about"	"his"	"profession"	"if"	"he"	"has"	"practised"	"it"	"long"	"enough"	"but"	"there"	"be"	"still"	"moment"	"when"	"he"	"love"	"the"	"stage"	"and"	"all"	"those"	"unseen"	"people"	"out"	"there"	"who"	"might"	"cheer"	"you"	"or"	"boo"	"you"	"but"	"that"	"be"	"largely"	"though"	"not"	"entirely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"is"	"sporting"	"sustenance"	"."	"sustenance_is"	"is_sporting"	"sporting_."	"for_sustenance_is"	"sustenance_is_sporting"	"is_sporting_."	"sporting_._∅"	"IN"	"NN"	"VBZ"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"does"	"n't"	"think"	"that"	"pot"	"them"	"from"	"a"	"deck_chair"	"on"	"the"	"of"	"the"	"house"	"with"	"a"	"quart"	"glass"	"of"	"beer"	"for"	"sustenance"	"is"	"entirely"	"sporting"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"lie"	"in"	"may_not"	"the"	"may_not_lie"	"lie_in"	"in_the"	"it_may_not_lie"	"may_not_lie_in"	"lie_in_the"	"in_the_interior"	"PRP"	"VB"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"square"	"inscribed"	"in"	"a"	"curve"	"c"	"mean"	"a"	"square"	"with"	"four"	"corner"	"point"	"on"	"the"	"curve"	"though"	"it"	"may_not"	"lie"	"entirely"	"in"	"the"	"interior"	"of"	"c"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"an"	"happy"	"about"	"bodybuilder"	"about_an"	"an_happy"	"happy_bodybuilder"	"you_about_an"	"about_an_happy"	"an_happy_bodybuilder"	"happy_bodybuilder_who"	"PRP"	"IN"	"DT"	"RB"	"JJ"	"NN"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"therefore"	"it"	"a"	"genuine"	"pleasure"	"tell"	"you"	"about"	"an"	"entirely"	"happy"	"bodybuilder"	"who"	"has"	"never"	"had"	"to"	"train"	"in_secret"	"has"	"never"	"hear"	"one"	"unkind"	"word"	"from"	"his"	"parent"	"and"	"never"	"has"	"been"	"taunt"	"by"	"his"	"schoolmate"	
"4:02:00::"	"not"	"silent"	"be"	","	"be_not"	"not_silent"	"silent_,"	"person_be_not"	"be_not_silent"	"not_silent_,"	"silent_,_or"	"NNP"	"VB"	"RB"	"RB"	"JJ"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"not"	"entirely"	"silent"	"or"	"openly"	"rude"	"unless"	"ask"	"person"	"to"	"move"	"to"	"another"	"chair"	"and"	"place"	"himself"	"in"	"the"	"fauteuil"	"that"	"creak"	"so"	"alarmingly"	"be"	"an"	"act"	"of"	"rudeness"	"0"	"0"	
