"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"
"2:30:01::"	"thereby"	"duplication"	","	"of"	",_thereby"	"thereby_duplication"	"duplication_of"	"police_department_,_thereby"	",_thereby_duplication"	"thereby_duplication_of"	"duplication_of_facilities"	"NN"	"ε"	"RB"	"VB"	"NN"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"east_greenwich"	"police_department"	"utilize"	"the"	"radio"	"facilities"	"of"	"the"	"warwick"	"police_department"	"thereby"	"eliminate"	"duplication"	"of"	"facilities"	"and"	"ensure"	"police"	"coordination"	"in"	"the"	"cowessett-east_greenwich-potowomut"	"area"	"of"	"the"	"two"	"communities"	"0"	
"2:30:01::"	"of"	"potential"	"danger"	"candidates"	"danger_of"	"of_potential"	"potential_candidates"	"the_danger_of"	"danger_of_potential"	"of_potential_candidates"	"potential_candidates_."	"DT"	"NN"	"IN"	"VB"	"JJ"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"georgia_state"	"chamber_of_commerce"	"try"	"guard"	"against"	"the"	"danger"	"of"	"eliminate"	"potential"	"candidates"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"many"	"in_concert"	"costly"	"in_concert_to"	"to_many"	"many_costly"	"meet_in_concert_to"	"in_concert_to_many"	"to_many_costly"	"many_costly_features"	"VB"	"RB"	"TO"	"VB"	"JJ"	"JJ"	"NNS"	"0"	"0"	"paradoxically"	"the"	"same"	"week"	"in_which"	"senator_mcclellan"	"was"	"attempt"	"to"	"extend"	"the"	"anti-trust"	"act"	"to"	"labor"	"in"	"transportation"	"the"	"civil_aeronautics_board"	"was"	"assure"	"the"	"airlines"	"that"	"if"	"meet"	"in_concert"	"eliminate"	"many"	"costly"	"features"	"of"	"air_travel"	"the"	"action"	"would"	"not"	"be"	"deem"	"a"	"violation"	"of"	"the"	"anti-trust"	"act"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"and"	"drainage"	"curves"	"problems"	"curves_and"	"and_drainage"	"drainage_problems"	"present_curves_and"	"curves_and_drainage"	"and_drainage_problems"	"drainage_problems_."	"JJ"	"NNS"	"CC"	"VB"	"NN"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"widen"	"it"	"as"	"minimize"	"the"	"present"	"curves"	"and"	"eliminate"	"drainage"	"problems"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"for"	"a"	"reason"	"song"	"reason_for"	"for_a"	"a_song"	"less_reason_for"	"reason_for_a"	"for_a_song"	"a_song_of"	"JJR"	"NN"	"IN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"casually"	"constructed"	"musicals"	"of"	"the"	"nineteen"	"twenties"	"and"	"nineteen"	"there"	"would"	"seem"	"to"	"have"	"be"	"less"	"reason"	"for"	"eliminate"	"a"	"song"	"of"	"merit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"very_nearly"	"hitler"	"which"	"in"	"which_very_nearly"	"very_nearly_hitler"	"hitler_in"	",_which_very_nearly"	"which_very_nearly_hitler"	"very_nearly_hitler_in"	"hitler_in_1944"	"ε"	"WDT"	"RB"	"VB"	"NNP"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"recognize"	"that"	"there"	"could"	"have"	"be"	"no"	"effective"	"negotiated"	"peace"	"with"	"hitler"	"he"	"point_out"	"the"	"shocking"	"failure"	"to"	"give"	"support"	"to"	"the"	"anti-nazi"	"which"	"very_nearly"	"eliminate"	"hitler"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"fiscal_year"	"interest"	"uniform"	"charges"	"uniform_fiscal_year"	"fiscal_year_interest"	"interest_charges"	"the_uniform_fiscal_year"	"uniform_fiscal_year_interest"	"fiscal_year_interest_charges"	"interest_charges_on"	"DT"	"NN"	"NN"	"VB"	"NN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fiscal_year"	"eliminate"	"interest"	"charges"	"on"	"money"	"borrow"	"in"	"the"	"form"	"of"	"tax"	"anticipation"	"notes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"one"	"five"	"congressional"	"five_to"	"to_one"	"one_congressional"	"to_five_to"	"five_to_one"	"to_one_congressional"	"one_congressional_seat"	"TO"	"CD"	"TO"	"VB"	"CD"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"issue"	"which"	"may"	"make"	"it"	"necessary"	"to"	"have"	"a"	"session"	"be"	"the"	"highly_sensitive"	"problem"	"of"	"cut"	"the"	"state"	"congressional_districts"	"six"	"to"	"five"	"to"	"eliminate"	"one"	"congressional"	"seat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"or"	"the"	"reduce"	"vulnerability"	"reduce_or"	"or_the"	"the_vulnerability"	"to_reduce_or"	"reduce_or_the"	"or_the_vulnerability"	"the_vulnerability_of"	"TO"	"VB"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"four"	"rather"	"ways"	"to"	"reduce"	"or"	"eliminate"	"the"	"vulnerability"	"of"	"aircraft"	"on_the_ground"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"would"	"traffic"	"that"	"hazards"	"that_would"	"would_traffic"	"traffic_hazards"	"plan_that_would"	"that_would_traffic"	"would_traffic_hazards"	"traffic_hazards_for"	"NN"	"WDT"	"MD"	"VB"	"NN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"also"	"approve"	"novel"	"plan"	"that"	"would"	"eliminate"	"traffic"	"hazards"	"for"	"pedestrians"	"in"	"the"	"project"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
