"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"1:04:00::"	"'s"	","	"deputy"	"but"	"deputy_'s"	"'s_,"	",_but"	"the_deputy_'s"	"deputy_'s_,"	"'s_,_but"	",_but_person"	"DT"	"NN"	"POS"	"NN"	"ε"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"the"	"deputy"	"game"	"but"	"person"	"had"	"go"	"too"	"far"	"to"	"throw_in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"start"	"∅"	"again"	"∅_the"	"the_start"	"start_again"	"∅_∅_the"	"∅_the_start"	"the_start_again"	"start_again_and"	"ε"	"ε"	"DT"	"NN"	"VB"	"RB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"game"	"start"	"again"	"and"	"in"	"the"	"eighth"	"inning"	"person"	"come"	"up"	"to"	"bat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	","	"after"	"person"	"after_the"	"the_,"	",_person"	"∅_after_the"	"after_the_,"	"the_,_person"	",_person_was"	"ε"	"IN"	"DT"	"NN"	"ε"	"NNP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"game"	"person"	"was"	"take_off"	"his"	"sweatshirt"	"in"	"the"	"dressing_room"	"when"	"person"	"come_in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"and"	"management"	"use"	"practice"	"use_and"	"and_management"	"management_practice"	"resource_use_and"	"use_and_management"	"and_management_practice"	"management_practice_,"	"NN"	"NN"	"CC"	"NN"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"due_to"	"resource"	"use"	"and"	"game"	"management"	"practice"	"there"	"be"	"still"	"game"	"to"	"shoot"	"even"	"with"	"the"	"ever"	"expanding"	"encroachment"	"on"	"land"	"and"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"still"	"to"	"be"	"shoot"	"be_still"	"still_to"	"to_shoot"	"there_be_still"	"be_still_to"	"still_to_shoot"	"to_shoot_,"	"EX"	"VB"	"RB"	"NN"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"due_to"	"modern"	"resource"	"use"	"and"	"management"	"practice"	"there"	"be"	"still"	"game"	"to"	"shoot"	"even"	"with"	"the"	"ever"	"expanding"	"encroachment"	"on"	"land"	"and"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"upland"	"area"	"controlled"	"during"	"controlled_upland"	"upland_area"	"area_during"	"group_controlled_upland"	"controlled_upland_area"	"upland_area_during"	"area_during_the"	"NNP"	"JJ"	"JJ"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"close"	"to"	"two"	"million"	"game_bird"	"were"	"harvest"	"on"	"commercial"	"private"	"shooting_preserve"	"and"	"on"	"group"	"controlled"	"upland"	"game"	"area"	"during"	"the"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"unlimited"	"bag"	"with"	"on"	"with_unlimited"	"unlimited_bag"	"bag_on"	"hunting_with_unlimited"	"with_unlimited_bag"	"unlimited_bag_on"	"bag_on_shooting_preserve"	"NN"	"IN"	"JJ"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"would"	"you"	"like"	"to"	"organize"	"teen"	"hunter"	"club"	"shooting"	"program"	"and"	"information"	"on"	"season"	"include"	"six"	"month"	"of"	"hunting"	"with"	"unlimited"	"game"	"bag"	"on"	"shooting_preserve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	","	","	"bedding"	"fishing_tackle"	"bedding_,"	",_,"	",_fishing_tackle"	",_bedding_,"	"bedding_,_,"	",_,_fishing_tackle"	",_fishing_tackle_,"	"ε"	"NN"	"ε"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"move"	"around"	"camp"	"we"	"see"	"all"	"kind"	"of"	"stove"	"lantern"	"cooler"	"bedding"	"game"	"fishing_tackle"	"windbreak"	"and"	"sunshade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"like"	"."	"you"	"∅"	"you_like"	"like_."	"._∅"	"as_long_as_you_like"	"you_like_."	"like_._∅"	"._∅_∅"	"IN"	"PRP"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"really"	"quite"	"as_long_as"	"you"	"like"	"game"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"five"	"on"	"the"	"the"	"the_five"	"five_on"	"on_the"	"in_the_five"	"the_five_on"	"five_on_the"	"on_the_current"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"eager"	"to"	"end"	"a"	"pitching"	"slump"	"has"	"bring"	"four"	"loss"	"in"	"the"	"five"	"game"	"on"	"the"	"current"	"home"	"stand"	"move"	"person"	"to"	"the"	"wednesday"	"night"	"starting"	"assignment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
