"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"
"2:38:00::"	"∅"	"or"	"∅"	"see"	"∅_∅"	"∅_or"	"or_see"	"∅_∅_∅"	"∅_∅_or"	"∅_or_see"	"or_see_the"	"ε"	"ε"	"ε"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"or"	"see"	"the"	"hostages"	"kill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"fogg"	"for"	","	"concord"	",_fogg"	"fogg_for"	"for_concord"	"snowstorm_,_fogg"	",_fogg_for"	"fogg_for_concord"	"for_concord_from"	"NN"	"ε"	"NNP"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"afternoon"	"during"	"a"	"powdery"	"snowstorm"	"fogg"	"take_off"	"for"	"concord"	"from"	"the"	"st._john"	"field"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	","	","	"obviously"	",_and"	"and_,"	",_obviously"	"mutter_,_and"	",_and_,"	"and_,_obviously"	",_obviously_feel"	"VB"	"ε"	"CC"	"VB"	"ε"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"uh"	"sorry"	"he"	"mutter"	"take_off"	"obviously"	"feel"	"like"	"a"	"fool"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"is"	"tomorrow"	"]"	"on"	"]_is"	"is_tomorrow"	"tomorrow_on"	"mrs._maurice_p._geraghty_]_is"	"]_is_tomorrow"	"is_tomorrow_on"	"tomorrow_on_a"	"NNP"	"ε"	"VBZ"	"VB"	"NN"	"IN"	"DT"	"huzzahs"	"for"	"the"	"artistic"	"success"	"of"	"the"	"presbyterian-st._luke"	"fashion"	"show"	"still"	"ring"	"in"	"her"	"ears"	"its"	"director"	"helen_tieken_geraghty"	"mrs._maurice_p._geraghty"	"is"	"take_off"	"on"	"a"	"day"	"world"	"trip"	"which"	"should"	"earn"	"her"	"even"	"greater"	"acclaim"	"as"	"director"	"of"	"entertainment"	"for"	"next"	"summer"	"international_trade"	"fair"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"can"	"from"	"which"	"small"	"which_can"	"can_from"	"from_small"	"aircraft_which_can"	"which_can_from"	"can_from_small"	"from_small_("	"NN"	"WDT"	"MD"	"VB"	"IN"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"build"	"long-range"	"which"	"can"	"take_off"	"from"	"small"	"foot"	"airfields"	"with"	"runways"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"from"	"capability"	"3000"	"capability_to"	"to_from"	"from_3000"	"the_capability_to"	"capability_to_from"	"to_from_3000"	"from_3000_-"	"DT"	"NN"	"TO"	"VB"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"large"	"long-range"	"bombers"	"can"	"be"	"develop"	"would"	"have"	"the"	"capability"	"to"	"take_off"	"from"	"foot"	"runways"	"but"	"they"	"would"	"require"	"more"	"powerful"	"engines"	"than"	"we"	"have"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"-"	"his"	"smile"	"hat"	"smile_-"	"-_his"	"his_hat"	"nice_smile_-"	"smile_-_his"	"-_his_hat"	"his_hat_most"	"JJ"	"NN"	"ε"	"VB"	"PRP$"	"NN"	"JJS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"roy"	"smile"	"he"	"did"	"a"	"nice"	"smile"	"take_off"	"his"	"hat"	"most"	"politely"	"tell"	"her"	"to"	"hop"	"in"	"and"	"he"	"give"	"her"	"a"	"lift"	"to"	"quinzaine"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"will"	"the"	"weekend"	"wraps"	"weekend_will"	"will_the"	"the_wraps"	"this_weekend_will"	"weekend_will_the"	"will_the_wraps"	"the_wraps_off"	"DT"	"NN"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"california_democrats"	"weekend"	"will"	"take_off"	"the"	"wraps"	"off"	"a"	"model"	"statewide"	"campaign"	"vehicle"	"which"	"they"	"have"	"been"	"quietly"	"assemble"	"in"	"a_thousand"	"district"	"headquarters"	"party"	"clubrooms"	"and"	"workers"	"backyards"	
"2:38:00::"	"``"	"at"	"suddenly"	"high"	"suddenly_``"	"``_at"	"at_high"	"it_suddenly_``"	"suddenly_``_at"	"``_at_high"	"at_high_speed"	"PRP"	"RB"	"ε"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"kimmell"	"order"	"the"	"driver"	"to"	"back_up"	"watch"	"children"	"safely"	"across"	"and"	"was"	"approach"	"car"	"when"	"it"	"suddenly"	"take_off"	"at"	"high"	"speed"	"he"	"say"	"narrowly"	"miss"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"."	"runway"	"∅"	"runway_and"	"and_."	"._∅"	"a_runway_and"	"runway_and_."	"and_._∅"	"._∅_∅"	"DT"	"NN"	"CC"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"world_war"	"german"	"bomber"	"roll"	"a"	"runway"	"and"	"take_off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
