"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"4:02:04::"	"she"	"go_to"	"if"	"church"	"if_she"	"she_go_to"	"go_to_church"	"wonder_if_she"	"if_she_go_to"	"she_go_to_church"	"go_to_church_."	"VB"	"IN"	"PRP"	"RB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"think"	"i"	"sleep_in"	"this"	"morning"	"she"	"say"	"drowsily"	"and"	"as"	"she"	"against"	"him"	"he"	"wonder"	"if"	"she"	"ever"	"go_to"	"church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"poem"	"written"	"finest"	"in"	"finest_poem"	"poem_written"	"written_in"	"the_finest_poem"	"finest_poem_written"	"poem_written_in"	"written_in_the"	"DT"	"JJ"	"NN"	"RB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"the"	"long"	"piece"	"of"	"the"	"volume"	"none"	"be"	"so"	"memorable"	"nameless_and_immortal"	"which"	"at_once"	"took"	"rank"	"among"	"the"	"finest"	"poem"	"ever"	"written"	"in"	"the"	"swedish"	"language"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"than"	"with"	"cocky"	"arms"	"cocky_than"	"than_with"	"with_arms"	"-_cocky_than"	"cocky_than_with"	"than_with_arms"	"with_arms_and"	"ε"	"JJ"	"IN"	"RB"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look_at"	"person"	"cocky"	"than"	"ever"	"with"	"arms"	"and"	"agent"	"to"	"threaten"	"the_americas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:05::"	"and"	"increasing"	"long"	"column"	"long_and"	"and_increasing"	"increasing_column"	"the_long_and"	"long_and_increasing"	"and_increasing_column"	"increasing_column_of"	"DT"	"JJ"	"CC"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"and"	"ever"	"increasing"	"column"	"of"	"sportsman"	"is"	"now"	"move_into"	"a"	"new"	"era"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:05::"	"the"	"expanding"	"with"	"encroachment"	"with_the"	"the_expanding"	"expanding_encroachment"	"even_with_the"	"with_the_expanding"	"the_expanding_encroachment"	"expanding_encroachment_on"	"RB"	"IN"	"DT"	"RB"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"due_to"	"modern"	"resource"	"use"	"and"	"game"	"management"	"practice"	"be"	"still"	"game"	"to"	"shoot"	"even"	"with"	"the"	"ever"	"expanding"	"encroachment"	"on"	"land"	"and"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:05::"	"the"	"growing"	"of"	"need"	"of_the"	"the_growing"	"growing_need"	"aware_of_the"	"of_the_growing"	"the_growing_need"	"growing_need_for"	"JJ"	"JJ"	"DT"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"continuation"	"and"	"expansion"	"of"	"the"	"shooting"	"development"	"program"	"will"	"assure"	"to"	"degree"	"that"	"national"	"and"	"community"	"leaders"	"will"	"be"	"make"	"aware"	"of"	"the"	"ever"	"growing"	"need"	"for"	"shooting"	"facility"	"and"	"activity"	"for"	"hunting"	"and"	"shooting"	"in"	"answer"	"to"	"public"	"demand"	"0"	"0"	"0"	"0"	
"4:02:04::"	"can"	"completely"	"woman"	"monopolize"	"woman_can"	"can_completely"	"completely_monopolize"	"no_woman_can"	"woman_can_completely"	"can_completely_monopolize"	"completely_monopolize_the"	"JJ"	"NN"	"MD"	"RB"	"RB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"naturally"	"woman"	"can"	"ever"	"completely"	"monopolize"	"the"	"sexual"	"initiative"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"have"	"come_about"	","	"if"	",_have"	"have_come_about"	"come_about_if"	"once_,_have"	",_have_come_about"	"have_come_about_if"	"come_about_if_person"	"RB"	"ε"	"VBP"	"RB"	"VB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"prepared"	"to"	"be"	"helpful"	"in"	"what"	"he"	"refer"	"to"	"with"	"fastidious"	"distaste"	"as"	"unfortunate"	"person"	"affair"	"which"	"would"	"not"	"he"	"say"	"more"	"than"	"once"	"have"	"ever"	"come_about"	"if"	"person"	"had"	"only"	"see"	"fit"	"to"	"consult"	"person"	"or"	"him"	"about"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"personality"	"since"	"'s"	"."	"'s_personality"	"personality_since"	"since_."	"person_'s_personality"	"'s_personality_since"	"personality_since_."	"since_._∅"	"NNP"	"POS"	"NN"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"rather"	"detached"	"attitude"	"toward"	"life"	"encumbrance"	"has"	"seem"	"be"	"the"	"dominant"	"trait"	"in"	"person"	"personality"	"ever"	"since"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"you"	"going_to"	"n't"	"go_home"	"n't_you"	"you_going_to"	"going_to_go_home"	"are_n't_you"	"n't_you_going_to"	"you_going_to_go_home"	"going_to_go_home_''"	"VBP"	"RB"	"PRP"	"RB"	"VB"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"ever"	"going_to"	"go_home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
