"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"2:36:00::"	"-"	"by"	"children"	"an"	"children_-"	"-_by"	"by_an"	"their_children_-"	"children_-_by"	"-_by_an"	"by_an_extended"	"PRP$"	"NNS"	"ε"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"say"	"his"	"plan"	"is"	"design"	"to"	"meet"	"the"	"needs"	"of"	"those"	"millions"	"who"	"have"	"no"	"wish"	"receive"	"care"	"at"	"the"	"taxpayers"	"expense"	"but"	"who"	"are"	"nevertheless"	"stagger"	"by"	"the"	"on"	"their"	"savings"	"or"	"those"	"of"	"their"	"children"	"cause"	"by"	"an"	"extended"	"hospital"	"stay"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"has"	"the"	"which"	"citizens"	"which_has"	"has_the"	"the_citizens"	"factor_which_has"	"which_has_the"	"has_the_citizens"	"the_citizens_group"	"NN"	"WDT"	"VBZ"	"VB"	"DT"	"NNPS"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"misunderstanding"	"of"	"the"	"real"	"meaning"	"of"	"a"	"charter"	"was"	"cite"	"as"	"a"	"factor"	"which"	"has"	"cause"	"the"	"citizens"	"group"	"to"	"obtain"	"signatures"	"under"	"what"	"were"	"term"	"false"	"pretenses"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"the"	"however"	"president"	"however_,"	",_the"	"the_president"	",_however_,"	"however_,_the"	",_the_president"	"the_president_to"	"ε"	"RB"	"ε"	"VB"	"DT"	"NNP"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"developments"	"over"	"the"	"next"	"months"	"however"	"cause"	"the"	"president"	"to"	"reconsider"	"the"	"question"	"of"	"the"	"timing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"the"	"months"	"campaigning"	"months_,"	",_the"	"the_campaigning"	"a_few_months_,"	"months_,_the"	",_the_campaigning"	"the_campaigning_to"	"JJ"	"NNS"	"ε"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"situation"	"already"	"be"	"bad"	"because"	"the"	"legislature"	"the"	"governor"	"race"	"forward"	"a_few"	"months"	"cause"	"the"	"campaigning"	"to"	"get_started"	"earlier"	"than"	"usual"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"practices"	"friction"	"''"	"all_around"	"''_practices"	"practices_friction"	"friction_all_around"	"dumping_''_practices"	"''_practices_friction"	"practices_friction_all_around"	"friction_all_around_and"	"NN"	"ε"	"NNS"	"VB"	"NN"	"RB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"kennedy"	"hope"	"be"	"that"	"at"	"the"	"conference"	"or"	"through"	"bilateral"	"talks"	"the"	"low-wage"	"countries"	"in"	"asia"	"and"	"europe"	"will"	"see"	"that"	"dumping"	"practices"	"cause"	"friction"	"all_around"	"and"	"may"	"result"	"in"	"import"	"quotas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"be"	"by"	"also"	"tactical"	"also_be"	"be_by"	"by_tactical"	"may_also_be"	"also_be_by"	"be_by_tactical"	"by_tactical_appreciation"	"MD"	"RB"	"VB"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"certain"	"may"	"also"	"be"	"cause"	"by"	"tactical"	"appreciation"	"of"	"the"	"fact"	"that"	"the"	"present"	"council"	"meeting"	"be"	"a"	"semipublic"	"affair"	"with"	"no_fewer_than"	"six"	"soviet"	"correspondents"	"accredit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"the"	"hand"	"seal"	"hand_and"	"and_the"	"the_seal"	"my_hand_and"	"hand_and_the"	"and_the_seal"	"the_seal_of"	"PRP$"	"NN"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"testimony"	"whereof"	"i"	"have"	"set"	"my"	"hand"	"and"	"cause"	"the"	"seal"	"of"	"the"	"state"	"to"	"be"	"affix"	"this"	"st"	"day"	"of"	"april"	"in"	"the"	"year"	"of"	"our"	"lord"	"one_thousand"	"nine"	"hundred"	"and"	"sixty-one"	"and"	"on"	"independence"	"the"	"one_hundred"	"and"	"eighty-fifth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"the"	"hand"	"seal"	"hand_and"	"and_the"	"the_seal"	"my_hand_and"	"hand_and_the"	"and_the_seal"	"the_seal_of"	"PRP$"	"NN"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"testimony"	"whereof"	"i"	"have"	"set"	"my"	"hand"	"and"	"cause"	"the"	"seal"	"of"	"the"	"state"	"to"	"be"	"affix"	"this"	"th"	"day"	"of"	"may"	"in"	"the"	"year"	"of"	"our"	"lord"	"one_thousand"	"nine"	"hundred"	"and"	"sixty-one"	"and"	"of"	"independence"	"the"	"one_hundred"	"and"	"eighty-sixth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"the"	"hand"	"seal"	"hand_and"	"and_the"	"the_seal"	"my_hand_and"	"hand_and_the"	"and_the_seal"	"the_seal_of"	"PRP$"	"NN"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"testimony"	"whereof"	"i"	"have"	"set"	"my"	"hand"	"and"	"cause"	"the"	"seal"	"of"	"the"	"state"	"to"	"be"	"affix"	"this"	"th"	"day"	"of"	"april"	"in"	"the"	"year"	"of"	"our"	"lord"	"one_thousand"	"nine"	"hundred"	"and"	"sixty-one"	"and"	"of"	"independence"	"the"	"one_hundred"	"and"	"eighty-fifth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"the"	"hand"	"seal"	"hand_and"	"and_the"	"the_seal"	"my_hand_and"	"hand_and_the"	"and_the_seal"	"the_seal_of"	"PRP$"	"NN"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"testimony"	"whereof"	"i"	"have"	"set"	"my"	"hand"	"and"	"cause"	"the"	"seal"	"of"	"the"	"state"	"to"	"be"	"affix"	"this"	"th"	"day"	"of"	"june"	"in"	"the"	"year"	"of"	"our"	"lord"	"one_thousand"	"nine"	"hundred"	"and"	"sixty-one"	"and"	"of"	"independence"	"the"	"one_hundred"	"and"	"eighty-sixth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
