"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"3:00:00::"	","	"and"	"residential"	"industrial"	"residential_,"	",_and"	"and_industrial"	"survey_residential_,"	"residential_,_and"	",_and_industrial"	"and_industrial_building"	"VB"	"JJ"	"ε"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"federal_government"	"is"	"aid"	"local_government"	"several"	"place"	"to"	"survey"	"residential"	"commercial"	"and"	"industrial"	"building"	"to"	"determine"	"what"	"fallout"	"protection"	"they"	"would"	"provide"	"and"	"for"	"how"	"many"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"filmed"	"for"	"three"	"zing"	"three_filmed"	"filmed_for"	"for_zing"	"do_three_filmed"	"three_filmed_for"	"filmed_for_zing"	"for_zing_,"	"VB"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"lovely"	"caller"	"person"	"be"	"her"	"had"	"previously"	"do"	"three"	"filmed"	"commercial"	"for"	"zing"	"and"	"this_evening"	"the"	"fourth"	"a"	"super"	"production"	"had"	"been"	"film"	"at"	"the"	"home"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"zing"	"had"	"the"	"lead"	"the_zing"	"zing_had"	"had_lead"	"in_the_zing"	"the_zing_had"	"zing_had_lead"	"had_lead_to"	"IN"	"DT"	"VBG"	"NN"	"VBD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"her"	"impact"	"the"	"zing"	"commercial"	"had"	"lead"	"to"	"her"	"being"	"consider"	"for"	"an"	"excellent"	"part"	"in"	"an"	"upcoming"	"tv"	"series"	"underwater_western_eye"	"a"	"documentary"	"type"	"show"	"to"	"be"	"sponsor"	"by"	"oatnut_grits"	
"3:00:00::"	"the"	"reality"	"to"	"of"	"to_the"	"the_reality"	"reality_of"	"in_to_the"	"to_the_reality"	"the_reality_of"	"reality_of_the"	"VB"	"TO"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"is"	"your"	"r_+_d"	"or"	"product"	"program"	"tuned"	"in"	"to"	"the"	"commercial"	"reality"	"of"	"the"	"market"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"1500"	"and"	"on"	"private"	"on_1500"	"1500_and"	"and_private"	"harvest_on_1500"	"on_1500_and"	"1500_and_private"	"and_private_shooting_preserve"	"VB"	"IN"	"CD"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"close"	"to"	"two"	"million"	"were"	"harvest"	"on"	"commercial"	"and"	"private"	"shooting_preserve"	"and"	"on"	"group"	"controlled"	"upland"	"game"	"area"	"during"	"the"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"of"	"recording"	"beginning"	","	"beginning_of"	"of_recording"	"recording_,"	"the_beginning_of"	"beginning_of_recording"	"of_recording_,"	"recording_,_new"	"RB"	"NN"	"IN"	"JJ"	"NN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"beginning"	"of"	"commercial"	"recording"	"new"	"disc"	"purport"	"to"	"be"	"indistinguishable"	"from"	"the"	"real_thing"	"have"	"regularly"	"been"	"put"	"in"	"circulation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"from"	"source"	"funds"	"on"	"funds_from"	"from_source"	"source_on"	"obtain_funds_from"	"funds_from_source"	"from_source_on"	"source_on_reasonable"	"VB"	"NN"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"is"	"offer"	"to"	"applicant"	"who"	"ordinarily"	"would"	"not"	"undertake"	"the"	"exploration"	"under"	"present"	"condition"	"or"	"circumstance"	"at"	"their"	"sole"	"expense"	"and"	"who"	"be"	"unable"	"to"	"obtain"	"funds"	"from"	"source"	"on"	"reasonable"	"term"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"from"	"bottle"	"flow"	"was"	"flow_from"	"from_bottle"	"bottle_was"	"argon_flow_from"	"flow_from_bottle"	"from_bottle_was"	"bottle_was_regulate"	"NN"	"NN"	"NN"	"JJ"	"NN"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"flow"	"from"	"commercial"	"bottle"	"was"	"regulate"	"by"	"a"	"pressure"	"regulator"	"and"	"measure"	"with"	"a"	"gas"	"flow"	"rator"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"and"	"haste"	"propagandistic"	"to"	"propagandistic_and"	"and_haste"	"haste_to"	"its_propagandistic_and"	"propagandistic_and_haste"	"and_haste_to"	"haste_to_discover"	"PRP$"	"JJ"	"CC"	"JJ"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"propagandistic"	"and"	"commercial"	"haste"	"to"	"discover"	"our"	"folk"	"heritage"	"the"	"public"	"has"	"remain"	"ignorant"	"of"	"definition"	"such"	"as"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"propagandist"	"also"	"and"	"also_the"	"the_propagandist"	"propagandist_and"	"are_also_the"	"also_the_propagandist"	"the_propagandist_and"	"propagandist_and_the"	"VB"	"RB"	"DT"	"JJ"	"NN"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"there"	"also"	"the"	"commercial"	"propagandist"	"and"	"the"	"analyst"	"one"	"dominated_by"	"money"	"the"	"by"	"nineteenth"	"century"	"german"	"scholarship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
