"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"2:38:00::"	"to"	"you"	"invitation"	","	"invitation_to"	"to_you"	"you_,"	"an_invitation_to"	"invitation_to_you"	"to_you_,"	"you_,_you"	"DT"	"NN"	"TO"	"VB"	"PRP"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"no"	"directives"	"from"	"central"	"be"	"scarcely"	"a"	"cause"	"for"	"regret"	"but"	"there"	"happen"	"to"	"be"	"eight"	"guys"	"bite"	"their"	"fingernails"	"to"	"the"	"quick"	"just"	"wait"	"an"	"invitation"	"to"	"board"	"you"	"you"	"beautiful"	"thing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"youths"	"his"	"10"	"south"	"10_youths"	"youths_his"	"his_south"	"that_10_youths"	"10_youths_his"	"youths_his_south"	"his_south_bound"	"IN"	"CD"	"NNS"	"VB"	"PRP$"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"robinson"	"tell"	"policemen"	"james_jones"	"and"	"morgan_lloyd"	"the"	"wabash"	"avenue"	"district"	"that"	"youths"	"board"	"his"	"south"	"bound"	"express_bus"	"in_front"	"of"	"dunbar_vocational"	"high_school"	"th"	"street"	"and"	"south_park"	"way"	"and"	"begin"	"skylark"	
"1:27:00::"	"roof"	"("	"two"	"mark"	"two_roof"	"roof_("	"(_mark"	"or_two_roof"	"two_roof_("	"roof_(_mark"	"(_mark_``"	"CC"	"JJ"	"NN"	"NN"	"ε"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"or"	"two"	"roof"	"board"	"mark"	"e"	"in"	"fig"	"are"	"slip"	"into"	"place"	"across"	"the"	"roof"	"beam"	"from"	"outside"	"the"	"shelter"	"0"	"0"	"0"	
"1:27:00::"	"of"	"and"	"kind"	"two-by-four"	"kind_of"	"of_and"	"and_two-by-four"	"various_kind_of"	"kind_of_and"	"of_and_two-by-four"	"and_two-by-four_which"	"JJ"	"NN"	"IN"	"NN"	"CC"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"do"	"some"	"figure"	"on"	"a"	"scrap"	"paper"	"and"	"give"	"him"	"the"	"various"	"kind"	"of"	"board"	"and"	"two-by-four"	"which"	"properly"	"handle"	"would"	"he"	"had"	"assure"	"him"	"turn_into"	"a"	"workbench"	"0"	
"1:14:00::"	"general"	"of"	"the"	"the"	"the_general"	"general_of"	"of_the"	"by_the_general"	"the_general_of"	"general_of_the"	"of_the_group"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"development"	"is"	"reflect"	"in"	"the"	"action"	"in"	"february"	"by"	"the"	"general"	"board"	"of"	"the"	"group"	"the"	"largest"	"protestant"	"organization"	"in"	"the"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"general"	"declare"	"the"	":"	"the_general"	"general_declare"	"declare_:"	"∅_the_general"	"the_general_declare"	"general_declare_:"	"declare_:_``"	"ε"	"DT"	"JJ"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"general"	"board"	"declare"	"most_of"	"the"	"protestant"	"church"	"hold"	"contraception"	"and"	"periodic"	"continence"	"to"	"be"	"morally"	"right"	"when"	"the"	"motive"	"be"	"right"	"0"	"0"	
"1:14:00::"	"local"	"as"	"the"	"to"	"the_local"	"local_as"	"as_to"	"of_the_local"	"the_local_as"	"local_as_to"	"as_to_his"	"IN"	"DT"	"JJ"	"NN"	"RB"	"TO"	"PRP$"	"0"	"0"	"0"	"petitioner"	"first"	"contend"	"that"	"the"	"group"	"deny"	"him"	"procedural"	"due_process"	"by"	"not"	"give"	"him"	"timely"	"opportunity"	"before"	"its"	"final"	"recommendation"	"to"	"the"	"appeal_board"	"to"	"answer"	"the"	"statement"	"the"	"local"	"board"	"as"	"to"	"his"	"claim"	"of"	"devote"	"hour"	"to"	"actual"	"preaching"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"appeal"	"."	"the"	"∅"	"the_appeal"	"appeal_."	"._∅"	"to_the_appeal"	"the_appeal_."	"appeal_._∅"	"._∅_∅"	"TO"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"also"	"significant"	"that"	"neither"	"this"	"report"	"the"	"hearing_officer"	"note"	"were"	"furnish"	"to"	"the"	"appeal"	"board"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"the"	"."	"remove"	"∅"	"remove_the"	"the_."	"._∅"	"i_remove_the"	"remove_the_."	"the_._∅"	"._∅_∅"	"PRP"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"first"	"sprinkling"	"green"	"appear"	"i"	"remove"	"the"	"board"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"compose"	"by"	"of"	"by_a"	"a_compose"	"compose_of"	"select_by_a"	"by_a_compose"	"a_compose_of"	"compose_of_the"	"VB"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"under"	"person"	"plan"	"an"	"appointee"	"be"	"select"	"by"	"a"	"board"	"compose"	"of"	"the"	"governor"	"lieutenant_governor"	"speaker"	"of"	"the"	"house"	"attorney_general"	"and"	"chief_justice"	"of"	"the"	"group"	"0"	"0"	"0"	
