"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:30:00::"	"water"	","	","	"be"	",_water"	"water_,"	",_be"	"reactor_,_water"	",_water_,"	"water_,_be"	",_be_the"	"NN"	"ε"	"NN"	"VB"	"ε"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"atom"	"water"	"cool"	"be"	"the"	"result"	"of"	"almost"	"a"	"decade"	"of"	"research"	"at"	"the"	"naval"	"reactors"	"branch"	"of"	"the"	"atomic_energy"	"commission"	"and"	"westinghouse_electric_corp."	
"2:30:01::"	"for"	"your"	"work"	"house"	"work_for"	"for_your"	"your_house"	"also_work_for"	"work_for_your"	"for_your_house"	"your_house_."	"RB"	"VB"	"IN"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"can"	"get"	"a"	"hot"	"that"	"will"	"also"	"work"	"for"	"cool"	"your"	"house"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"as"	"."	"important"	"∅"	"important_as"	"as_."	"._∅"	"as_important_as"	"important_as_."	"as_._∅"	"._∅_∅"	"RB"	"JJ"	"IN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reduce"	"humidity"	"be"	"as"	"important"	"as"	"cool"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"location"	"on"	"."	"on_the"	"the_location"	"location_."	",_on_the"	"on_the_location"	"the_location_."	"location_._∅"	"ε"	"IN"	"DT"	"JJ"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"briefly"	"we"	"roll"	"over"	"a"	"road"	"up_to"	"location"	"on"	"the"	"cool"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:composed:00"	"the"	"brazenness"	"for"	"of"	"for_the"	"the_brazenness"	"brazenness_of"	"famous_for_the"	"for_the_brazenness"	"the_brazenness_of"	"brazenness_of_the"	"JJ"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"more"	"jealous"	"bitterness"	"was"	"engender"	"by"	"the"	"person"	"gang"	"seizure"	"from"	"a"	"location"	"marshalling_yard"	"of"	"a"	"freight_car"	"load"	"of"	"canadian"	"whisky"	"worth"	"and"	"by"	"one"	"of"	"the"	"big"	"coup"	"of"	"the"	"prohibition_era"	"the"	"location"	"warehouse"	"robbery"	"which"	"become"	"famous"	"for"	"cool"	"brazenness"	"of"	"the"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"in"	","	"back"	"oh"	"back_in"	"in_,"	",_oh"	"stream_back_in"	"back_in_,"	"in_,_oh"	",_oh_cool"	"VB"	"RB"	"IN"	"JJ"	"ε"	"UH"	"JJ"	"0"	"0"	"0"	"0"	"over"	"the"	"rapidly"	"diminishing"	"outline"	"of"	"a"	"jump_seat"	"pile"	"high"	"with"	"luggage"	"person"	"black"	"brush_cut"	"be"	"just"	"discernible"	"near"	"or"	"enviably"	"near"	"that"	"spot"	"where"	"hidden"	"more"	"delicately"	"textured"	"most"	"beautifully"	"tinted"	"hair"	"must"	"still"	"be"	"back"	"in"	"cool"	"oh"	"cool"	"wind"	"sweetly"	"perfumed"	"with"	"sagebrush"	"and"	"yucca"	"flower"	"and"	"engine"	"fumes"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"oh"	"wind"	","	"sweetly"	",_oh"	"oh_wind"	"wind_sweetly"	"cool_,_oh"	",_oh_wind"	"oh_wind_sweetly"	"wind_sweetly_perfumed"	"JJ"	"ε"	"UH"	"JJ"	"NN"	"RB"	"JJ"	"rapidly"	"diminishing"	"outline"	"of"	"a"	"jump_seat"	"pile"	"high"	"with"	"luggage"	"person"	"black"	"brush_cut"	"be"	"just"	"discernible"	"near"	"or"	"enviably"	"near"	"that"	"spot"	"where"	"hidden"	"more"	"delicately"	"textured"	"most"	"beautifully"	"tinted"	"hair"	"must"	"still"	"be"	"stream"	"back"	"in"	"cool"	"oh"	"cool"	"sweetly"	"perfumed"	"with"	"sagebrush"	"and"	"yucca"	"flower"	"and"	"engine"	"fumes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"air"	"suck_in"	"that"	"suck_in_the"	"the_air"	"air_that"	"second_suck_in_the"	"suck_in_the_air"	"the_air_that"	"air_that_smell"	"NN"	"VB"	"DT"	"JJ"	"NN"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"run"	"up"	"the"	"ladder"	"stand"	"for"	"a"	"second"	"suck_in"	"the"	"cool"	"air"	"that"	"smell"	"of"	"mud"	"and"	"river"	"weed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:unexcited:00"	"``"	"election"	"the"	"i"	"the_``"	"``_election"	"election_i"	"in_the_``"	"the_``_election"	"``_election_i"	"election_i_ever"	"IN"	"DT"	"ε"	"JJ"	"NN"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"a"	"long"	"hot"	"controversy"	"location"	"have"	"a"	"new"	"school_superintendent"	"elect"	"a"	"policeman"	"put"	"it"	"in"	"the"	"cool"	"election"	"i"	"ever"	"see"	"in_this"	"county"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:unexcited:00"	"the"	","	"be"	"calm"	"be_the"	"the_,"	",_calm"	"this_be_the"	"be_the_,"	"the_,_calm"	",_calm_election"	"DT"	"VB"	"DT"	"JJ"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"the"	"cool"	"calm"	"election"	"i"	"ever"	"see"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
