"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"
"2:31:00::"	"to"	"our"	"continue"	"own"	"continue_to"	"to_our"	"our_own"	"can_continue_to"	"continue_to_our"	"to_our_own"	"our_own_destiny"	"MD"	"VB"	"TO"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"until"	"professional"	"planners"	"meet"	"this"	"situation"	"squarely"	"and"	"update"	"the"	"concepts"	"of"	"zoning"	"in"	"manner"	"acceptable"	"to"	"the"	"courts"	"i"	"hope"	"we"	"in"	"east_greenwich"	"can"	"continue"	"to"	"shape"	"our"	"own"	"destiny"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"factors"	"the"	"significant"	"future"	"significant_factors"	"factors_the"	"the_future"	"especially_significant_factors"	"significant_factors_the"	"factors_the_future"	"the_future_of"	"RB"	"JJ"	"NNS"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"we"	"look"	"about"	"the"	"world"	"today"	"we"	"can"	"clearly"	"that"	"there"	"be"	"two"	"especially"	"significant"	"factors"	"shape"	"the"	"future"	"of"	"our"	"civilization"	"science"	"and"	"religion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"been"	"by"	"have"	"the"	"have_been"	"been_by"	"by_the"	"vehicles_have_been"	"have_been_by"	"been_by_the"	"by_the_state"	"NNS"	"VBP"	"VBN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"meaningful"	"policies"	"govern"	"the"	"purchase"	"assignment"	"use"	"management"	"of"	"state"	"vehicles"	"have"	"been"	"shape"	"by"	"the"	"state"	"administrative"	"officers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"of"	"by"	"out"	"person"	"out_of"	"of_by"	"by_person"	"smash_out_of"	"out_of_by"	"of_by_person"	"by_person_'s"	"VB"	"IN"	"IN"	"NN"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"coarse"	"feature"	"twist"	"in"	"a"	"grin"	"which"	"was"	"smash"	"out"	"of"	"shape"	"by"	"person"	"fist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"bad"	","	"as"	"but"	"as_bad"	"bad_,"	",_but"	"almost_as_bad"	"as_bad_,"	"bad_,_but"	",_but_he"	"RB"	"IN"	"JJ"	"NN"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"almost"	"as"	"bad"	"shape"	"but"	"he"	"would"	"n't"	"quit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"dark"	"on"	","	"a"	",_dark"	"dark_on"	"on_a"	"tiny_,_dark"	",_dark_on"	"dark_on_a"	"on_a_far"	"JJ"	"ε"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"car"	"was"	"come"	"tiny"	"dark"	"shape"	"on"	"a"	"far"	"hill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"stravinsky"	"his"	"when"	"purpose"	"when_stravinsky"	"stravinsky_his"	"his_purpose"	"∅_when_stravinsky"	"when_stravinsky_his"	"stravinsky_his_purpose"	"his_purpose_to"	"ε"	"WRB"	"NN"	"VB"	"PRP$"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stravinsky"	"shape"	"his"	"purpose"	"to"	"the"	"shifting"	"scene"	"of"	"many"	"culture"	"many"	"salon"	"many"	"dialectic"	"many"	"personality"	"he"	"try"	"to"	"refashion"	"himself"	"into"	"a"	"stylist"	"of"	"many"	"style"	"determine"	"by"	"many"	"disparate"	"culture"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"counterbalanced"	"of"	"the"	"the"	"the_counterbalanced"	"counterbalanced_of"	"of_the"	"from_the_counterbalanced"	"the_counterbalanced_of"	"counterbalanced_of_the"	"of_the_series"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"seem"	"clear"	"the"	"counterbalanced"	"shape"	"of"	"the"	"series"	"of"	"arrow"	"in"	"figure"	"that"	"there"	"was"	"about"	"an"	"equal"	"number"	"of"	"early"	"and"	"late"	"onset"	"and"	"completion"	"for"	"the"	"girl"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"and"	"and"	"ornament"	"make"	"ornament_and"	"and_and"	"and_make"	"of_ornament_and"	"ornament_and_and"	"and_and_make"	"and_make_use"	"IN"	"NN"	"CC"	"NN"	"CC"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ripe_geometric"	"potter"	"continue"	"to"	"employ"	"old"	"syntax"	"of"	"ornament"	"and"	"shape"	"and"	"make"	"use"	"of"	"the"	"well-defined"	"though"	"limited"	"range"	"of"	"motif"	"which"	"they"	"had"	"inherit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	"have"	"a"	"have_the"	"the_of"	"of_a"	"sample_have_the"	"have_the_of"	"the_of_a"	"of_a_right"	"NN"	"VB"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"spectrum"	"were"	"obtain"	"from"	"powdered"	"sample"	"have"	"the"	"shape"	"of"	"a"	"right"	"circular"	"cylinder"	"with"	"a"	"height"	"to"	"diameter"	"ratio"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
