"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"	"A154"	"A155"	"A156"	"A157"	"A158"	"A159"	"A160"	"A161"	"A162"	"A163"	"A164"	"A165"	"A166"	"A167"	"A168"	"A169"	"A170"	"A171"	"A172"
"2:30:01::"	"had"	"the"	"he"	"radar"	"he_had"	"had_the"	"the_radar"	"until_he_had"	"he_had_the"	"had_the_radar"	"the_radar_plots"	"IN"	"PRP"	"VBD"	"VB"	"DT"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"was"	"only"	"one"	"answer"	"but"	"jack"	"horrified"	"refuse"	"to"	"believe"	"it"	"until"	"he"	"had"	"feed"	"the"	"radar"	"plots"	"of"	"the"	"skiff"	"course"	"into"	"the"	"computer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"to"	"them"	"afraid"	"and"	"afraid_to"	"to_them"	"them_and"	"be_afraid_to"	"afraid_to_them"	"to_them_and"	"them_and_afraid"	"VB"	"JJ"	"TO"	"VB"	"PRP"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"in_this"	"small"	"way"	"of"	"force"	"the"	"people"	"to"	"watch"	"as"	"and"	"innocent"	"and"	"dependent"	"creatures"	"die"	"because"	"we"	"be"	"afraid"	"to"	"feed"	"them"	"and"	"afraid"	"to"	"protest"	"and"	"say"	"how_come"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"and"	"there"	"nest"	"."	"nest_and"	"and_there"	"there_."	"who_nest_and"	"nest_and_there"	"and_there_."	"there_._∅"	"WP"	"VB"	"CC"	"VB"	"EX"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"comparison"	"stone_harbor"	"bird_sanctuary"	"allies"	"seem"	"less"	"formidable"	"for"	"aside"	"from"	"the"	"audubon_society"	"they"	"be"	"mostly"	"the"	"snowy"	"common"	"and"	"cattle_egrets"	"and"	"the"	"louisiana"	"green"	"little"	"blue"	"and"	"black-crowned"	"herons"	"who"	"and"	"feed"	"there"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"and"	"a"	"save"	"family"	"save_and"	"and_a"	"a_family"	"to_save_and"	"save_and_a"	"and_a_family"	"a_family_of"	"TO"	"VB"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"driver"	"of"	"a"	"dairy"	"truck"	"who"	"begin"	"work"	"at"	"a."	"m."	"finish"	"before"	"breakfast"	"then"	"go_out"	"and"	"grow"	"a"	"garden"	"and"	"who"	"use"	"the"	"cannery"	"to"	"save"	"and"	"feed"	"a"	"family"	"of"	"five"	"ask"	"what"	"in"	"the"	"world"	"will"	"we"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"he"	"his"	"does"	"smu"	"does_he"	"he_his"	"his_smu"	"what_does_he"	"does_he_his"	"he_his_smu"	"his_smu_football"	"WP"	"VBZ"	"PRP"	"VB"	"PRP$"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"he"	"feed"	"his"	"smu"	"football"	"mastodons"	"at"	"the"	"training"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:13:00::"	"raise"	"or"	"want_to"	"carry_out"	"want_to_raise"	"raise_or"	"or_carry_out"	"you_want_to_raise"	"want_to_raise_or"	"raise_or_carry_out"	"or_carry_out_some"	"PRP"	"VB"	"VB"	"NN"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"want_to"	"raise"	"feed"	"or"	"carry_out"	"some"	"enterprise"	"on"	"a"	"larger"	"scale"	"you"	"need"	"more"	"land"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"being"	"and"	"enjoy"	"mother"	"enjoy_being"	"being_and"	"and_mother"	"who_enjoy_being"	"enjoy_being_and"	"being_and_mother"	"and_mother_by"	"WP"	"VB"	"VBG"	"VB"	"CC"	"VB"	"IN"	"following"	"year"	"her"	"father"	"undertake"	"to"	"give"	"a"	"course"	"in"	"hebrew"	"theology"	"to"	"group"	"student"	"and"	"this"	"bring"	"to"	"the"	"person"	"house"	"a"	"group"	"of"	"bright"	"young"	"jew"	"who"	"had"	"come"	"to"	"baltimore"	"to"	"study"	"and"	"who"	"enjoy"	"being"	"and"	"mother"	"by"	"mamma"	"and"	"entertain"	"by"	"person"	"and"	"person"	"who"	"play"	"and"	"sing"	"for"	"them"	"in"	"the"	"upstairs"	"sitting_room"	"on"	"sunday"	"evening"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:13:00::"	"many"	"additive"	"the"	"can"	"the_many"	"many_additive"	"additive_can"	"what_the_many"	"the_many_additive"	"many_additive_can"	"additive_can_do"	"WP"	"DT"	"JJ"	"NN"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"know"	"specifically"	"the"	"many"	"feed"	"additive"	"can"	"do"	"and_how"	"and"	"when"	"to"	"feed"	"them"	"can"	"make"	"a"	"highly"	"competitive"	"business"	"more"	"profitable"	"for"	"beef_man"	"dairyman"	"and"	"sheepman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:04::"	"to"	"them"	"when"	"can"	"when_to"	"to_them"	"them_can"	"and_when_to"	"when_to_them"	"to_them_can"	"them_can_make"	"CC"	"WRB"	"TO"	"VB"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"know"	"specifically"	"what"	"the"	"many"	"feed"	"can"	"do"	"and_how"	"and"	"when"	"to"	"feed"	"them"	"can"	"make"	"a"	"highly"	"competitive"	"business"	"more"	"profitable"	"for"	"beef_man"	"dairyman"	"and"	"sheepman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:04::"	"are"	"your"	"you"	"beef"	"you_are"	"are_your"	"your_beef"	"ration_you_are"	"you_are_your"	"are_your_beef"	"your_beef_,"	"NN"	"PRP"	"VBP"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"article"	"assume"	"the"	"ration"	"you"	"are"	"feed"	"your"	"beef"	"dairy_cattle"	"and"	"sheep"	"be"	"adequately"	"balanced"	"with"	"protein"	"vitamin"	"and"	"mineral"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
