"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"4:02:03::"	"i"	"do"	"``"	"have"	"``_i"	"i_do"	"do_have"	"∅_``_i"	"``_i_do"	"i_do_have"	"do_have_something"	"ε"	"ε"	"PRP"	"RB"	"VBP"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"really"	"do"	"have"	"something"	"important"	"to"	"tell"	"you"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"no_one"	"think"	","	"it"	",_no_one"	"no_one_think"	"think_it"	"sod_,_no_one"	",_no_one_think"	"no_one_think_it"	"think_it_be"	"NN"	"ε"	"NN"	"RB"	"VB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"there"	"be"	"an"	"occasional"	"good-natured"	"chuckle"	"about"	"person"	"the"	"jewish"	"from"	"chicago"	"sing"	"tearfully"	"about"	"the"	"old"	"sod"	"no_one"	"really"	"think"	"it"	"be"	"strange"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"it"	"would"	"hope"	"be"	"hope_it"	"it_would"	"would_be"	"no_hope_it"	"hope_it_would"	"it_would_be"	"would_be_that"	"DT"	"NN"	"PRP"	"RB"	"MD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"was"	"of_course"	"hope"	"it"	"really"	"would"	"be"	"that"	"simple"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	","	"there"	"well"	"be"	"well_,"	",_there"	"there_be"	"``_well_,"	"well_,_there"	",_there_be"	"there_be_none"	"ε"	"UH"	"ε"	"RB"	"EX"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"there"	"be"	"none"	"at_all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"person"	"be"	"∅"	"quite"	"∅_person"	"person_be"	"be_quite"	"∅_∅_person"	"∅_person_be"	"person_be_quite"	"be_quite_predictable"	"ε"	"ε"	"NNP"	"RB"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"really"	"be"	"quite"	"predictable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"not"	"aware"	"be"	"of"	"be_not"	"not_aware"	"aware_of"	"we_be_not"	"be_not_aware"	"not_aware_of"	"aware_of_what"	"PRP"	"VB"	"RB"	"RB"	"JJ"	"JJ"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"life"	"we"	"learn"	"to"	"play"	"our"	"role"	"and"	"we"	"freeze"	"pattern"	"which"	"become"	"so"	"habitual"	"that"	"we"	"be"	"not"	"really"	"aware"	"of"	"what"	"we"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"not"	"thirsty"	"'re"	"''"	"'re_not"	"not_thirsty"	"thirsty_''"	"we_'re_not"	"'re_not_thirsty"	"not_thirsty_''"	"thirsty_''_-"	"PRP"	"VBP"	"RB"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"the"	"suggestion"	"of"	"ice_water"	"and"	"in_spite"	"the"	"protest"	"we"	"not"	"really"	"thirsty"	"person"	"to"	"escape"	"the"	"stuffy"	"air"	"and"	"the"	"smothering"	"soft"	"voice"	"hurry"	"to"	"the"	"kitchen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"be"	"no"	"there"	"reason"	"there_be"	"be_no"	"no_reason"	"∅_there_be"	"there_be_no"	"be_no_reason"	"no_reason_to"	"ε"	"EX"	"VB"	"RB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"really"	"no"	"reason"	"to"	"refuse"	"and"	"person"	"had"	"never"	"ride"	"in"	"a"	"cadillac"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"something"	"special"	"have"	"."	"have_something"	"something_special"	"special_."	"you_have_something"	"have_something_special"	"something_special_."	"special_._∅"	"PRP"	"VB"	"NN"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"salad"	"with"	"greens"	"and"	"tomato"	"be"	"a"	"popular"	"and"	"wonderfully"	"healthful"	"to"	"a"	"meal"	"but"	"add"	"an"	"avocado"	"and"	"you"	"have"	"something"	"really"	"special"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"the"	"first-rate"	"it"	"performance"	"it_the"	"the_first-rate"	"first-rate_performance"	"give_it_the"	"it_the_first-rate"	"the_first-rate_performance"	"first-rate_performance_it"	"VB"	"PRP"	"DT"	"RB"	"JJ"	"NN"	"PRP"	"after"	"the"	"little"	"operetta"	"had"	"been"	"give"	"its"	"feeble"	"amateur"	"rendering"	"everyone"	"insist"	"that"	"it"	"be"	"too"	"good"	"to"	"be"	"lost"	"forever"	"and"	"that"	"the"	"group"	"must"	"now"	"have"	"the"	"manuscript"	"in_order"	"to"	"give"	"it"	"the"	"first-rate"	"performance"	"it"	"merit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
