"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"1:28:00::"	"in"	";"	"afternoon"	"they"	"afternoon_in"	"in_;"	";_they"	"sunshiny_afternoon_in"	"afternoon_in_;"	"in_;_they"	";_they_be"	"JJ"	"NN"	"IN"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"street"	"of"	"any"	"county"	"town"	"like"	"this"	"on"	"any"	"sunshiny"	"afternoon"	"in"	"summer"	"they"	"be"	"like"	"this"	"fifty"	"odd"	"year"	"ago"	"and"	"yesterday"	"0"	"0"	"0"	"0"	
"1:28:00::"	"each"	","	"vacation"	"they"	"vacation_each"	"each_,"	",_they"	"single_vacation_each"	"vacation_each_,"	"each_,_they"	",_they_now"	"JJ"	"NN"	"DT"	"NN"	"ε"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"american"	"used_to"	"a"	"single"	"vacation"	"each"	"summer"	"they"	"now"	"think_about"	"how"	"many"	"vacation"	"they"	"can"	"have"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	","	"during"	"while"	"during_the"	"the_,"	",_while"	"∅_during_the"	"during_the_,"	"the_,_while"	",_while_he"	"ε"	"IN"	"DT"	"NN"	"ε"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"summer"	"while"	"he"	"be"	"still"	"in"	"school"	"person"	"work"	"for"	"his"	"father"	"firm"	"as"	"a"	"messenger_boy"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"this"	"with"	"litter"	"the"	"litter_this"	"this_with"	"with_the"	"literally_litter_this"	"litter_this_with"	"this_with_the"	"with_the_prostrate"	"RB"	"VB"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"location"	"literally"	"litter"	"this"	"summer"	"with"	"the"	"prostrate"	"body"	"of"	"france"	"beat-up"	"beatnik"	"jeunes_filles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"last"	"to"	"england"	"do"	"england_last"	"last_to"	"to_do"	"to_england_last"	"england_last_to"	"last_to_do"	"to_do_research"	"VB"	"NN"	"JJ"	"NN"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"come"	"england"	"last"	"summer"	"to"	"do"	"research"	"on"	"the"	"unpublished"	"letter"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"royal"	"palace"	"the"	"of"	"the_royal"	"royal_palace"	"palace_of"	"at_the_royal"	"the_royal_palace"	"royal_palace_of"	"palace_of_location"	"IN"	"DT"	"JJ"	"NN"	"NN"	"IN"	"NNP"	"emotion"	"were"	"screw_up"	"to"	"new"	"height"	"when"	"after"	"acceptance"	"and"	"the"	"first"	"rehearsal"	"there"	"ensue"	"such"	"a"	"buzz"	"of"	"excitement"	"among"	"parisian"	"music_lover"	"that"	"person"	"had_to"	"come"	"run"	"to"	"rousseau"	"to"	"inform"	"him"	"that"	"the"	"news"	"had"	"reach"	"the"	"superintendent"	"of"	"the"	"king"	"amusement"	"and"	"that"	"he"	"was"	"now"	"demand"	"that"	"the"	"work"	"be"	"offer"	"at"	"the"	"royal"	"palace"	"of"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"sun"	"in"	","	"in_the"	"the_sun"	"sun_,"	"bleach_in_the"	"in_the_sun"	"the_sun_,"	"sun_,_and"	"VB"	"IN"	"DT"	"NN"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new_york"	"lie"	"in"	"the"	"summer"	"sun"	"and"	"the"	"morning"	"fish_hawk"	"fly"	"in"	"the"	"heated"	"air"	"see"	"below"	"him"	"the"	"long"	"triangular"	"wedge"	"of"	"location"	
"1:28:00::"	"beautiful"	"day"	"a"	"."	"a_beautiful"	"beautiful_day"	"day_."	"bloom_a_beautiful"	"a_beautiful_day"	"beautiful_day_."	"day_._∅"	"VB"	"DT"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"outside"	"his"	"bloom"	"a"	"beautiful"	"summer"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"with"	"people"	"crowded"	"who"	"crowded_with"	"with_people"	"people_who"	"be_crowded_with"	"crowded_with_people"	"with_people_who"	"people_who_come"	"VB"	"JJ"	"IN"	"NN"	"NN"	"WP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"location"	"as"	"person"	"call"	"the"	"town"	"crowded"	"with"	"summer"	"people"	"who"	"come"	"to"	"the"	"mountain"	"to"	"escape"	"the"	"heat"	"in"	"the"	"big"	"city"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"next"	"."	"late"	"∅"	"late_next"	"next_."	"._∅"	"expect_late_next"	"late_next_."	"next_._∅"	"._∅_∅"	"VB"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"before"	"game"	"time"	"person"	"pretty"	"wife"	"person"	"inform"	"him"	"that"	"addition"	"to"	"the"	"family"	"can"	"be"	"expect"	"late"	"next"	"summer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
