"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"
"1:06:00::"	"similar"	"."	"and"	"∅"	"and_similar"	"similar_."	"._∅"	",_and_similar"	"and_similar_."	"similar_._∅"	"._∅_∅"	"ε"	"CC"	"JJ"	"NN"	"ε"	"ε"	"ε"	"electronic_device"	"which"	"are"	"find"	"in"	"practically"	"every"	"hospital"	"be"	"closed_circuit"	"tv"	"and"	"audio_system"	"for"	"internal"	"paging"	"and"	"instruction"	"along"	"with"	"radiation"	"counter"	"timer"	"and"	"similar"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"such"	","	"of"	"however"	"of_such"	"such_,"	",_however"	"accumulation_of_such"	"of_such_,"	"such_,_however"	",_however_,"	"NN"	"IN"	"JJ"	"NN"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"such"	"device"	"however"	"soon"	"have"	"the"	"effect"	"of"	"telescope"	"even"	"while"	"surface"	"and"	"depth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"eye-undeceiving"	"they"	"and"	"can"	"and_eye-undeceiving"	"eye-undeceiving_they"	"they_can"	"eye-deceiving_and_eye-undeceiving"	"and_eye-undeceiving_they"	"eye-undeceiving_they_can"	"they_can_think_of"	"JJ"	"CC"	"NN"	"NN"	"PRP"	"MD"	"VB"	"in"	"later"	"collage"	"of"	"both"	"master"	"a"	"variety"	"of"	"extraneous"	"material"	"are"	"use"	"sometimes"	"in"	"the"	"same"	"work"	"and"	"almost"	"always"	"in_conjunction_with"	"every"	"eye-deceiving"	"and"	"device"	"they"	"can"	"think_of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"medical"	"pirate"	"the"	"of"	"the_medical"	"medical_pirate"	"pirate_of"	"∅_the_medical"	"the_medical_pirate"	"medical_pirate_of"	"pirate_of_today"	"ε"	"DT"	"JJ"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"medical"	"device"	"pirate"	"of"	"today"	"of_course"	"be"	"a"	"far"	"more"	"sophisticated"	"operator"	"than"	"his"	"predecessor"	"of"	"yesteryear"	"the"	"gallus"	"snap"	"hawker"	"of"	"snake_oil"	"and"	"patent_medicine"	
"1:06:00::"	"notorious"	"quack"	"three"	"-"	"three_notorious"	"notorious_quack"	"quack_-"	"name_three_notorious"	"three_notorious_quack"	"notorious_quack_-"	"quack_-_succeed"	"VB"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"according_to"	"the"	"group"	"group"	"doctor"	"person"	"person"	"and"	"his"	"clique"	"and"	"person"	"to"	"name"	"notorious"	"device"	"quack"	"succeed"	"respectively"	"in"	"distribute"	"and"	"fake"	"health"	"machine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"therapeutic"	"figure"	"fake"	"prominently"	"fake_therapeutic"	"therapeutic_figure"	"figure_prominently"	"which_fake_therapeutic"	"fake_therapeutic_figure"	"therapeutic_figure_prominently"	"figure_prominently_-"	"WDT"	"JJ"	"JJ"	"NN"	"VB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"postmaster_general"	"recently"	"report"	"that"	"fraud"	"among"	"which"	"fake"	"therapeutic"	"device"	"figure"	"prominently"	"be"	"at"	"the"	"highest"	"level"	"in"	"history"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"quack"	"that"	"extracts"	"that_the"	"the_quack"	"quack_extracts"	"toll_that_the"	"that_the_quack"	"the_quack_extracts"	"quack_extracts_be"	"NN"	"IN"	"DT"	"NN"	"NN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"economic"	"that"	"the"	"device"	"quack"	"extracts"	"be"	"important"	"of_course"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"quack"	"of"	"?"	"of_the"	"the_quack"	"quack_?"	"victim_of_the"	"of_the_quack"	"the_quack_?"	"quack_?_∅"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"who"	"be"	"victim"	"of"	"the"	"device"	"quack"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"disseminating"	"."	"appropriate"	"∅"	"appropriate_disseminating"	"disseminating_."	"._∅"	"from_appropriate_disseminating"	"appropriate_disseminating_."	"disseminating_._∅"	"._∅_∅"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"major"	"defensive"	"problem"	"are"	"concerned"	"with"	"the"	"overt"	"military"	"delivery"	"of"	"biological"	"agent"	"from"	"appropriate"	"disseminating"	"device"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"new"	"be"	"the"	"not"	"the_new"	"new_be"	"be_not"	"of_the_new"	"the_new_be"	"new_be_not"	"be_not_over"	"IN"	"DT"	"JJ"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"field"	"of"	"entertainment"	"there"	"be"	"no"	"spur"	"to"	"financial"	"daring"	"so"	"effective"	"as"	"audience"	"boredom"	"and"	"the"	"first"	"of"	"the"	"new"	"device"	"be"	"not"	"over"	"before"	"audience"	"begin"	"stay"	"away"	"in"	"large_number"	"from"	"the"	"simple-minded"	"one"	"minute"	"show"	"0"	"0"	"0"	"0"	"0"	
