"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"2:41:00::"	"he"	"himself"	"∅"	"to"	"∅_he"	"he_himself"	"himself_to"	"∅_∅_he"	"∅_he_himself"	"he_himself_to"	"himself_to_be"	"ε"	"ε"	"PRP"	"VB"	"PRP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"force"	"himself"	"to"	"be"	"deliberate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"lady_da"	"the"	"the"	"foremost"	"the_lady_da"	"lady_da_the"	"the_foremost"	"∅_the_lady_da"	"the_lady_da_the"	"lady_da_the_foremost"	"the_foremost_of"	"ε"	"DT"	"NNP"	"VB"	"DT"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lady_da"	"force"	"the"	"foremost"	"of"	"her"	"bodies"	"in"	"an"	"upright"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"to"	"steinberg"	"restrict"	"steinberg_was"	"was_to"	"to_restrict"	",_steinberg_was"	"steinberg_was_to"	"was_to_restrict"	"to_restrict_his"	"ε"	"NNP"	"VBD"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"of"	"the"	"political"	"upheaval"	"in"	"in"	"the"	"steinberg"	"was"	"force"	"to"	"restrict"	"his"	"activities"	"to"	"the"	"jewish"	"community"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"of"	"the"	"way"	"people"	"way_of"	"of_the"	"the_people"	"small_way_of"	"way_of_the"	"of_the_people"	"the_people_to"	"JJ"	"NN"	"IN"	"VB"	"DT"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"in_this"	"way"	"of"	"force"	"the"	"people"	"to"	"watch"	"as"	"tiny"	"and"	"innocent"	"and"	"dependent"	"creatures"	"die"	"because"	"we"	"be"	"afraid"	"to"	"feed"	"them"	"and"	"afraid"	"to"	"protest"	"and"	"say"	"how_come"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"their"	"attempt"	"elimination"	"attempt_to"	"to_their"	"their_elimination"	"any_attempt_to"	"attempt_to_their"	"to_their_elimination"	"their_elimination_will"	"DT"	"NN"	"TO"	"VB"	"PRP$"	"NN"	"MD"	"many"	"societies"	"what"	"we"	"regard_as"	"corruption"	"favoritism"	"and"	"personal"	"influence"	"are"	"so"	"accept"	"as"	"consistent_with"	"the"	"mores"	"of"	"officialdom"	"and"	"so"	"integral"	"a"	"part"	"of"	"routine"	"administrative"	"practice"	"that"	"any"	"to"	"force"	"their"	"elimination"	"will"	"be"	"regard"	"by"	"the"	"local"	"leadership"	"as"	"not_only"	"unwarranted"	"but"	"unfriendly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"can"	"britain"	"we"	"and"	"we_can"	"can_britain"	"britain_and"	"∅_we_can"	"we_can_britain"	"can_britain_and"	"britain_and_france"	"ε"	"PRP"	"MD"	"VB"	"NNP"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"can"	"force"	"britain"	"and"	"france"	"out"	"of"	"the"	"suez"	"but"	"we"	"cannot"	"so_much"	"as"	"try"	"to"	"force"	"the"	"russian"	"tanks"	"back"	"from"	"budapest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"the"	"try"	"russian"	"try_to"	"to_the"	"the_russian"	"as_try_to"	"try_to_the"	"to_the_russian"	"the_russian_tanks"	"IN"	"VB"	"TO"	"VB"	"DT"	"NNP"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"can"	"force"	"britain"	"and"	"france"	"out"	"of"	"suez"	"but"	"we"	"cannot"	"so_much"	"as"	"try"	"to"	"force"	"the"	"russian"	"tanks"	"back"	"from"	"budapest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"were"	"into"	"correspondents"	"exile"	"correspondents_were"	"were_into"	"into_exile"	"and_correspondents_were"	"correspondents_were_into"	"were_into_exile"	"into_exile_."	"CC"	"NNS"	"VBD"	"VB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"press"	"in"	"cuba"	"was"	"gradually"	"throttle"	"by"	"the"	"regime"	"more_and_more"	"cuban"	"publishers"	"editors"	"and"	"correspondents"	"were"	"force"	"into"	"exile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"been"	"to"	"had"	"accompany"	"had_been"	"been_to"	"to_accompany"	"who_had_been"	"had_been_to"	"been_to_accompany"	"to_accompany_his"	"WP"	"VBD"	"VBN"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"remark"	"one"	"gentleman"	"had"	"been"	"force"	"to"	"accompany"	"his"	"wife"	"the"	"good"	"lord"	"can"	"eat"	"where"	"angels"	"fear"	"to"	"tread"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"which"	"the"	"accuracy"	"use"	"accuracy_which"	"which_the"	"the_use"	"extreme_accuracy_which"	"accuracy_which_the"	"which_the_use"	"the_use_of"	"JJ"	"NN"	"WDT"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"our"	"of"	"extreme"	"accuracy"	"which"	"force"	"the"	"use"	"of"	"very"	"large"	"yield"	"nuclear_weapons"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
