"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"1:03:00::"	"charge"	"by"	"location"	"to"	"NNP"	"TO"	"VB"	"superior_court_judge_durwood_pye"	"NNP"
"1:03:00::"	"was"	"win"	"by"	"X"	"IN"	"X"	"X"	"mayor-nominate_ivan_allen_jr."	"NNP"
"1:03:00::"	"X"	"X"	"X"	"file"	"X"	"VB"	"NN"	"mayor_william_b._hartsfield"	"NNP"
"1:03:00::"	"from"	"his"	"wife"	"in"	"NN"	"IN"	"NNP"	"pearl_williams_hartsfield"	"NNP"
"1:03:00::"	"X"	"X"	"the"	"home"	"DT"	"NN"	"VB"	"hartsfield"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"was"	"X"	"VBD"	"VB"	"henry_l._bowden"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"has"	"X"	"VBZ"	"VB"	"hartsfield"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"state"	"X"	"NN"	"NN"	"robert_snodgrass"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"add"	"X"	"VB"	"IN"	"state_party_chairman_james_w._dorsey"	"NNP"
"1:03:00::"	"newly"	"elected"	"texas"	"will"	"NN"	"MD"	"VB"	"sen._john_tower"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"group"	"X"	"NNP"	"NN"	"sam_caldwell"	"NNP"
"1:03:00::"	"to"	"work"	"for"	"'s"	"IN"	"POS"	"NN"	"lt._gov._garland_byrd"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"'s"	"X"	"POS"	"NN"	"caldwell"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"is"	"X"	"VBZ"	"VB"	"gov._vandiver"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"open"	"X"	"VB"	"PRP$"	"vandiver"	"NNP"
"1:03:00::"	"propose"	"by"	"then"	"X"	"JJ"	"X"	"X"	"gov._marvin_griffin"	"NNP"
"1:03:00::"	"the_constitution"	"however"	"that"	"has"	"IN"	"VBZ"	"RB"	"vandiver"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"will"	"X"	"MD"	"VB"	"schley_county_rep._b._d._pelham"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"say"	"X"	"VB"	"NN"	"pelham"	"NNP"
"1:03:00::"	"not"	"fully"	"work_out"	"say"	"VB"	"VB"	"PRP$"	"pelham"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"point_out"	"X"	"VB"	"IN"	"pelham"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"of"	"X"	"IN"	"NNP"	"rep._mac_barber"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"who"	"X"	"WP"	"VB"	"barber"	"NNP"
"1:03:00::"	"the"	"resolution"	"which"	"toss"	"WDT"	"VB"	"IN"	"barber"	"NNP"
"1:03:00::"	"new"	"school_superintendent"	"be"	"a"	"VB"	"DT"	"JJ"	"harry_davis"	"NNP"
"1:03:00::"	"teacher"	"who"	"defeat"	"a"	"VB"	"DT"	"NN"	"felix_bush"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"receive"	"X"	"VB"	"CD"	"davis"	"NNP"
"1:03:00::"	"'s"	"election"	"and"	"get"	"CC"	"VB"	"CD"	"bush"	"NNP"
"1:03:00::"	"i"	"ever"	"see"	"say"	"VB"	"VB"	"X"	"colquitt_policeman_tom_williams"	"NNP"
"1:03:00::"	"former"	"county"	"school_superintendent"	"shoot"	"NN"	"VB"	"PRP"	"george_p._callan"	"NNP"
"1:03:00::"	"campaign"	"both"	"candidate"	"and"	"NN"	"CC"	"NNP"	"davis"	"NNP"
"1:03:00::"	"candidate"	"person"	"and"	"reportedly"	"CC"	"RB"	"VB"	"bush"	"NNP"
"1:03:00::"	"the"	"polls"	"and"	"get"	"CC"	"VB"	"PRP"	"williams"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"say"	"X"	"VB"	"DT"	"sheriff_felix_tabb"	"NNP"
"1:03:00::"	"invitation"	"to"	"write_about"	"to"	"VB"	"TO"	"VB"	"serge_prokofieff"	"NNP"
"1:03:00::"	"the"	"music"	"of"	"and"	"IN"	"CC"	"IN"	"prokofieff"	"NNP"
"1:03:00::"	"the"	"development"	"of"	"personify"	"IN"	"VB"	"IN"	"prokofieff"	"NNP"
"1:03:00::"	"X"	"X"	"the"	"whom"	"DT"	"WP"	"PRP"	"serge_prokofieff"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"'s"	"X"	"POS"	"NNP"	"prokofieff"	"NNP"
"1:03:00::"	"classical_symphony"	"for_the_first_time"	"when"	"conduct"	"WRB"	"VB"	"PRP"	"koussevitzky"	"NNP"
"1:03:00::"	"X"	"X"	"nevertheless"	"was"	"RB"	"VBD"	"RB"	"prokofieff"	"NNP"
"1:03:00::"	"avant-garde"	"paris"	"of"	"stravinsky"	"IN"	"NN"	"NNP"	"diaghileff"	"NNP"
