"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"2:32:00::"	"is"	","	"plan"	"because"	"plan_is"	"is_,"	",_because"	"the_plan_is"	"plan_is_,"	"is_,_because"	",_because_the"	"DT"	"NN"	"VBZ"	"VB"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"payroll"	"tax"	"would"	"actually"	"rise"	"to"	"per_cent"	"start"	"if"	"the"	"plan"	"is"	"approve"	"because"	"the"	"levy"	"is"	"already"	"scheduled"	"to"	"go_up"	"by"	"per_cent"	"on_that"	"date"	"to"	"pay"	"for"	"social_security"	"costs"	"0"	"0"	"0"	"0"	
"2:32:00::"	"has"	"measures"	"senate"	"back"	"senate_has"	"has_measures"	"measures_back"	"the_senate_has"	"senate_has_measures"	"has_measures_back"	"measures_back_etv"	"DT"	"NNP"	"VBZ"	"VB"	"NNS"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"twice"	"previously"	"senate"	"has"	"approve"	"measures"	"back"	"etv"	"and"	"the"	"house"	"has"	"let"	"f"	"die"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"the"	"consider"	"budget"	"consider_and"	"and_the"	"the_budget"	"shall_consider_and"	"consider_and_the"	"and_the_budget"	"the_budget_of"	"MD"	"VB"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"article"	"section"	"the"	"general_assembly"	"shall"	"and"	"approve"	"the"	"budget"	"of"	"the"	"organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"a"	"north_bend"	"year"	"north_bend_,"	",_a"	"a_year"	"of_north_bend_,"	"north_bend_,_a"	",_a_year"	"a_year_'s"	"IN"	"NNP"	"ε"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"meet"	"for_the_first_time"	"with"	"both"	"of"	"its"	"newly-appointed"	"commissioners"	"roy_webster"	"hood_river"	"and"	"dr._ennis_keizer"	"of"	"north_bend"	"approve"	"a"	"year"	"contract"	"for"	"a"	"consultant"	"in"	"the"	"data_processing"	"department"	"who"	"has"	"be"	"the"	"center"	"of"	"considerable"	"controversy"	"in_the_past"	"0"	
"2:32:00::"	"no_doubt"	"my"	"will"	"two"	"will_no_doubt"	"no_doubt_my"	"my_two"	"fairmount_park_commission_will_no_doubt"	"will_no_doubt_my"	"no_doubt_my_two"	"my_two_proposals"	"NNP"	"MD"	"RB"	"VB"	"PRP$"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"will"	"no_doubt"	"approve"	"my"	"two"	"proposals"	"because"	"it"	"be"	"responsible_for"	"the"	"change"	"of"	"ideological"	"atmosphere"	"in"	"the"	"square"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"``"	","	"john_templeman"	"timothy_palmer"	"john_templeman_``"	"``_,"	",_timothy_palmer"	"∅_john_templeman_``"	"john_templeman_``_,"	"``_,_timothy_palmer"	",_timothy_palmer_''"	"ε"	"NNP"	"ε"	"VB"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"approve"	"timothy_palmer"	"this"	"chain"	"bridge"	"prove"	"less"	"durable"	"than"	"the"	"wooden"	"arch"	"on"	"the"	"salisbury"	"end"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"tuesday"	"agreements"	"on"	"between"	"on_tuesday"	"tuesday_agreements"	"agreements_between"	"commission_on_tuesday"	"on_tuesday_agreements"	"tuesday_agreements_between"	"agreements_between_two"	"NNP"	"IN"	"NNP"	"VB"	"NNS"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"city_planning"	"on"	"tuesday"	"approve"	"agreements"	"between"	"two"	"redevelopers"	"and"	"the"	"redevelopment_authority"	"for"	"the"	"purchase"	"of"	"land"	"in"	"the"	"eastwick_redevelopment_area"	"project"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"also"	"a"	"commission"	"novel"	"commission_also"	"also_a"	"a_novel"	"the_commission_also"	"commission_also_a"	"also_a_novel"	"a_novel_plan"	"DT"	"NN"	"RB"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"also"	"approve"	"a"	"novel"	"plan"	"that"	"would"	"eliminate"	"traffic"	"hazards"	"for"	"pedestrians"	"in"	"the"	"project"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"are"	"."	"claim"	"∅"	"claim_are"	"are_."	"._∅"	"such_claim_are"	"claim_are_."	"are_._∅"	"._∅_∅"	"JJ"	"NN"	"VB"	"VB"	"ε"	"ε"	"ε"	"shall"	"notify"	"all"	"claimant"	"of"	"the"	"approval"	"or"	"denial"	"of"	"their"	"claim"	"state"	"the"	"reason"	"and"	"ground"	"therefor"	"and"	"if"	"approved"	"shall"	"notify"	"such"	"claimant"	"of"	"the"	"amount"	"for"	"which"	"claim"	"are"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"if"	"by"	","	"the"	",_if"	"if_by"	"by_the"	"control_,_if"	",_if_by"	"if_by_the"	"by_the_group"	"NN"	"ε"	"IN"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"has"	"point_out"	"this"	"control"	"if"	"approve"	"by"	"the"	"group"	"would"	"give"	"the"	"combined"	"group"	"group"	"a"	"total"	"of"	"point"	"serve"	"in_common"	"with"	"the"	"group"	"0"	"0"	"0"	"0"	
"2:32:00::"	"is"	"."	"joint_resolution"	"∅"	"joint_resolution_is"	"is_."	"._∅"	"this_joint_resolution_is"	"joint_resolution_is_."	"is_._∅"	"._∅_∅"	"DT"	"NN"	"VBZ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"authority"	"of"	"the"	"secretary_of_the_interior"	"under"	"this"	"joint_resolution"	"to"	"construct"	"operate"	"and"	"maintain"	"demonstration"	"plant"	"shall"	"terminate"	"upon"	"the"	"expiration"	"of"	"twelve"	"year"	"after"	"the"	"date"	"which"	"this"	"joint_resolution"	"is"	"approve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"∅"	"september"	"∅"	"26"	"∅_∅"	"∅_september"	"september_26"	"∅_∅_∅"	"∅_∅_september"	"∅_september_26"	"september_26_,"	"ε"	"ε"	"ε"	"VB"	"NN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"september"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"not_only"	"birth_control"	"they"	","	"they_not_only"	"not_only_birth_control"	"birth_control_,"	"which_they_not_only"	"they_not_only_birth_control"	"not_only_birth_control_,"	"birth_control_,_but"	"RB"	"PRP"	"RB"	"VB"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"then"	"many"	"protestant_denomination"	"have"	"made"	"in"	"which"	"they"	"not_only"	"approve"	"birth_control"	"but"	"declare"	"it"	"at_times"	"to"	"be"	"a"	"religious"	"duty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"not_only"	"by"	"now"	"the"	"now_not_only"	"not_only_by"	"by_the"	"is_now_not_only"	"now_not_only_by"	"not_only_by_the"	"by_the_overwhelming"	"VB"	"RB"	"RB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"action"	"once"	"universally"	"condemn"	"by"	"all"	"and"	"forbid"	"by"	"the"	"civil_law"	"is"	"now"	"not_only"	"approve"	"by"	"the"	"overwhelming"	"majority"	"of"	"protestant_denomination"	"but"	"also"	"deem"	"at"	"certain"	"time"	"to"	"be"	"a"	"religious"	"duty"	
"2:32:00::"	"unanimously"	"thursday"	"senator"	"the"	"senator_unanimously"	"unanimously_thursday"	"thursday_the"	"∅_senator_unanimously"	"senator_unanimously_thursday"	"unanimously_thursday_the"	"thursday_the_bill"	"ε"	"NN"	"RB"	"VB"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"unanimously"	"approve"	"thursday"	"the"	"bill"	"of"	"person"	"of"	"dallas"	"authorize"	"establishment"	"of"	"day_school"	"for"	"the"	"deaf"	"in"	"dallas"	"and"	"the"	"four"	"largest"	"county"	"0"	"0"	"0"	
"2:32:00::"	"bill"	"by"	"group"	"committee"	"group_bill"	"bill_by"	"by_committee"	"of_group_bill"	"group_bill_by"	"bill_by_committee"	"by_committee_,"	"IN"	"NNP"	"NN"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"quickly"	"whip_through"	"meager"	"fare"	"of"	"group"	"bill"	"approve"	"by"	"committee"	"pass"	"the"	"three"	"on"	"the"	"calendar"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
