"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"
"1:18:01::"	"location"	"and"	"the"	"their"	"the_location"	"location_and"	"and_their"	"∅_the_location"	"the_location_and"	"location_and_their"	"and_their_manager"	"ε"	"DT"	"NNP"	"NN"	"CC"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"location"	"player"	"and"	"their"	"manager"	"run"	"out"	"on"	"the"	"field"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"location"	"rush_out"	"and"	"on"	"and_location"	"location_rush_out"	"rush_out_on"	"location_and_location"	"and_location_rush_out"	"location_rush_out_on"	"rush_out_on_the"	"NNP"	"CC"	"NNP"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"location"	"location"	"player"	"rush_out"	"on"	"the"	"field"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"location"	"did"	"two"	"not"	"two_location"	"location_did"	"did_not"	"and_two_location"	"two_location_did"	"location_did_not"	"did_not_go"	"CC"	"JJ"	"NNP"	"NN"	"VBD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"two"	"location"	"player"	"did"	"not"	"go"	"out"	"on"	"the"	"field"	"when"	"the"	"fighting"	"start"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"the"	"pep_up"	"find"	"me"	"find_the"	"the_pep_up"	"pep_up_me"	"i_find_the"	"find_the_pep_up"	"the_pep_up_me"	"pep_up_me_up"	"PRP"	"VB"	"DT"	"NN"	"VB"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"time"	"find"	"the"	"player"	"pep_up"	"me"	"up"	"where"	"it"	"usually"	"is"	"the"	"coach"	"who"	"be"	"supposed"	"to"	"deliver"	"the"	"fight"	"talk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"ball"	"produce"	"happy"	"more"	"happy_ball"	"ball_produce"	"produce_more"	"n't_happy_ball"	"happy_ball_produce"	"ball_produce_more"	"produce_more_base_hit"	"RB"	"JJ"	"NN"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"it"	"true"	"that"	"contented"	"cow"	"give"	"milk"	"why"	"should"	"n't"	"happy"	"ball"	"player"	"produce"	"more"	"base_hit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"most"	","	"by"	"but"	"by_most"	"most_,"	",_but"	"ultimate_by_most"	"by_most_,"	"most_,_but"	",_but_not"	"JJ"	"IN"	"JJ"	"NN"	"ε"	"CC"	"RB"	"0"	"0"	"0"	"0"	"like"	"the"	"group"	"slugger"	"person"	"the"	"terror"	"of"	"the"	"group"	"has"	"have"	"season"	"that"	"would"	"be"	"consider"	"ultimate"	"by"	"most"	"player"	"but"	"not"	"by"	"or"	"for"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"perfect"	","	"the"	"are"	"the_perfect"	"perfect_,"	",_are"	",_the_perfect"	"the_perfect_,"	"perfect_,_are"	",_are_behave"	"ε"	"DT"	"JJ"	"NN"	"ε"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"apparently"	"happy"	"under"	"new"	"manager"	"and"	"person"	"the"	"perfect"	"player"	"are"	"behave"	"as"	"though"	"they"	"going_to"	"pass"	"those"	"previous"	"peak"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"of"	","	"group"	"coach"	"group_of"	"of_,"	",_coach"	"a_group_of"	"group_of_,"	"of_,_coach"	",_coach_and"	"DT"	"NN"	"IN"	"NN"	"ε"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"a"	"group"	"of"	"player"	"coach"	"and"	"team"	"official"	"who"	"receive"	"an"	"engrossed"	"copy"	"of"	"an"	"official"	"city"	"citation"	"and"	"a"	"pair"	"of"	"silver"	"cufflink"	"shape"	"like"	"a"	"football"	"0"	"0"	
"1:18:01::"	"supply"	"for"	"to"	"the"	"to_supply"	"supply_for"	"for_the"	"formula_to_supply"	"to_supply_for"	"supply_for_the"	"for_the_new"	"NN"	"TO"	"VB"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"to"	"supply"	"player"	"for"	"the"	"new"	"group"	"and"	"the"	"problem"	"of"	"increase"	"the"	"schedule"	"to"	"fourteen"	"game"	"will"	"be"	"discuss"	"by"	"group"	"owner"	"at"	"a"	"meeting"	"at"	"the"	"group"	"today"	
"1:18:01::"	","	"'"	"hall_of_fame"	"benefit"	"hall_of_fame_,"	",_'"	"'_benefit"	"'s_hall_of_fame_,"	"hall_of_fame_,_'"	",_'_benefit"	"'_benefit_and"	"POS"	"NN"	"ε"	"NN"	"ε"	"NN"	"CC"	"on"	"the"	"agenda"	"during"	"the"	"meeting"	"which"	"are"	"expect"	"to"	"continue"	"through"	"saturday"	"concern"	"television"	"rule"	"change"	"professional"	"football"	"hall_of_fame"	"player"	"and"	"constitutional"	"amendment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
