"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"2:35:00::"	"shayne"	"the"	"∅"	"door"	"∅_shayne"	"shayne_the"	"the_door"	"∅_∅_shayne"	"∅_shayne_the"	"shayne_the_door"	"the_door_on"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"open"	"the"	"door"	"on"	"his"	"side"	"and"	"step_out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"interstate_commerce_commission"	"round"	"the"	"2"	"the_interstate_commerce_commission"	"interstate_commerce_commission_round"	"round_2"	"as_the_interstate_commerce_commission"	"the_interstate_commerce_commission_round"	"interstate_commerce_commission_round_2"	"round_2_of"	"IN"	"DT"	"NNP"	"VB"	"NNP"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"railroad"	"president"	"make"	"the"	"in"	"an"	"interview"	"as"	"the"	"interstate_commerce_commission"	"open"	"round"	"of"	"its"	"hearing"	"into"	"the"	"c"	"o"	"request"	"to"	"control"	"and_then"	"merge"	"with"	"the"	"b"	"o"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"have"	"7000"	"we"	"churches"	"we_have"	"have_7000"	"7000_churches"	"years_we_have"	"we_have_7000"	"have_7000_churches"	"7000_churches_''"	"NNS"	"PRP"	"VBP"	"VB"	"CD"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"years"	"have"	"open"	"churches"	"the"	"rev._mr._brandt"	"say"	"add"	"that"	"the"	"denomination"	"have"	"a"	"national"	"goal"	"of"	"one"	"church"	"for"	"every"	"persons"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"or"	"new"	"pioneer"	"churches"	"pioneer_or"	"or_new"	"new_churches"	"to_pioneer_or"	"pioneer_or_new"	"or_new_churches"	"new_churches_in"	"TO"	"VB"	"CC"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"engage"	"mature"	"experienced"	"to"	"pioneer"	"or"	"open"	"new"	"churches"	"in"	"strategic"	"population"	"centers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"by"	"program"	"the"	"program_was"	"was_by"	"by_the"	"evening_program_was"	"program_was_by"	"was_by_the"	"by_the_jazz"	"NN"	"NN"	"VBD"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"program"	"was"	"open"	"by"	"the"	"jazz"	"three"	"a"	"newport"	"group"	"consist_of"	"steve_budieshein"	"on"	"bass"	"jack_warner"	"drums"	"and"	"don_cook"	"piano"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"the"	"fight"	"sluice"	"fight_to"	"to_the"	"the_sluice"	"finish_fight_to"	"fight_to_the"	"to_the_sluice"	"the_sluice_gates"	"NN"	"NN"	"TO"	"VB"	"DT"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"th"	"congress"	"begin"	"its"	"sessions"	"last"	"week"	"democrats"	"be"	"ready"	"for"	"a"	"finish"	"fight"	"to"	"open"	"the"	"sluice"	"gates"	"control"	"by"	"the"	"house_rules_committee"	"and"	"permit"	"the"	"free"	"flow"	"of"	"liberal"	"legislation"	"to"	"the"	"floor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:06::"	"screen_door"	"and"	"the"	"pam"	"the_screen_door"	"screen_door_and"	"and_pam"	"when_the_screen_door"	"the_screen_door_and"	"screen_door_and_pam"	"and_pam_burst_out"	"WRB"	"DT"	"NN"	"VB"	"CC"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._podger"	"was"	"just"	"add"	"this"	"to"	"pictures"	"of"	"the"	"day"	"when"	"the"	"screen_door"	"open"	"and"	"pam"	"burst_out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"mr._podger"	"his"	"∅"	"cocoon"	"∅_mr._podger"	"mr._podger_his"	"his_cocoon"	"∅_∅_mr._podger"	"∅_mr._podger_his"	"mr._podger_his_cocoon"	"his_cocoon_and"	"ε"	"ε"	"NNP"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"open"	"his"	"cocoon"	"and"	"emerge"	"tuck"	"alacrity"	"under"	"his"	"arm"	"to"	"bring"	"her"	"in"	"by"	"the"	"fire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"which"	"the"	","	"evening"	",_which"	"which_the"	"the_evening"	"''_,_which"	",_which_the"	"which_the_evening"	"the_evening_."	"ε"	"ε"	"WDT"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"extreme"	"in"	"character"	"be"	"the"	"half-hour"	"from"	"the"	"petipa-minkus"	"ballet"	"bayaderka"	"which"	"open"	"the"	"evening"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"will"	"to"	"gods"	"members"	"gods_will"	"will_to"	"to_members"	"the_gods_will"	"gods_will_to"	"will_to_members"	"to_members_thursday"	"DT"	"NNP"	"MD"	"VB"	"TO"	"NNS"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gene_marshall"	"genial"	"manager"	"of"	"the"	"club"	"has"	"announce"	"the"	"garden"	"of"	"the"	"gods"	"will"	"open"	"to"	"members"	"thursday"	"june"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
