"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"2:32:00::"	"that"	"their"	"trees"	"secrets"	"trees_that"	"that_their"	"their_secrets"	"these_trees_that"	"trees_that_their"	"that_their_secrets"	"their_secrets_above"	"DT"	"NNS"	"WDT"	"VB"	"PRP$"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"she"	"have"	"no"	"to"	"fear"	"these"	"trees"	"that"	"whisper"	"their"	"secrets"	"above"	"her"	"head"	"as"	"she"	"pass"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"gavin"	"."	","	"∅"	",_gavin"	"gavin_."	"._∅"	"''_,_gavin"	",_gavin_."	"gavin_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"make"	"you"	"what"	"be"	"gavin"	"whisper"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"huskily"	","	"."	",_he"	"he_huskily"	"huskily_."	"''_,_he"	",_he_huskily"	"he_huskily_."	"huskily_._∅"	"ε"	"ε"	"PRP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"love"	"this"	"he"	"whisper"	"huskily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"being"	"to"	"from"	"the"	"from_being"	"being_to"	"to_the"	"visit_from_being"	"from_being_to"	"being_to_the"	"to_the_world"	"NN"	"IN"	"VBG"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"such"	"a"	"hotbed"	"of"	"gossip"	"had"	"grow"	"up"	"during"	"the"	"trial"	"that"	"precaution"	"have"	"to"	"be"	"take"	"to"	"keep"	"my"	"visit"	"from"	"being"	"whisper"	"to"	"the"	"world"	"society"	"and"	"even"	"alas"	"to"	"my"	"own"	"mother"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"into"	"shortstop"	"person"	"shortstop_,"	",_into"	"into_person"	",_shortstop_,"	"shortstop_,_into"	",_into_person"	"into_person_'s"	"ε"	"NN"	"ε"	"VB"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"location"	"person"	"shortstop"	"whisper"	"into"	"person"	"ear"	"there"	"gonna"	"be"	"a"	"fight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of"	"and"	"melody"	"tiny"	"melody_of"	"of_and"	"and_tiny"	"charming_melody_of"	"melody_of_and"	"of_and_tiny"	"and_tiny_giggle"	"JJ"	"NN"	"IN"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"the"	"rattling"	"of"	"fender"	"humming"	"of"	"tire"	"and"	"of"	"gear"	"there"	"be"	"a"	"charming"	"melody"	"of"	"whisper"	"and"	"tiny"	"giggle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"hoarse"	"-"	"a"	"the"	"a_hoarse"	"hoarse_-"	"-_the"	"in_a_hoarse"	"a_hoarse_-"	"hoarse_-_the"	"-_the_detective"	"IN"	"DT"	"JJ"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"inside"	"as_soon_as"	"person"	"had"	"in"	"a"	"hoarse"	"whisper"	"the"	"detective"	"errand"	"his"	"family"	"gather"	"in"	"a"	"huddle"	"form"	"a"	"mass"	"of"	"dark"	"flesh"	"on"	"and"	"around"	"a"	"brocaded"	"sofa"	"which"	"stand"	"at"	"one"	"side"	"of"	"a"	"baroque"	"fireplace"	
"2:32:00::"	"person"	"."	","	"∅"	",_person"	"person_."	"._∅"	"''_,_person"	",_person_."	"person_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	","	"arm"	"``"	"arm_,"	",_,"	",_``"	"the_arm_,"	"arm_,_,"	",_,_``"	",_``_i"	"DT"	"NN"	"ε"	"VB"	"ε"	"ε"	"PRP"	"when"	"he"	"attend"	"a"	"war"	"memorial"	"ceremony"	"in"	"group"	"his"	"view"	"was"	"obstruct"	"by"	"a"	"stout"	"man"	"on"	"his"	"left"	"his"	"attention"	"turn"	"to"	"the"	"irregular"	"pattern"	"of"	"the"	"rough"	"slab"	"flooring"	"and"	"someone"	"clasp"	"him"	"by"	"the"	"arm"	"whisper"	"want"	"a"	"word"	"with"	"you"	"please"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	","	","	"point"	",_he"	"he_,"	",_point"	"''_,_he"	",_he_,"	"he_,_point"	",_point_to"	"ε"	"ε"	"PRP"	"VB"	"ε"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"come_up"	"take"	"that"	"spot"	"there"	"he"	"whisper"	"point"	"to"	"a"	"small"	"clump"	"of"	"blackness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
