"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"
"4:02:01::"	"him"	"."	"haul"	"∅"	"haul_him"	"him_."	"._∅"	"start_haul_him"	"haul_him_."	"him_._∅"	"._∅_∅"	"VB"	"VB"	"PRP"	"RB"	"ε"	"ε"	"ε"	"person"	"he"	"arrive"	"here"	"a"	"couple"	"minute"	"before"	"nine"	"and"	"spot"	"person"	"in"	"the"	"water"	"get"	"a"	"hooked"	"pole"	"from"	"the"	"pool"	"equipment"	"locker"	"and"	"start"	"haul"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"crawl"	"into"	"girl"	"the"	"girl_crawl"	"crawl_into"	"into_the"	"the_girl_crawl"	"girl_crawl_into"	"crawl_into_the"	"into_the_renewing"	"DT"	"NN"	"VB"	"RB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"crawl"	"out"	"into"	"the"	"renewing"	"warmth"	"of"	"the"	"sunshine"	"hug"	"her"	"shoulder"	"and"	"still"	"tremble"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"one"	"."	"bring"	"∅"	"bring_one"	"one_."	"._∅"	"person_bring_one"	"bring_one_."	"one_._∅"	"._∅_∅"	"NNP"	"VB"	"CD"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"one"	"out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"."	"she"	"∅"	"she_be"	"be_."	"._∅"	"while_she_be"	"she_be_."	"be_._∅"	"._∅_∅"	"IN"	"PRP"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"had"	"skip"	"her"	"lunch"	"hour"	"in"	"fear"	"that"	"he"	"might"	"call"	"while"	"she"	"be"	"out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"ride"	"the"	"having"	"last"	"having_ride"	"ride_the"	"the_last"	"for_having_ride"	"having_ride_the"	"ride_the_last"	"the_last_few"	"IN"	"VBG"	"VB"	"RB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"curse"	"himself"	"having"	"ride"	"out"	"the"	"last"	"few"	"day"	"without"	"a"	"rifle"	"in"	"his"	"saddle"	"boot"	"person"	"draw"	"his"	"colt"	"and"	"examine"	"it"	"briefly"	"0"	"0"	
"4:02:01::"	"bubble"	"on"	"sweat"	"person"	"sweat_bubble"	"bubble_on"	"on_person"	"∅_sweat_bubble"	"sweat_bubble_on"	"bubble_on_person"	"on_person_'s"	"ε"	"NN"	"VB"	"RB"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bubble"	"out"	"on"	"person"	"swarthy"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"in"	"i"	"the"	"i_be"	"be_in"	"in_the"	"``_i_be"	"i_be_in"	"be_in_the"	"in_the_district"	"ε"	"PRP"	"VB"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"out"	"in"	"the"	"district"	"sir"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"two"	"in"	"with"	"the"	"with_two"	"two_in"	"in_the"	"run_with_two"	"with_two_in"	"two_in_the"	"in_the_last"	"NN"	"IN"	"NN"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"line_double"	"which"	"just"	"elude"	"the"	"dive"	"person"	"in"	"leftfield"	"person"	"with"	"the"	"winning"	"run"	"with"	"two"	"out"	"in"	"the"	"last"	"of"	"the"	"ninth"	"to"	"give"	"the"	"group"	"a"	"victory"	"over"	"the"	"group"	"monday"	
"4:02:00::"	"egg"	"."	"the"	"∅"	"the_egg"	"egg_."	"._∅"	"get_the_egg"	"the_egg_."	"egg_._∅"	"._∅_∅"	"VB"	"DT"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"be"	"the"	"fille_de_chambre"	"the"	"one"	"you"	"could"	"n't"	"get"	"the"	"egg"	"out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	"of_this"	"∅"	"re-created"	"∅_∅"	"∅_of_this"	"of_this_re-created"	"∅_∅_∅"	"∅_∅_of_this"	"∅_of_this_re-created"	"of_this_re-created_literalness"	"ε"	"ε"	"ε"	"RB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_this"	"re-created"	"literalness"	"the"	"group"	"subject"	"re-emerge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
