"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"2:40:00::"	"emory_university"	"its"	","	"corporate"	",_emory_university"	"emory_university_its"	"its_corporate"	"on_the_other_hand_,_emory_university"	",_emory_university_its"	"emory_university_its_corporate"	"its_corporate_existence"	"RB"	"ε"	"NNP"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on_the_other_hand"	"derive"	"its"	"corporate"	"existence"	"from"	"the"	"state"	"of"	"georgia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"government"	"their"	"``"	"just"	"``_government"	"government_their"	"their_just"	"that_``_government"	"``_government_their"	"government_their_just"	"their_just_power"	"IN"	"ε"	"NN"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"declaration_of_independence"	"that"	"government"	"derive"	"their"	"just"	"power"	"from"	"the"	"consent"	"of"	"the"	"governed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"for"	"an"	"equation"	"index"	"equation_for"	"for_an"	"an_index"	"simple_equation_for"	"equation_for_an"	"for_an_index"	"an_index_of"	"JJ"	"NN"	"IN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"also"	"present"	"simple"	"equation"	"for"	"derive"	"an"	"index"	"of"	"persistence"	"which"	"weight"	"not_only"	"the"	"number"	"of"	"stem"	"root"	"per"	"meaning"	"but"	"their"	"relative_frequency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"which"	","	"("	"however"	"(_which"	"which_,"	",_however"	"church_(_which"	"(_which_,"	"which_,_however"	",_however_,"	"NN"	"ε"	"WDT"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"an"	"ancient"	"and"	"tradition"	"in"	"the"	"church"	"which"	"derive"	"however"	"from"	"the"	"heritage"	"of"	"the"	"greek"	"rather"	"than"	"from"	"the"	"bible"	"that"	"god"	"be"	"completely"	"independent"	"of"	"his"	"creation"	"and"	"so"	"have"	"no"	"need"	"of"	"man"	"for"	"accomplish"	"his"	"work"	"in"	"the"	"world"	"0"	
"2:31:00::"	"to"	"utopian"	"∅"	"communism"	"∅_to"	"to_utopian"	"utopian_communism"	"∅_∅_to"	"∅_to_utopian"	"to_utopian_communism"	"utopian_communism_from"	"ε"	"ε"	"TO"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"derive"	"utopian"	"communism"	"from"	"the"	"jerusalem"	"christian"	"community"	"of"	"the"	"apostolic"	"age"	"or"	"from"	"its"	"medieval"	"successor"	"in"	"spirit"	"the"	"monastic"	"community"	"be"	"with"	"an"	"appropriate"	"shift"	"of"	"adjective"	"misleading"	"in"	"the"	"same"	"way"	"as"	"to"	"derive"	"it"	"from"	"plato"	"republic"	
"2:31:00::"	"to"	"it"	"as"	"from"	"as_to"	"to_it"	"it_from"	"way_as_to"	"as_to_it"	"to_it_from"	"it_from_plato"	"NN"	"RB"	"TO"	"VB"	"PRP"	"IN"	"NN"	"utopian"	"communism"	"from"	"the"	"jerusalem"	"christian"	"community"	"of"	"the"	"apostolic"	"age"	"or"	"from"	"its"	"medieval"	"successor"	"in"	"spirit"	"the"	"monastic"	"community"	"be"	"with"	"an"	"appropriate"	"shift"	"of"	"adjective"	"misleading"	"in"	"the"	"same"	"as"	"to"	"it"	"from"	"plato"	"republic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"were"	"from"	"shift"	"the"	"shift_were"	"were_from"	"from_the"	"field_shift_were"	"shift_were_from"	"were_from_the"	"from_the_mean"	"NN"	"NN"	"VBD"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"field"	"were"	"derive"	"from"	"the"	"mean"	"value"	"of"	"the"	"resonance"	"line"	"define"	"as"	"the"	"field"	"about"	"which"	"the"	"first_moment"	"be"	"zero"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"is"	"from"	"understanding"	"our"	"understanding_is"	"is_from"	"from_our"	"through_understanding_is"	"understanding_is_from"	"is_from_our"	"from_our_increased"	"IN"	"NN"	"VBZ"	"VB"	"VB"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"the"	"most"	"illuminating"	"example"	"of"	"reduction"	"of"	"fear"	"through"	"understanding"	"is"	"derive"	"from"	"our"	"increased"	"knowledge"	"of"	"the"	"nature"	"of"	"disease"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"from"	"threshold"	"the"	"threshold_was"	"was_from"	"from_the"	"mass_threshold_was"	"threshold_was_from"	"was_from_the"	"from_the_detector"	"NN"	"NN"	"VBD"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"impact"	"rate"	"on"	"alpha"	"for"	"event"	"be"	"f"	"for"	"particle"	"of"	"mass"	"great"	"than"	"f"	"person"	"this"	"mass"	"threshold"	"derive"	"from"	"the"	"detector"	"calibration"	"and"	"an"	"assumed"	"impact"	"velocity"	"of"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	")"	"a"	"1948"	"scale"	"1948_)"	")_a"	"a_scale"	"(_1948_)"	"1948_)_a"	")_a_scale"	"a_scale_of"	"ε"	"CD"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"note"	"that"	"the"	"mass"	"scale"	"be"	"one"	"to"	"two"	"order_of_magnitude"	"than"	"some"	"previously"	"use"	"for_example"	"person"	"derive"	"a"	"scale"	"of"	"g"	"for"	"a"	"f"	"zero"	"magnitude"	"meteorite"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
