"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"
"2:37:00::"	"he"	"him"	"that"	"."	"that_he"	"he_him"	"him_."	"dikkat_that_he"	"that_he_him"	"he_him_."	"him_._∅"	"NN"	"IN"	"PRP"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"try"	"to"	"run"	"after"	"b"	"dikkat"	"to"	"hug"	"the"	"spacesuit"	"to"	"tell"	"b"	"dikkat"	"that"	"he"	"love"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:02::"	","	"it"	"casbah"	"so_much"	"casbah_,"	",_it"	"it_so_much"	"the_casbah_,"	"casbah_,_it"	",_it_so_much"	"it_so_much_that"	"DT"	"NN"	"ε"	"VB"	"PRP"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"marlene"	"surname"	"adamo"	"a"	"brazilian"	"divorcee"	"learn"	"the"	"dance"	"from"	"arabic"	"friends"	"in"	"paris"	"now"	"live"	"on"	"manhattan"	"west_side"	"be"	"about"	"best"	"belly_dancer"	"work"	"the"	"casbah"	"love"	"it"	"so_much"	"that"	"she"	"dance"	"on"	"her"	"day_off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:02::"	"he"	"."	"place"	"∅"	"place_he"	"he_."	"._∅"	"a_place_he"	"place_he_."	"he_._∅"	"._∅_∅"	"DT"	"NN"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"first_of_all"	"to"	"italy"	"for"	"a"	"short"	"forte_dei_marmi"	"a"	"place"	"he"	"love"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:01::"	"you"	"somebody"	"know"	"enough"	"know_you"	"you_somebody"	"somebody_enough"	"you_know_you"	"know_you_somebody"	"you_somebody_enough"	"somebody_enough_to"	"PRP"	"VB"	"PRP"	"VB"	"NN"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"do"	"know"	"you"	"love"	"somebody"	"enough"	"to"	"get_married"	"she"	"ask"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:02::"	"he"	"."	"house"	"∅"	"house_he"	"he_."	"._∅"	"the_house_he"	"house_he_."	"he_._∅"	"._∅_∅"	"DT"	"NNP"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"it"	"the"	"house"	"he"	"love"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:02::"	"who"	"beautiful"	","	"clothes"	",_who"	"who_beautiful"	"beautiful_clothes"	"greer_garson_,_who"	",_who_beautiful"	"who_beautiful_clothes"	"beautiful_clothes_and"	"NNP"	"ε"	"WP"	"VB"	"JJ"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"attractive"	"who"	"love"	"beautiful"	"clothes"	"and"	"select"	"them"	"as"	"carefully"	"as"	"she"	"does"	"her"	"professional"	"roles"	"prefer"	"timeless"	"classical"	"designs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:02::"	"buggers"	"shade"	"the"	"''"	"the_buggers"	"buggers_shade"	"shade_''"	"``_the_buggers"	"the_buggers_shade"	"buggers_shade_''"	"shade_''_,"	"ε"	"DT"	"NNS"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"love"	"shade"	"the"	"rancher"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"for"	"my"	"reasons"	"nearest"	"reasons_for"	"for_my"	"my_nearest"	"the_reasons_for"	"reasons_for_my"	"for_my_nearest"	"my_nearest_and"	"DT"	"NNS"	"IN"	"VB"	"PRP$"	"JJS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"state"	"fully"	"what"	"the"	"bible"	"mean"	"as"	"my"	"daily"	"spiritual"	"be"	"as"	"intimate"	"and"	"difficult"	"as"	"to"	"formulate"	"the"	"reasons"	"for"	"love"	"my"	"nearest"	"and"	"dearest"	"relatives"	"and"	"friends"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"who"	"the"	"one"	"saviour"	"one_who"	"who_the"	"the_saviour"	"as_one_who"	"one_who_the"	"who_the_saviour"	"the_saviour_and"	"IN"	"CD"	"WP"	"VB"	"DT"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"often"	"have"	"i"	"look_to"	"jesus"	"when"	"enter"	"the"	"sick"	"room"	"ask"	"for"	"his"	"presence"	"and"	"help"	"in"	"my"	"professional"	"duties"	"as"	"i"	"my"	"talents"	"not_only"	"as"	"the"	"world"	"giveth"	"but"	"as"	"one"	"who"	"love"	"the"	"saviour"	"and"	"his"	"creatures"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"so"	"the"	"god"	"world"	"god_so"	"so_the"	"the_world"	"``_god_so"	"god_so_the"	"so_the_world"	"the_world_,"	"ε"	"NNP"	"RB"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"god"	"love"	"the"	"world"	"that"	"he"	"give"	"his"	"only"	"begotten"	"son"	"that"	"whosoever"	"believeth"	"in"	"him"	"should"	"not"	"perish"	"but"	"have"	"everlasting"	"life"	"and"	"as_many"	"as"	"receive"	"him"	"to"	"them"	"give"	"he"	"power"	"to"	"become"	"the"	"sons"	"of"	"god"	"even"	"to"	"them"	"that"	"believe"	"on"	"his"	"name"	
